FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
010324;0100;6,3;;;
010324;0200;6,2;;;
010324;0300;5;;;
010324;0400;5,39999;;;
010324;0500;5,5;;;
010324;0600;5,89999;;;
010324;0700;5,5;;;
010324;0800;3;;;
010324;0900;2;;;
010324;1000;1,1;;;
010324;1100;0,9;;;
010324;1200;0,599998;;;
010324;1300;0,5;;;
010324;1400;0,5;;;
010324;1500;0,4;;;
010324;1600;0,5;;;
010324;1700;0,599998;;;
010324;1800;0,7;;;
010324;1900;0,9;;;
010324;2000;0,9;;;
010324;2100;0,9;;;
010324;2200;1,1;;;
010324;2300;1,4;;;
010325;0000;2,1;;;
010325;0100;3,1;;;
010325;0200;3;;;
010325;0300;2,3;;;
010325;0400;2,1;;;
010325;0500;2,5;;;
010325;0600;2,6;;;
010325;0700;3,3;;;
010325;0800;1,9;;;
010325;0900;1,4;;;
010325;1000;1,1;;;
010325;1100;0,9;;;
010325;1200;1;;;
010325;1300;1;;;
010325;1400;0,7;;;
010325;1500;0,599998;;;
010325;1600;0,599998;;;
010325;1700;0,599998;;;
010325;1800;0,799997;;;
010325;1900;1;;;
010325;2000;0,9;;;
010325;2100;1,2;;;
010325;2200;1,8;;;
010325;2300;1,6;;;
010326;0000;0,7;;;
010326;0100;0,5;;;
010326;0200;0,4;;;
010326;0300;0,4;;;
010326;0400;0,4;;;
010326;0500;0,5;;;
010326;0600;0,7;;;
010326;0700;1,1;;;
010326;0800;1,2;;;
010326;0900;1,2;;;
010326;1000;1;;;
010326;1100;0,9;;;
010326;1200;0,799997;;;
010326;1300;0,7;;;
010326;1400;0,599998;;;
010326;1500;0,599998;;;
010326;1600;0,5;;;
010326;1700;0,5;;;
010326;1800;0,7;;;
010326;1900;1,2;;;
010326;2000;1,5;;;
010326;2100;1,8;;;
010326;2200;1,6;;;
010326;2300;1,8;;;
010327;0000;1,6;;;
010327;0100;1,7;;;
010327;0200;1,3;;;
010327;0300;1,3;;;
010327;0400;1,4;;;
010327;0500;1,5;;;
010327;0600;1,9;;;
010327;0700;3,2;;;
010327;0800;1,6;;;
010327;0900;1,1;;;
010327;1000;0,9;;;
010327;1100;0,799997;;;
010327;1200;0,599998;;;
010327;1300;0,599998;;;
010327;1400;0,5;;;
010327;1500;0,4;;;
010327;1600;0,4;;;
010327;1700;0,4;;;
010327;1800;0,7;;;
010327;1900;1,2;;;
010327;2000;1,5;;;
010327;2100;1,9;;;
010327;2200;3,2;;;
010327;2300;3,9;;;
010328;0000;3,3;;;
010328;0100;3,6;;;
010328;0200;3;;;
010328;0300;2,5;;;
010328;0400;2,9;;;
010328;0500;3;;;
010328;0600;1,6;;;
010328;0700;2,5;;;
010328;0800;1,9;;;
010328;0900;1,4;;;
010328;1000;1,2;;;
010328;1100;0,799997;;;
010328;1200;0,7;;;
010328;1300;0,599998;;;
010328;1400;0,5;;;
010328;1500;0,4;;;
010328;1600;0,4;;;
010328;1700;0,4;;;
010328;1800;0,599998;;;
010328;1900;0,9;;;
010328;2000;0,9;;;
010328;2100;1;;;
010328;2200;1,1;;;
010328;2300;1,3;;;
010329;0000;1,7;;;
010329;0100;1;;;
010329;0200;0,799997;;;
010329;0300;0,799997;;;
010329;0400;1;;;
010329;0500;1,2;;;
010329;0600;1,6;;;
010329;0700;2,6;;;
010329;0800;2;;;
010329;0900;1,4;;;
010329;1000;1,2;;;
010329;1100;1;;;
010329;1200;0,7;;;
010329;1300;0,599998;;;
010329;1400;0,5;;;
010329;1500;0,4;;;
010329;1600;0,4;;;
010329;1700;0,5;;;
010329;1800;0,599998;;;
010329;1900;0,9;;;
010329;2000;0,9;;;
010329;2100;1;;;
010329;2200;1;;;
010329;2300;1;;;
010330;0000;0,799997;;;
010330;0100;0,799997;;;
010330;0200;0,7;;;
010330;0300;0,599998;;;
010330;0400;0,599998;;;
010330;0500;0,7;;;
010330;0600;0,7;;;
010330;0700;1,1;;;
010330;0800;1,6;;;
010330;0900;1,3;;;
010330;1000;1,1;;;
010330;1100;1;;;
010330;1200;0,799997;;;
010330;1300;0,599998;;;
010330;1400;0,4;;;
010330;1500;0,4;;;
010330;1600;0,4;;;
010330;1700;0,5;;;
010330;1800;0,599998;;;
010330;1900;0,7;;;
010330;2000;0,799997;;;
010330;2100;0,7;;;
010330;2200;0,7;;;
010330;2300;0,599998;;;
