FECHA (YYMMDD);HORA (HHMM);;
031215;0100;;
031215;0200;;
031215;0300;;
031215;0400;;
031215;0500;;
031215;0600;;
031215;0700;;
031215;0800;;
031215;0900;;
031215;1000;38,7778;
031215;1100;36,1666;
031215;1200;31,75;
031215;1300;25;
031215;1400;19,0833;
031215;1500;18,4167;
031215;1600;19,0833;
031215;1700;18,9167;
031215;1800;18,3333;
031215;1900;26,25;
031215;2000;30;
031215;2100;29;
031215;2200;29,9;
031215;2300;33,5;
031216;0000;35,5833;
031216;0100;38,8333;
031216;0200;42;
031216;0300;42,3333;
031216;0400;47,5833;
031216;0500;51;
031216;0600;46,4166;
031216;0700;36;
031216;0800;30,1667;
031216;0900;27,3333;
031216;1000;23,9167;
031216;1100;18;
031216;1200;14,5833;
031216;1300;12,9167;
031216;1400;10,3333;
031216;1500;10,3333;
031216;1600;11,9167;
031216;1700;13,9167;
031216;1800;15,8333;
031216;1900;16,8333;
031216;2000;17,3333;
031216;2100;22;
031216;2200;26,0833;
031216;2300;31,3333;
031217;0000;37,3333;
031217;0100;42,25;
031217;0200;45,4166;
031217;0300;46,5833;
031217;0400;48,5833;
031217;0500;48,5;
031217;0600;41,6666;
031217;0700;36,6666;
031217;0800;29,6667;
031217;0900;23,75;
031217;1000;19,4167;
031217;1100;16,5833;
031217;1200;15,1667;
031217;1300;15,9167;
031217;1400;14,6667;
031217;1500;16,8333;
031217;1600;18,9167;
031217;1700;22,75;
031217;1800;28,0833;
031217;1900;36,6666;
031217;2000;42,6666;
031217;2100;45,75;
031217;2200;50,5833;
031217;2300;53,9166;
031218;0000;58,3333;
031218;0100;60,9166;
031218;0200;63;
031218;0300;65,25;
031218;0400;67;
031218;0500;68,9164;
031218;0600;64,0833;
031218;0700;55,5833;
031218;0800;48,5;
031218;0900;41,9166;
031218;1000;36,3333;
031218;1100;32,8333;
031218;1200;32,0833;
031218;1300;33,9166;
031218;1400;33,9166;
031218;1500;36,5833;
031218;1600;38,0833;
031218;1700;39;
031218;1800;39,5833;
031218;1900;46,1666;
031218;2000;54,5;
031218;2100;54,9166;
031218;2200;56,5833;
031218;2300;62,25;
031219;0000;66,3333;
031219;0100;71,75;
031219;0200;74,3333;
031219;0300;76,0833;
031219;0400;80,5;
031219;0500;81,1664;
031219;0600;74,6664;
031219;0700;64,5833;
031219;0800;58,6666;
031219;0900;51,5;
031219;1000;44,5;
031219;1100;44,6666;
031219;1200;42,25;
031219;1300;39,25;
031219;1400;37,1666;
031219;1500;35,25;
031219;1600;35,6666;
031219;1700;39,0833;
031219;1800;41,25;
031219;1900;47,1666;
031219;2000;52,1666;
031219;2100;55,9166;
031219;2200;58,25;
031219;2300;60,3333;
031220;0000;62,9166;
031220;0100;65,0833;
031220;0200;69;
031220;0300;72,3333;
031220;0400;73,75;
031220;0500;72,3333;
031220;0600;67,8333;
031220;0700;54,75;
031220;0800;51,0833;
031220;0900;45,6666;
031220;1000;39,25;
031220;1100;33,75;
031220;1200;29,4167;
031220;1300;28,3333;
031220;1400;27,6667;
031220;1500;28,5833;
031220;1600;29,8333;
031220;1700;32,5833;
031220;1800;36,9166;
031220;1900;38,75;
031220;2000;34,5833;
031220;2100;33,0833;
031220;2200;37,5;
031220;2300;38,5;
031221;0000;51,75;
031221;0100;69,0833;
031221;0200;72,25;
031221;0300;76,6664;
031221;0400;70,0833;
031221;0500;75,1664;
031221;0600;71,25;
031221;0700;63,6666;
031221;0800;58,3333;
031221;0900;49,6666;
031221;1000;41;
031221;1100;37,25;
031221;1200;36,8333;
031221;1300;35,3333;
031221;1400;28,3333;
031221;1500;22,25;
031221;1600;20,5;
031221;1700;22,8333;
031221;1800;26,4167;
031221;1900;32,0833;
031221;2000;40,5833;
031221;2100;45,4166;
031221;2200;43,1666;
031221;2300;42,75;
031222;0000;45,4166;
031222;0100;48,4166;
031222;0200;52,0833;
031222;0300;56,25;
031222;0400;60;
031222;0500;61,1666;
031222;0600;54,4166;
031222;0700;45,5;
031222;0800;41;
031222;0900;37,0833;
031222;1000;32,9166;
031222;1100;29,3333;
031222;1200;26,5833;
031222;1300;23,9167;
031222;1400;22,5833;
031222;1500;19,3333;
031222;1600;18,8333;
031222;1700;22,75;
031222;1800;25;
031222;1900;27,6667;
031222;2000;32,75;
031222;2100;34,4166;
031222;2200;36,0833;
031222;2300;38,5833;
031223;0000;41,1666;
031223;0100;44,5;
031223;0200;46,9166;
031223;0300;49,25;
031223;0400;52,9166;
031223;0500;54,5833;
031223;0600;50,25;
031223;0700;42,6666;
031223;0800;38,25;
031223;0900;34,25;
031223;1000;29,3333;
031223;1100;28,8333;
031223;1200;26,4167;
031223;1300;20,9167;
031223;1400;23,1667;
031223;1500;26,1667;
031223;1600;24,5;
031223;1700;21,6667;
031223;1800;22,6667;
031223;1900;28,9167;
031223;2000;35,0833;
031223;2100;38;
031223;2200;39,1666;
031223;2300;43,6666;
031224;0000;47,8333;
031224;0100;51,9166;
031224;0200;55,5833;
031224;0300;59,5833;
031224;0400;62,5;
031224;0500;69,25;
031224;0600;62;
031224;0700;53,6666;
031224;0800;47,0833;
031224;0900;40,4166;
031224;1000;38,8333;
031224;1100;33,8333;
031224;1200;31,0833;
031224;1300;32,6666;
031224;1400;32,6666;
031224;1500;33,5;
031224;1600;34,3333;
031224;1700;37,25;
031224;1800;41,8333;
031224;1900;48,1666;
031224;2000;52,6666;
031224;2100;57,8333;
031224;2200;61,5833;
031224;2300;65,25;
031225;0000;67,8333;
031225;0100;73,1664;
031225;0200;78,3333;
031225;0300;81,6664;
031225;0400;83,5;
031225;0500;85;
031225;0600;76,5833;
031225;0700;68,4164;
031225;0800;59,6666;
031225;0900;52,1666;
031225;1000;43,0833;
031225;1100;37,0833;
031225;1200;35,5;
031225;1300;33,1666;
031225;1400;33,5833;
031225;1500;31,0833;
031225;1600;29,6667;
031225;1700;33,0833;
031225;1800;38;
031225;1900;45;
031225;2000;45,5833;
031225;2100;45,5833;
031225;2200;47,5833;
031225;2300;50,5833;
031226;0000;53,8333;
031226;0100;61,0833;
031226;0200;69,25;
031226;0300;69,75;
031226;0400;75;
031226;0500;73,8333;
031226;0600;71,25;
031226;0700;61,5;
031226;0800;54,5833;
031226;0900;46,3333;
031226;1000;40,9166;
031226;1100;37,75;
031226;1200;33,4166;
031226;1300;32,0833;
031226;1400;29,6667;
031226;1500;25,5833;
031226;1600;24,3333;
031226;1700;27,1667;
031226;1800;33,4166;
031226;1900;40,75;
031226;2000;49,4166;
031226;2100;53,6666;
031226;2200;55,5833;
031226;2300;56,9166;
031227;0000;57,8333;
031227;0100;59,0833;
031227;0200;60,4166;
031227;0300;62,8333;
031227;0400;64,6664;
031227;0500;68,5833;
031227;0600;66,0833;
031227;0700;59,3333;
031227;0800;56;
031227;0900;52;
031227;1000;49,8333;
031227;1100;46,0833;
031227;1200;41,75;
031227;1300;37,3333;
031227;1400;31,0833;
031227;1500;25,0833;
031227;1600;27,5833;
031227;1700;27,3333;
031227;1800;29,5;
031227;1900;31,8333;
031227;2000;32,75;
031227;2100;30,1667;
031227;2200;30;
031227;2300;32,4166;
031228;0000;36,0833;
031228;0100;39,1666;
031228;0200;42,75;
031228;0300;46,5;
031228;0400;48,5833;
031228;0500;51,3333;
031228;0600;47,3333;
031228;0700;36,5833;
031228;0800;33,0833;
031228;0900;30,0833;
031228;1000;26,5;
031228;1100;23,4167;
031228;1200;20,5;
031228;1300;19,4167;
031228;1400;16,4167;
031228;1500;14,1667;
031228;1600;13,3333;
031228;1700;15,6667;
031228;1800;18,8333;
031228;1900;24,4167;
031228;2000;33,25;
031228;2100;37,25;
031228;2200;38,0833;
031228;2300;39,6666;
031229;0000;42,0833;
031229;0100;45,3333;
031229;0200;48,8333;
031229;0300;52,8333;
031229;0400;56,5;
031229;0500;58,25;
031229;0600;55,1666;
031229;0700;46,4166;
