FECHA (YYMMDD);HORA (HHMM);;
031214;0100;;
031214;0200;;
031214;0300;;
031214;0400;;
031214;0500;;
031214;0600;;
031214;0700;;
031214;0800;;
031214;0900;;
031214;1000;;
031214;1100;50,5;
031214;1200;47,25;
031214;1300;43,3333;
031214;1400;38;
031214;1500;34,5833;
031214;1600;34,4166;
031214;1700;35,9166;
031214;1800;43,5;
031214;1900;50,4166;
031214;2000;57,6666;
031214;2100;61,0833;
031214;2200;68,1664;
031214;2300;75,25;
031215;0000;77,4164;
031215;0100;80,1664;
031215;0200;82,75;
031215;0300;84,1664;
031215;0400;86,6664;
031215;0500;85,25;
031215;0600;82,8333;
031215;0700;63,25;
031215;0800;60,3333;
031215;0900;53;
031215;1000;47,6666;
031215;1100;41,4166;
031215;1200;35;
031215;1300;29,25;
031215;1400;24,5;
031215;1500;23,4167;
031215;1600;20,4167;
031215;1700;22,0833;
031215;1800;27,4167;
031215;1900;32,6666;
031215;2000;41,3333;
031215;2100;49,8333;
031215;2200;51,9166;
031215;2300;52,5833;
031216;0000;54,3333;
031216;0100;57,0833;
031216;0200;60,9166;
031216;0300;62,8333;
031216;0400;60,1666;
031216;0500;62,0833;
031216;0600;59,5833;
031216;0700;38;
031216;0800;29,9167;
031216;0900;25,5833;
031216;1000;25,6667;
031216;1100;21;
031216;1200;17,25;
031216;1300;13,5;
031216;1400;11,6667;
031216;1500;10,0833;
031216;1600;10,5;
031216;1700;10;
031216;1800;10,0833;
031216;1900;16,6667;
031216;2000;25,25;
031216;2100;31,1667;
031216;2200;32,9166;
031216;2300;34,75;
031217;0000;36;
031217;0100;35,0833;
031217;0200;41,5833;
031217;0300;41,6666;
031217;0400;47,5833;
031217;0500;47,75;
031217;0600;43,9166;
031217;0700;31,25;
031217;0800;22,5833;
031217;0900;21;
031217;1000;19,3333;
031217;1100;16,0833;
031217;1200;13,6667;
031217;1300;13,1667;
031217;1400;15,0833;
031217;1500;17,3333;
031217;1600;17,9167;
031217;1700;17,75;
031217;1800;22,5833;
031217;1900;30,8333;
031217;2000;42;
031217;2100;53,0833;
031217;2200;57,4166;
031217;2300;62,75;
031218;0000;63,25;
031218;0100;66,25;
031218;0200;68,8333;
031218;0300;69,6664;
031218;0400;65,6664;
031218;0500;64,25;
031218;0600;58,4166;
031218;0700;48,5833;
031218;0800;44,0833;
031218;0900;40,6666;
031218;1000;35,5833;
031218;1100;32;
031218;1200;30,7273;
031218;1300;31,5833;
031218;1400;34,4166;
031218;1500;36,5833;
031218;1600;38,75;
031218;1700;40,0833;
031218;1800;43,5;
031218;1900;48,8333;
031218;2000;54,8333;
031218;2100;62,5;
031218;2200;70,5833;
031218;2300;74,0833;
031219;0000;75,0833;
031219;0100;73,0833;
031219;0200;78,4164;
031219;0300;80,4164;
031219;0400;82,9164;
031219;0500;86,5;
031219;0600;81,4164;
031219;0700;59,5833;
031219;0800;56,75;
031219;0900;53,75;
031219;1000;47;
031219;1100;42,6666;
031219;1200;41,9166;
031219;1300;40,75;
031219;1400;39,3333;
031219;1500;37;
031219;1600;36,6666;
031219;1700;39,6666;
031219;1800;43,8333;
031219;1900;50,1666;
031219;2000;56,5833;
031219;2100;67,0833;
031219;2200;69,5;
031219;2300;69,3333;
031220;0000;71,4164;
031220;0100;75,0833;
031220;0200;81;
031220;0300;81,1664;
031220;0400;78,0833;
031220;0500;78,1664;
031220;0600;77,4164;
031220;0700;59,4166;
031220;0800;53,5;
031220;0900;49,5;
031220;1000;44,3333;
031220;1100;39,75;
031220;1200;34,5;
031220;1300;30,0833;
031220;1400;29,4167;
031220;1500;30;
031220;1600;31,3333;
031220;1700;31,4167;
031220;1800;36,3333;
031220;1900;37,9166;
031220;2000;38,8333;
031220;2100;49,1666;
031220;2200;60,3333;
031220;2300;64,25;
031221;0000;66,0833;
031221;0100;67,8333;
031221;0200;64,25;
031221;0300;71,5;
031221;0400;75,4164;
031221;0500;77,6664;
031221;0600;73,9164;
031221;0700;59,6666;
031221;0800;57,8333;
031221;0900;38;
031221;1000;42,5833;
031221;1100;39,6666;
031221;1200;39,3333;
031221;1300;37,75;
031221;1400;34,75;
031221;1500;32,9166;
031221;1600;30,1667;
031221;1700;29,3333;
031221;1800;29,75;
031221;1900;34,3333;
031221;2000;40,5;
031221;2100;48,8333;
031221;2200;58,1666;
031221;2300;65,1664;
031222;0000;68;
031222;0100;64;
031222;0200;69,4164;
031222;0300;72,8333;
031222;0400;73,6664;
031222;0500;80,5;
031222;0600;74,1664;
031222;0700;52,1666;
031222;0800;49,5;
031222;0900;42,3333;
031222;1000;37,7272;
031222;1100;33,3333;
031222;1200;29,0833;
031222;1300;26,3333;
031222;1400;23,4167;
031222;1500;20,0833;
031222;1600;19,9167;
031222;1700;23,0833;
031222;1800;26,4167;
031222;1900;30,5833;
031222;2000;37;
031222;2100;49,4166;
031222;2200;54,5833;
031222;2300;59,25;
031223;0000;61,8333;
031223;0100;65,5;
031223;0200;68;
031223;0300;71,8333;
031223;0400;73,5;
031223;0500;73;
031223;0600;64,8333;
031223;0700;45,4166;
031223;0800;40,25;
031223;0900;37,3333;
031223;1000;34,0833;
031223;1100;30,3333;
031223;1200;28,25;
031223;1300;27,0833;
031223;1400;26;
031223;1500;27,3333;
031223;1600;26,6667;
031223;1700;23,0833;
031223;1800;21,8333;
031223;1900;24,4167;
031223;2000;34,5833;
031223;2100;46,5;
031223;2200;51,75;
031223;2300;54,4166;
031224;0000;60,8333;
031224;0100;60,9166;
031224;0200;56,0833;
031224;0300;65;
031224;0400;66,75;
031224;0500;67,75;
031224;0600;61,6666;
031224;0700;47;
031224;0800;41,8333;
031224;0900;37;
031224;1000;35,0833;
031224;1100;33,25;
031224;1200;31,25;
031224;1300;31;
031224;1400;33,5;
031224;1500;33,9166;
031224;1600;34,1666;
031224;1700;35,4166;
031224;1800;37,9166;
031224;1900;46,3333;
031224;2000;55,5833;
031224;2100;63,5833;
031224;2200;65,1664;
031224;2300;75;
031225;0000;77,5833;
031225;0100;76,6664;
031225;0200;80,5833;
031225;0300;84,5;
031225;0400;85,8333;
031225;0500;85;
031225;0600;82,5833;
031225;0700;61,4166;
031225;0800;58,75;
031225;0900;50,5;
031225;1000;44,5;
031225;1100;38,6666;
031225;1200;34,0833;
031225;1300;34,0833;
031225;1400;33,8333;
031225;1500;31,9167;
031225;1600;33,5;
031225;1700;32,6666;
031225;1800;34,9166;
031225;1900;42,4166;
031225;2000;52,4166;
031225;2100;56,9166;
031225;2200;58,9166;
031225;2300;62,8333;
031226;0000;68,6664;
031226;0100;74,5;
031226;0200;77,6664;
031226;0300;74,3333;
031226;0400;76,1664;
031226;0500;81,9164;
031226;0600;76,3333;
031226;0700;64,1664;
031226;0800;59,75;
031226;0900;54,4166;
031226;1000;46,8333;
031226;1100;41,6666;
031226;1200;40,0833;
031226;1300;37,5833;
031226;1400;36,9166;
031226;1500;34,5833;
031226;1600;31,8333;
031226;1700;32,1666;
031226;1800;34,6666;
031226;1900;41,6666;
031226;2000;52,3333;
031226;2100;58,4166;
031226;2200;63,6666;
031226;2300;68,8333;
031227;0000;71,3333;
031227;0100;70;
031227;0200;74,9164;
031227;0300;75,3333;
031227;0400;77,5;
031227;0500;75,0833;
031227;0600;77,6664;
031227;0700;64,1664;
031227;0800;62,1666;
031227;0900;57,8333;
031227;1000;54,9166;
031227;1100;50,5;
031227;1200;46,3333;
031227;1300;43;
031227;1400;36,1666;
031227;1500;30,5;
031227;1600;23,25;
031227;1700;24,3333;
031227;1800;27,1667;
031227;1900;34,3333;
031227;2000;38,6666;
031227;2100;49,5833;
031227;2200;55,3333;
031227;2300;56,3333;
031228;0000;56;
031228;0100;56,3333;
031228;0200;67,5;
031228;0300;75,9164;
031228;0400;74,75;
031228;0500;69;
031228;0600;66,9164;
031228;0700;46,9166;
031228;0800;40,75;
031228;0900;36;
031228;1000;32,0833;
031228;1100;27,75;
031228;1200;22,5;
031228;1300;19,5;
031228;1400;17,5;
031228;1500;17,75;
031228;1600;15,5833;
031228;1700;15,0833;
031228;1800;17,1667;
031228;1900;24,8333;
031228;2000;33,0833;
031228;2100;45,9166;
031228;2200;46,4166;
031228;2300;46,9166;
031229;0000;56,5;
031229;0100;56;
031229;0200;59,6666;
031229;0300;61,9166;
031229;0400;65,1664;
031229;0500;65,5;
031229;0600;60,0833;
031229;0700;45,1666;
031229;0800;44,3333;
031229;0900;40,5833;
031229;1000;35;
031229;1100;32,75;
031229;1200;30,9167;
031229;1300;30,5833;
031229;1400;29,1667;
031229;1500;27,6667;
031229;1600;30,6667;
031229;1700;34,0833;
031229;1800;39,5;
031229;1900;43,25;
031229;2000;48,5833;
031229;2100;52,25;
031229;2200;50;
031229;2300;57,9166;
031230;0000;64,9164;
031230;0100;68,8333;
031230;0200;69,4164;
031230;0300;76,1664;
031230;0400;73,9164;
031230;0500;73;
031230;0600;73,75;
031230;0700;54,75;
031230;0800;44;
031230;0900;41,5;
031230;1000;39,3333;
031230;1100;35,9166;
031230;1200;31;
031230;1300;25,0833;
031230;1400;26,8333;
031230;1500;27,3333;
031230;1600;29,3333;
031230;1700;28,4167;
031230;1800;35,5;
031230;1900;42,5833;
031230;2000;50,6666;
031230;2100;61,9166;
031230;2200;69,0833;
031230;2300;70,8333;
031231;0000;75,75;
031231;0100;76,5833;
031231;0200;74,25;
031231;0300;71,4164;
031231;0400;75,1664;
031231;0500;77,4164;
031231;0600;72,25;
031231;0700;48,8333;
031231;0800;44,0833;
031231;0900;46,6666;
031231;1000;43,0833;
031231;1100;38,8333;
031231;1200;36,4166;
031231;1300;35,9166;
031231;1400;34,9166;
031231;1500;34,4166;
031231;1600;35,0833;
031231;1700;35,9166;
031231;1800;37,9166;
031231;1900;44,75;
031231;2000;51,9166;
031231;2100;64,3333;
031231;2200;69,0833;
031231;2300;74,3333;
040101;0000;76,5833;
040101;0100;77,5833;
040101;0200;78,6664;
040101;0300;76,5833;
040101;0400;78,5;
040101;0500;78,5;
040101;0600;74,1664;
040101;0700;54,6666;
040101;0800;48,4166;
040101;0900;47,4166;
040101;1000;41,75;
040101;1100;37,9166;
040101;1200;32,6666;
040101;1300;31,8333;
040101;1400;32,5;
040101;1500;30;
040101;1600;31,5833;
040101;1700;33,0833;
040101;1800;37,4166;
040101;1900;43,5;
040101;2000;51,75;
040101;2100;61,0833;
040101;2200;69,25;
040101;2300;73;
040102;0000;73,6664;
040102;0100;77,25;
040102;0200;77,9164;
040102;0300;74,5;
040102;0400;73,3333;
040102;0500;73,5833;
040102;0600;72,6664;
040102;0700;54;
040102;0800;49,3333;
040102;0900;44,6666;
040102;1000;40,75;
040102;1100;35,5833;
040102;1200;32,5833;
040102;1300;29,5833;
040102;1400;25,25;
040102;1500;26,1667;
040102;1600;27,6667;
040102;1700;28,9167;
040102;1800;31,0833;
040102;1900;34,75;
040102;2000;41,5;
040102;2100;54,8333;
040102;2200;57,6666;
040102;2300;65;
040103;0000;66,4164;
040103;0100;63,75;
040103;0200;69,5833;
040103;0300;73,0833;
040103;0400;66,5;
040103;0500;63,8333;
040103;0600;63,3333;
040103;0700;50,3333;
040103;0800;44,6666;
040103;0900;40;
040103;1000;38,3333;
040103;1100;34,1666;
040103;1200;30,8333;
040103;1300;29,6667;
040103;1400;25,8333;
040103;1500;22,5833;
040103;1600;20,1667;
040103;1700;19,25;
040103;1800;22,75;
040103;1900;29,6667;
040103;2000;42,3333;
040103;2100;53,25;
040103;2200;58,75;
040103;2300;60,75;
040104;0000;62;
040104;0100;67,3333;
040104;0200;67,75;
040104;0300;70,5;
040104;0400;71,8333;
040104;0500;72,1664;
040104;0600;68,3333;
040104;0700;54,8333;
040104;0800;47,75;
040104;0900;46,5;
040104;1000;42,9166;
040104;1100;38,8333;
040104;1200;34,6666;
040104;1300;33,0833;
040104;1400;34,4166;
040104;1500;36,1666;
040104;1600;35,0833;
040104;1700;35,5;
040104;1800;38,1666;
040104;1900;45,3333;
040104;2000;51,9166;
040104;2100;56;
040104;2200;60,5833;
040104;2300;65,25;
040105;0000;73,5;
040105;0100;74,6664;
040105;0200;72,8333;
040105;0300;74,8333;
040105;0400;82;
040105;0500;80,1664;
040105;0600;78,6664;
040105;0700;61,9166;
040105;0800;57,25;
040105;0900;50,6666;
040105;1000;44,1666;
040105;1100;39;
040105;1200;35,5833;
040105;1300;31,8333;
040105;1400;31,75;
040105;1500;32,6666;
040105;1600;31,9167;
040105;1700;32,5833;
040105;1800;32,4166;
040105;1900;33,75;
040105;2000;37,25;
040105;2100;46,8333;
040105;2200;52,75;
040105;2300;55,3333;
040106;0000;60,8333;
040106;0100;63,75;
040106;0200;63,5;
040106;0300;63,75;
040106;0400;69,8333;
040106;0500;71,1664;
040106;0600;70,25;
040106;0700;49,75;
040106;0800;40,8333;
040106;0900;38,5833;
040106;1000;36,8333;
040106;1100;31,1667;
040106;1200;31,9167;
040106;1300;31,8333;
040106;1400;30,75;
