FECHA (YYMMDD);HORA (HHMM);;
040101;0100;;
040101;0200;;
040101;0300;;
040101;0400;;
040101;0500;;
040101;0600;;
040101;0700;;
040101;0800;;
040101;0900;;
040101;1000;;
040101;1100;;
040101;1200;;
040101;1300;;
040101;1400;;
040101;1500;;
040101;1600;;
040101;1700;;
040101;1800;;
040101;1900;;
040101;2000;;
040101;2100;;
040101;2200;;
040101;2300;;
040102;0000;;
040102;0100;;
040102;0200;;
040102;0300;;
040102;0400;;
040102;0500;;
040102;0600;;
040102;0700;;
040102;0800;;
040102;0900;;
040102;1000;;
040102;1100;;
040102;1200;;
040102;1300;;
040102;1400;;
040102;1500;;
040102;1600;;
040102;1700;;
040102;1800;;
040102;1900;;
040102;2000;;
040102;2100;;
040102;2200;;
040102;2300;;
040103;0000;;
040103;0100;;
040103;0200;;
040103;0300;;
040103;0400;;
040103;0500;;
040103;0600;;
040103;0700;;
040103;0800;;
040103;0900;;
040103;1000;;
040103;1100;;
040103;1200;;
040103;1300;;
040103;1400;;
040103;1500;;
040103;1600;;
040103;1700;;
040103;1800;;
040103;1900;;
040103;2000;;
040103;2100;;
040103;2200;;
040103;2300;;
040104;0000;;
040104;0100;;
040104;0200;;
040104;0300;;
040104;0400;;
040104;0500;;
040104;0600;;
040104;0700;;
040104;0800;;
040104;0900;;
040104;1000;;
040104;1100;;
040104;1200;;
040104;1300;;
040104;1400;;
040104;1500;;
040104;1600;;
040104;1700;;
040104;1800;;
040104;1900;;
040104;2000;;
040104;2100;;
040104;2200;;
040104;2300;;
040105;0000;;
040105;0100;;
040105;0200;;
040105;0300;;
040105;0400;;
040105;0500;;
040105;0600;;
040105;0700;;
040105;0800;;
040105;0900;;
040105;1000;;
040105;1100;;
040105;1200;;
040105;1300;;
040105;1400;;
040105;1500;;
040105;1600;;
040105;1700;;
040105;1800;;
040105;1900;;
040105;2000;;
040105;2100;;
040105;2200;;
040105;2300;;
040106;0000;;
040106;0100;;
040106;0200;;
040106;0300;;
040106;0400;;
040106;0500;;
040106;0600;;
040106;0700;;
040106;0800;;
040106;0900;;
040106;1000;;
040106;1100;;
040106;1200;;
040106;1300;;
040106;1400;;
040106;1500;;
040106;1600;;
040106;1700;;
040106;1800;;
040106;1900;;
040106;2000;;
040106;2100;;
040106;2200;;
040106;2300;;
040107;0000;;
040107;0100;;
040107;0200;;
040107;0300;;
040107;0400;;
040107;0500;;
040107;0600;;
040107;0700;;
040107;0800;;
040107;0900;;
040107;1000;;
040107;1100;;
040107;1200;;
040107;1300;;
040107;1400;;
040107;1500;;
040107;1600;;
040107;1700;;
040107;1800;;
040107;1900;;
040107;2000;;
040107;2100;;
040107;2200;;
040107;2300;;
040108;0000;;
040108;0100;;
040108;0200;;
040108;0300;;
040108;0400;;
040108;0500;;
040108;0600;;
040108;0700;;
040108;0800;;
040108;0900;;
040108;1000;;
040108;1100;;
040108;1200;;
040108;1300;;
040108;1400;;
040108;1500;;
040108;1600;;
040108;1700;;
040108;1800;;
040108;1900;;
040108;2000;;
040108;2100;;
040108;2200;;
040108;2300;;
040109;0000;;
040109;0100;;
040109;0200;;
040109;0300;;
040109;0400;;
040109;0500;;
040109;0600;;
040109;0700;;
040109;0800;;
040109;0900;;
040109;1000;;
040109;1100;;
040109;1200;;
040109;1300;;
040109;1400;;
040109;1500;;
040109;1600;;
040109;1700;;
040109;1800;;
040109;1900;;
040109;2000;;
040109;2100;;
040109;2200;;
040109;2300;;
040110;0000;;
040110;0100;;
040110;0200;;
040110;0300;;
040110;0400;;
040110;0500;;
040110;0600;;
040110;0700;;
040110;0800;;
040110;0900;;
040110;1000;;
040110;1100;;
040110;1200;;
040110;1300;;
040110;1400;;
040110;1500;;
040110;1600;;
040110;1700;;
040110;1800;;
040110;1900;;
040110;2000;;
040110;2100;;
040110;2200;;
040110;2300;;
040111;0000;;
040111;0100;;
040111;0200;;
040111;0300;;
040111;0400;;
040111;0500;;
040111;0600;;
040111;0700;;
040111;0800;;
040111;0900;;
040111;1000;;
040111;1100;;
040111;1200;;
040111;1300;;
040111;1400;;
040111;1500;;
040111;1600;;
040111;1700;;
040111;1800;;
040111;1900;;
040111;2000;;
040111;2100;;
040111;2200;;
040111;2300;;
040112;0000;;
040112;0100;;
040112;0200;;
040112;0300;;
040112;0400;;
040112;0500;;
040112;0600;;
040112;0700;;
040112;0800;;
040112;0900;;
040112;1000;;
040112;1100;;
040112;1200;;
040112;1300;;
040112;1400;;
040112;1500;;
040112;1600;;
040112;1700;;
040112;1800;;
040112;1900;;
040112;2000;;
040112;2100;;
040112;2200;;
040112;2300;;
040113;0000;;
040113;0100;;
040113;0200;;
040113;0300;;
040113;0400;;
040113;0500;;
040113;0600;;
040113;0700;;
040113;0800;;
040113;0900;;
040113;1000;;
040113;1100;;
040113;1200;;
040113;1300;;
040113;1400;;
040113;1500;;
040113;1600;;
040113;1700;;
040113;1800;;
040113;1900;;
040113;2000;;
040113;2100;;
040113;2200;;
040113;2300;;
040114;0000;;
040114;0100;;
040114;0200;;
040114;0300;;
040114;0400;;
040114;0500;;
040114;0600;;
040114;0700;;
040114;0800;;
040114;0900;;
040114;1000;;
040114;1100;;
040114;1200;;
040114;1300;;
040114;1400;;
040114;1500;;
040114;1600;;
040114;1700;;
040114;1800;;
040114;1900;;
040114;2000;;
040114;2100;;
040114;2200;;
040114;2300;;
040115;0000;;
040115;0100;;
040115;0200;;
040115;0300;;
040115;0400;;
040115;0500;;
040115;0600;;
040115;0700;;
040115;0800;;
040115;0900;;
040115;1000;;
040115;1100;;
040115;1200;;
040115;1300;;
040115;1400;;
