FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970729;0100;7;;;
970729;0200;9;;;
970729;0300;8;;;
970729;0400;6;;;
970729;0500;6;;;
970729;0600;6;;;
970729;0700;8;;;
970729;0800;7;;;
970729;0900;8;;;
970729;1000;10;;;
970729;1100;6;;;
970729;1200;7;;;
970729;1300;6;;;
970729;1400;6;;;
970729;1500;5;;;
970729;1600;6;;;
970729;1700;13;;;
970729;1800;16;;;
970729;1900;22;;;
970729;2000;30;;;
970729;2100;10;;;
970729;2200;8;;;
970729;2300;8;;;
970730;0000;7;;;
970730;0100;7;;;
970730;0200;7;;;
970730;0300;7;;;
970730;0400;6;;;
970730;0500;7;;;
970730;0600;7;;;
970730;0700;6;;;
970730;0800;6;;;
970730;0900;7;;;
970730;1000;8;;;
970730;1100;8;;;
970730;1200;7;;;
970730;1300;8;;;
970730;1400;7;;;
970730;1500;6;;;
970730;1600;6;;;
970730;1700;6;;;
970730;1800;6;;;
970730;1900;6;;;
970730;2000;6;;;
970730;2100;6;;;
970730;2200;5;;;
970730;2300;5;;;
970731;0000;6;;;
970731;0100;7;;;
970731;0200;5;;;
970731;0300;5;;;
970731;0400;5;;;
970731;0500;4;;;
970731;0600;4;;;
970731;0700;4;;;
970731;0800;8;;;
970731;0900;10;;;
970731;1000;8;;;
970731;1100;6;;;
970731;1200;6;;;
970731;1300;5;;;
970731;1400;6;;;
970731;1500;5;;;
970731;1600;6;;;
970731;1700;5;;;
970731;1800;7;;;
970731;1900;8;;;
970731;2000;6;;;
970731;2100;6;;;
970731;2200;6;;;
970731;2300;7;;;
970801;0000;6;;;
970801;0100;6;;;
970801;0200;6;;;
970801;0300;6;;;
970801;0400;6;;;
970801;0500;9;;;
970801;0600;11;;;
970801;0700;10;;;
970801;0800;10;;;
970801;0900;10;;;
970801;1000;18;;;
970801;1100;14;;;
970801;1200;13;;;
970801;1300;14;;;
970801;1400;14;;;
970801;1500;13;;;
970801;1600;14;;;
970801;1700;12;;;
970801;1800;12;;;
970801;1900;17;;;
970801;2000;9;;;
970801;2100;8;;;
970801;2200;11;;;
970801;2300;15;;;
970802;0000;12;;;
970802;0100;14;;;
970802;0200;10;;;
970802;0300;7;;;
970802;0400;10;;;
970802;0500;8;;;
970802;0600;7;;;
970802;0700;6;;;
970802;0800;8;;;
970802;0900;13;;;
970802;1000;18;;;
970802;1100;17;;;
970802;1200;12;;;
970802;1300;16;;;
970802;1400;12;;;
970802;1500;12;;;
970802;1600;13;;;
970802;1700;11;;;
970802;1800;8;;;
970802;1900;8;;;
970802;2000;11;;;
970802;2100;9;;;
970802;2200;7;;;
970802;2300;10;;;
970803;0000;9;;;
970803;0100;7;;;
970803;0200;8;;;
970803;0300;8;;;
970803;0400;6;;;
970803;0500;6;;;
970803;0600;8;;;
970803;0700;5;;;
970803;0800;7;;;
970803;0900;12;;;
970803;1000;9;;;
970803;1100;8;;;
970803;1200;10;;;
970803;1300;23;;;
970803;1400;146;;;
970803;1500;140;;;
970803;1600;74;;;
970803;1700;38;;;
970803;1800;13;;;
970803;1900;14;;;
970803;2000;15;;;
970803;2100;12;;;
970803;2200;12;;;
970803;2300;8;;;
970804;0000;8;;;
970804;0100;8;;;
970804;0200;8;;;
970804;0300;7;;;
970804;0400;6;;;
970804;0500;6;;;
970804;0600;7;;;
970804;0700;10;;;
970804;0800;14;;;
970804;0900;27;;;
970804;1000;31;;;
970804;1100;33;;;
970804;1200;41;;;
970804;1300;43;;;
970804;1400;39;;;
970804;1500;42;;;
970804;1600;43;;;
970804;1700;42;;;
970804;1800;28;;;
970804;1900;25;;;
970804;2000;25;;;
970804;2100;27;;;
970804;2200;27;;;
970804;2300;27;;;
970805;0000;21;;;
970805;0100;19;;;
970805;0200;11;;;
970805;0300;9;;;
970805;0400;8;;;
970805;0500;10;;;
970805;0600;11;;;
970805;0700;16;;;
970805;0800;22;;;
970805;0900;31;;;
970805;1000;40;;;
970805;1100;38;;;
970805;1200;37;;;
970805;1300;37;;;
970805;1400;37;;;
970805;1500;37;;;
970805;1600;15;;;
970805;1700;12;;;
970805;1800;12;;;
970805;1900;24;;;
970805;2000;22;;;
970805;2100;17;;;
970805;2200;11;;;
970805;2300;8;;;
970806;0000;9;;;
970806;0100;6;;;
970806;0200;8;;;
970806;0300;7;;;
970806;0400;6;;;
970806;0500;6;;;
970806;0600;7;;;
970806;0700;9;;;
970806;0800;13;;;
970806;0900;28;;;
970806;1000;25;;;
970806;1100;21;;;
970806;1200;20;;;
970806;1300;20;;;
970806;1400;23;;;
970806;1500;28;;;
970806;1600;73;;;
970806;1700;30;;;
970806;1800;24;;;
970806;1900;13;;;
970806;2000;11;;;
970806;2100;13;;;
970806;2200;14;;;
970806;2300;12;;;
970807;0000;10;;;
970807;0100;8;;;
970807;0200;6;;;
970807;0300;5;;;
970807;0400;4;;;
970807;0500;4;;;
970807;0600;6;;;
970807;0700;8;;;
970807;0800;12;;;
970807;0900;19;;;
970807;1000;25;;;
970807;1100;30;;;
970807;1200;23;;;
970807;1300;19;;;
970807;1400;12;;;
970807;1500;15;;;
970807;1600;67;;;
970807;1700;120;;;
970807;1800;55;;;
970807;1900;37;;;
970807;2000;35;;;
970807;2100;29;;;
970807;2200;21;;;
970807;2300;19;;;
970808;0000;14;;;
970808;0100;11;;;
970808;0200;9;;;
970808;0300;8;;;
970808;0400;7;;;
970808;0500;6;;;
970808;0600;7;;;
970808;0700;9;;;
970808;0800;11;;;
970808;0900;27;;;
970808;1000;38;;;
970808;1100;29;;;
970808;1200;18;;;
970808;1300;14;;;
970808;1400;14;;;
970808;1500;18;;;
970808;1600;54;;;
970808;1700;32;;;
970808;1800;24;;;
970808;1900;17;;;
970808;2000;23;;;
970808;2100;19;;;
970808;2200;16;;;
970808;2300;17;;;
970809;0000;13;;;
970809;0100;10;;;
970809;0200;9;;;
970809;0300;8;;;
970809;0400;6;;;
970809;0500;6;;;
970809;0600;7;;;
970809;0700;8;;;
970809;0800;12;;;
970809;0900;18;;;
970809;1000;18;;;
970809;1100;19;;;
970809;1200;14;;;
970809;1300;11;;;
970809;1400;12;;;
970809;1500;11;;;
970809;1600;7;;;
970809;1700;9;;;
970809;1800;8;;;
970809;1900;11;;;
970809;2000;12;;;
970809;2100;13;;;
970809;2200;12;;;
970809;2300;12;;;
970810;0000;10;;;
970810;0100;9;;;
970810;0200;8;;;
970810;0300;7;;;
970810;0400;7;;;
970810;0500;6;;;
970810;0600;6;;;
970810;0700;6;;;
970810;0800;9;;;
970810;0900;15;;;
970810;1000;15;;;
970810;1100;16;;;
970810;1200;15;;;
970810;1300;11;;;
970810;1400;11;;;
970810;1500;10;;;
970810;1600;10;;;
970810;1700;12;;;
970810;1800;8;;;
970810;1900;12;;;
970810;2000;10;;;
970810;2100;11;;;
970810;2200;11;;;
970810;2300;9;;;
970811;0000;7;;;
970811;0100;6;;;
970811;0200;5;;;
970811;0300;5;;;
970811;0400;5;;;
970811;0500;5;;;
970811;0600;5;;;
970811;0700;8;;;
970811;0800;17;;;
970811;0900;21;;;
970811;1000;14;;;
970811;1100;12;;;
970811;1200;12;;;
970811;1300;15;;;
970811;1400;9;;;
970811;1500;9;;;
970811;1600;10;;;
970811;1700;12;;;
970811;1800;21;;;
970811;1900;17;;;
