FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090125;0100;1;;;
090125;0200;1;;;
090125;0300;1;;;
090125;0400;1;;;
090125;0500;1;;;
090125;0600;1;;;
090125;0700;2;;;
090125;0800;2;;;
090125;0900;1;;;
090125;1000;2;;;
090125;1100;10;;;
090125;1200;14;;;
090125;1300;18;;;
090125;1400;6;;;
090125;1500;3;;;
090125;1600;1;;;
090125;1700;1;;;
090125;1800;1;;;
090125;1900;1;;;
090125;2000;1;;;
090125;2100;1;;;
090125;2200;1;;;
090125;2300;1;;;
090126;0000;2;;;
090126;0100;1;;;
090126;0200;1;;;
090126;0300;1;;;
090126;0400;1;;;
090126;0500;1;;;
090126;0600;1;;;
090126;0700;2;;;
090126;0800;1;;;
090126;0900;2;;;
090126;1000;1;;;
090126;1100;2;;;
090126;1200;3;;;
090126;1300;10;;;
090126;1400;9;;;
090126;1500;3;;;
090126;1600;2;;;
090126;1700;2;;;
090126;1800;1;;;
090126;1900;2;;;
090126;2000;1;;;
090126;2100;1;;;
090126;2200;1;;;
090126;2300;1;;;
090127;0000;1;;;
090127;0100;1;;;
090127;0200;1;;;
090127;0300;1;;;
090127;0400;1;;;
090127;0500;1;;;
090127;0600;1;;;
090127;0700;1;;;
090127;0800;1;;;
090127;0900;1;;;
090127;1000;1;;;
090127;1100;4;;;
090127;1200;23;;;
090127;1300;15;;;
090127;1400;8;;;
090127;1500;5;;;
090127;1600;4;;;
090127;1700;4;;;
090127;1800;2;;;
090127;1900;1;;;
090127;2000;1;;;
090127;2100;1;;;
090127;2200;1;;;
090127;2300;1;;;
090128;0000;1;;;
090128;0100;1;;;
090128;0200;1;;;
090128;0300;1;;;
090128;0400;1;;;
090128;0500;1;;;
090128;0600;2;;;
090128;0700;10;;;
090128;0800;4;;;
090128;0900;3;;;
090128;1000;3;;;
090128;1100;13;;;
090128;1200;8;;;
090128;1300;4;;;
090128;1400;3;;;
090128;1500;2;;;
090128;1600;2;;;
090128;1700;1;;;
090128;1800;1;;;
090128;1900;1;;;
090128;2000;1;;;
090128;2100;1;;;
090128;2200;1;;;
090128;2300;1;;;
090129;0000;1;;;
090129;0100;1;;;
090129;0200;1;;;
090129;0300;1;;;
090129;0400;1;;;
090129;0500;2;;;
090129;0600;3;;;
090129;0700;1;;;
090129;0800;1;;;
090129;0900;1;;;
090129;1000;2;;;
090129;1100;2;;;
090129;1200;1;;;
090129;1300;1;;;
090129;1400;1;;;
090129;1500;1;;;
090129;1600;1;;;
090129;1700;2;;;
090129;1800;2;;;
090129;1900;5;;;
090129;2000;2;;;
090129;2100;2;;;
