FECHA (YYMMDD);HORA (HHMM);;
101215;0100;11,6416;
101215;0200;9,77498;
101215;0300;10,2333;
101215;0400;9,68332;
101215;0500;7,89999;
101215;0600;10,1167;
101215;0700;11,6416;
101215;0800;13,2666;
101215;0900;16,1917;
101215;1000;18,8167;
101215;1100;21,0166;
101215;1200;22,8916;
101215;1300;24,1333;
101215;1400;25,1083;
101215;1500;25,6333;
101215;1600;25,3416;
101215;1700;24,725;
101215;1800;23,1833;
101215;1900;20,8;
101215;2000;18,4333;
101215;2100;16,6333;
101215;2200;15,2917;
101215;2300;14,2333;
101216;0000;13,6083;
101216;0100;13,0166;
101216;0200;12,0083;
101216;0300;11,3333;
101216;0400;10,825;
101216;0500;8,29999;
101216;0600;11,7;
101216;0700;13,4083;
101216;0800;15,4417;
101216;0900;17,0333;
101216;1000;19,1583;
101216;1100;22,3416;
101216;1200;24,1083;
101216;1300;25,1833;
101216;1400;25,6166;
101216;1500;25,6583;
101216;1600;25,1083;
101216;1700;23,625;
101216;1800;21,5916;
101216;1900;18,325;
101216;2000;15,8;
101216;2100;14,0667;
101216;2200;12,875;
101216;2300;11,8333;
101217;0000;11,125;
101217;0100;9,03333;
101217;0200;10,2333;
101217;0300;9,4583;
101217;0400;9,12497;
101217;0500;6,95;
101217;0600;8,51665;
101217;0700;10,5583;
101217;0800;12,2333;
101217;0900;14,825;
101217;1000;18,3583;
101217;1100;20,8;
101217;1200;22,275;
101217;1300;23,6583;
101217;1400;24,8666;
101217;1500;25,3666;
101217;1600;25,35;
101217;1700;23,975;
101217;1800;22,1667;
101217;1900;19,4666;
101217;2000;17,375;
101217;2100;16,35;
101217;2200;15,3667;
101217;2300;14,3583;
101218;0000;13,6416;
101218;0100;12,9167;
101218;0200;12,0667;
101218;0300;10,8;
101218;0400;11,2583;
101218;0500;10,7167;
101218;0600;13,4583;
101218;0700;16,9666;
101218;0800;18,8083;
101218;0900;20,5916;
101218;1000;22,4;
101218;1100;23,3;
101218;1200;25,0417;
101218;1300;26,175;
101218;1400;26,3916;
101218;1500;26,325;
101218;1600;25,475;
101218;1700;24,15;
101218;1800;22,4333;
101218;1900;20,2083;
101218;2000;17,7833;
101218;2100;16,525;
101218;2200;13,3833;
101218;2300;12,975;
101219;0000;13,7417;
101219;0100;12,875;
101219;0200;11,7666;
101219;0300;10,8583;
101219;0400;10,0583;
101219;0500;9,42499;
101219;0600;11,9667;
101219;0700;13,725;
101219;0800;16,075;
101219;0900;18,3666;
101219;1000;20,875;
101219;1100;22,5083;
101219;1200;24,375;
101219;1300;25,7916;
101219;1400;26,7666;
101219;1500;27,4;
101219;1600;27,7083;
101219;1700;26,8916;
101219;1800;26;
101219;1900;23,6416;
101219;2000;21,025;
101219;2100;19,125;
101219;2200;18,1833;
101219;2300;17,1917;
101220;0000;16,25;
101220;0100;15,0667;
101220;0200;14,2083;
101220;0300;13,825;
101220;0400;13,2917;
101220;0500;12,6167;
101220;0600;16,4666;
101220;0700;20,0416;
101220;0800;21,9583;
101220;0900;25,1083;
101220;1000;26,8333;
101220;1100;29,1583;
101220;1200;30,7916;
101220;1300;31,7166;
101220;1400;32,6249;
101220;1500;32,7083;
101220;1600;32,5499;
101220;1700;32,1749;
101220;1800;30,525;
101220;1900;27,4666;
101220;2000;24,1583;
101220;2100;22,525;
101220;2200;21,2166;
101220;2300;20,5333;
101221;0000;19,65;
101221;0100;17,6833;
101221;0200;16,0667;
101221;0300;15,5917;
101221;0400;15;
101221;0500;14,775;
101221;0600;17,125;
101221;0700;21,525;
101221;0800;23,7;
101221;0900;26,5;
101221;1000;27,5833;
101221;1100;29,0833;
101221;1200;30,3333;
101221;1300;31,5417;
101221;1400;32,1416;
101221;1500;32,5583;
101221;1600;32,0499;
101221;1700;30,9833;
101221;1800;28,675;
101221;1900;25,6;
101221;2000;22,725;
101221;2100;21,2916;
101221;2200;20,175;
101221;2300;19,0166;
101222;0000;17,95;
101222;0100;16,7416;
101222;0200;15,8417;
101222;0300;14,9583;
101222;0400;15,875;
101222;0500;13,0333;
101222;0600;13,3333;
101222;0700;14,85;
101222;0800;16,45;
101222;0900;17,2583;
101222;1000;19,0667;
101222;1100;19,975;
101222;1200;21,2166;
101222;1300;21,85;
101222;1400;22,5833;
101222;1500;22,65;
101222;1600;22,6666;
101222;1700;21,8;
101222;1800;20,2583;
101222;1900;18,2833;
101222;2000;16,4333;
101222;2100;15,0916;
101222;2200;13,95;
101222;2300;13,05;
101223;0000;12,2083;
101223;0100;11,65;
101223;0200;11,3416;
101223;0300;;
101223;0400;9,54999;
101223;0500;9,79166;
101223;0600;10,2166;
101223;0700;12,5917;
101223;0800;13,0417;
101223;0900;13,775;
101223;1000;15,525;
101223;1100;18,2666;
101223;1200;20,4583;
101223;1300;22,1917;
101223;1400;23,5833;
101223;1500;23,9166;
101223;1600;23,825;
101223;1700;23,4083;
101223;1800;22,1166;
101223;1900;20,325;
101223;2000;18,125;
101223;2100;16,65;
101223;2200;15,3667;
101223;2300;14,425;
101224;0000;13,5417;
101224;0100;12,9083;
101224;0200;12,0917;
101224;0300;11,5083;
101224;0400;10,9833;
101224;0500;11,5417;
101224;0600;13,375;
101224;0700;15,6083;
101224;0800;18,3083;
101224;0900;21,5833;
101224;1000;23,7;
101224;1100;24,5417;
101224;1200;25,9083;
101224;1300;27,4417;
101224;1400;28,675;
101224;1500;29,0916;
