FECHA (YYMMDD);HORA (HHMM);;
031215;0100;;
031215;0200;;
031215;0300;;
031215;0400;;
031215;0500;;
031215;0600;;
031215;0700;;
031215;0800;;
031215;0900;;
031215;1000;;
031215;1100;23,475;
031215;1200;25,3833;
031215;1300;26,4166;
031215;1400;27,325;
031215;1500;27,7083;
031215;1600;27,5667;
031215;1700;27,4;
031215;1800;26,675;
031215;1900;25;
031215;2000;22,6333;
031215;2100;20,6833;
031215;2200;19,25;
031215;2300;18,1333;
031216;0000;17,35;
031216;0100;16,2333;
031216;0200;15,4833;
031216;0300;14,6583;
031216;0400;13,9167;
031216;0500;13,375;
031216;0600;15,575;
031216;0700;17,5583;
031216;0800;20,675;
031216;0900;23,95;
031216;1000;26,7166;
031216;1100;28,15;
031216;1200;29,85;
031216;1300;31,3833;
031216;1400;32,2166;
031216;1500;32,6583;
031216;1600;32,95;
031216;1700;32,6749;
031216;1800;31,8833;
031216;1900;29,725;
031216;2000;27,2833;
031216;2100;25,65;
031216;2200;24,65;
031216;2300;22,8916;
031217;0000;21,4;
031217;0100;20,25;
031217;0200;19,05;
031217;0300;17,6833;
031217;0400;16,7166;
031217;0500;16,2;
031217;0600;18,8666;
031217;0700;22,2;
031217;0800;25,275;
031217;0900;27,6333;
031217;1000;28,7666;
031217;1100;30,3666;
031217;1200;31,6333;
031217;1300;32,5416;
031217;1400;32,5499;
031217;1500;32,0083;
031217;1600;30,7666;
031217;1700;29,5667;
031217;1800;27,5667;
031217;1900;24,325;
031217;2000;21,4583;
031217;2100;19,7333;
031217;2200;18,1833;
031217;2300;17,1083;
031218;0000;16,1333;
031218;0100;15,4167;
031218;0200;14,8583;
031218;0300;14,225;
031218;0400;14,1083;
031218;0500;13,925;
031218;0600;16,1333;
031218;0700;17,925;
031218;0800;20,0667;
031218;0900;22,175;
031218;1000;24,0333;
031218;1100;26,225;
031218;1200;27,6333;
031218;1300;28,325;
031218;1400;28,8333;
031218;1500;28,8167;
031218;1600;28,1416;
031218;1700;27,2666;
031218;1800;25,5833;
031218;1900;22,5916;
031218;2000;20,5083;
031218;2100;19,1583;
031218;2200;18,65;
031218;2300;17,175;
031219;0000;16,2333;
031219;0100;15,1667;
031219;0200;15;
031219;0300;14,3916;
031219;0400;13,675;
031219;0500;13,9333;
031219;0600;15,3583;
031219;0700;17,7083;
031219;0800;20,5083;
031219;0900;23,0083;
031219;1000;24,2916;
031219;1100;26,0166;
031219;1200;27,1833;
031219;1300;28,1917;
031219;1400;28,9083;
031219;1500;29,6333;
031219;1600;29,8;
031219;1700;28,4916;
031219;1800;27,325;
031219;1900;24,8833;
031219;2000;22,9167;
031219;2100;21,825;
031219;2200;21,0833;
031219;2300;20,375;
031220;0000;20,0166;
031220;0100;18,9083;
031220;0200;18,125;
031220;0300;17,6083;
031220;0400;17,2;
031220;0500;16,7666;
031220;0600;18,3;
031220;0700;20,275;
031220;0800;23,6667;
031220;0900;25,275;
031220;1000;27,3;
031220;1100;28,4666;
031220;1200;29,8167;
031220;1300;30,925;
031220;1400;31,45;
031220;1500;31,4583;
031220;1600;29,8833;
031220;1700;27,45;
031220;1800;25,025;
031220;1900;22,2166;
031220;2000;20,6166;
031220;2100;19,8833;
031220;2200;19,1917;
031220;2300;17,55;
031221;0000;15,2083;
031221;0100;14;
031221;0200;13,2833;
031221;0300;12,975;
031221;0400;12,2167;
031221;0500;11,3583;
031221;0600;12,4667;
031221;0700;13,8;
031221;0800;16,6583;
031221;0900;19,55;
031221;1000;20,9417;
031221;1100;22,475;
031221;1200;23,25;
031221;1300;24,425;
031221;1400;25,5916;
031221;1500;26,6166;
031221;1600;27,1;
031221;1700;27,2;
031221;1800;26,675;
031221;1900;24,8583;
031221;2000;22,7416;
031221;2100;21,2583;
031221;2200;20,2333;
031221;2300;19,025;
031222;0000;17,55;
031222;0100;16,45;
031222;0200;15,7083;
031222;0300;15,1333;
031222;0400;14,4583;
031222;0500;13,9083;
031222;0600;16,0583;
031222;0700;17,5166;
031222;0800;20,3416;
031222;0900;22,525;
031222;1000;24,325;
031222;1100;25,425;
031222;1200;27,0416;
031222;1300;28,7333;
031222;1400;29,9833;
031222;1500;30,5916;
031222;1600;30,65;
031222;1700;29,9666;
031222;1800;28,125;
031222;1900;25,4;
031222;2000;22,65;
031222;2100;20,5833;
031222;2200;19,7916;
031222;2300;18,9666;
031223;0000;18,4;
031223;0100;17,6166;
031223;0200;16,6083;
031223;0300;15,8916;
031223;0400;15,5667;
031223;0500;15,2333;
031223;0600;17,1083;
031223;0700;18,7666;
031223;0800;21,3333;
031223;0900;23,375;
031223;1000;25,1416;
031223;1100;26,5583;
031223;1200;28,1666;
031223;1300;29,2333;
031223;1400;29,225;
031223;1500;28,95;
031223;1600;28,325;
031223;1700;27,5583;
031223;1800;26,175;
031223;1900;22,975;
031223;2000;20,4833;
031223;2100;18,9666;
031223;2200;17,7333;
031223;2300;16,5667;
031224;0000;15,9417;
031224;0100;15,0667;
031224;0200;13,6167;
031224;0300;13,4417;
031224;0400;12,975;
031224;0500;12,1083;
031224;0600;13,6083;
031224;0700;15,125;
031224;0800;18,4166;
031224;0900;19,6166;
031224;1000;21,3;
031224;1100;23,55;
031224;1200;24,9583;
031224;1300;25,8167;
031224;1400;26,325;
031224;1500;26,6083;
031224;1600;26,4833;
031224;1700;25,65;
031224;1800;24,1583;
031224;1900;21,9167;
031224;2000;19,95;
031224;2100;18,4666;
031224;2200;17,0417;
031224;2300;15,9583;
031225;0000;14,8583;
031225;0100;14,0833;
031225;0200;13,3;
031225;0300;13,1833;
031225;0400;12,8;
031225;0500;12,4667;
031225;0600;13,2583;
031225;0700;16,5416;
031225;0800;19,0416;
031225;0900;22,4333;
031225;1000;24,9833;
031225;1100;26,475;
031225;1200;27,5916;
031225;1300;28,325;
031225;1400;29,0833;
031225;1500;29,4166;
031225;1600;29,0833;
031225;1700;27,6917;
031225;1800;26,2583;
031225;1900;23,725;
031225;2000;21,3333;
031225;2100;19,7166;
031225;2200;18,325;
031225;2300;17,075;
031226;0000;15,975;
031226;0100;15,075;
031226;0200;14,8333;
031226;0300;13,4667;
031226;0400;12,775;
031226;0500;12,9167;
031226;0600;13,5333;
031226;0700;15,6667;
031226;0800;18,9583;
031226;0900;20,5833;
031226;1000;21,8833;
031226;1100;23,75;
031226;1200;25,1083;
031226;1300;26,3333;
031226;1400;26,7583;
031226;1500;27,2333;
031226;1600;27,05;
031226;1700;26,025;
031226;1800;24,6333;
031226;1900;22,625;
031226;2000;20,05;
031226;2100;18,475;
031226;2200;17,4666;
031226;2300;16,4;
031227;0000;15,375;
031227;0100;14,5;
031227;0200;13,5917;
031227;0300;12,725;
031227;0400;12,1167;
031227;0500;11,65;
031227;0600;12,5166;
031227;0700;13,55;
031227;0800;15,225;
031227;0900;17,3167;
031227;1000;18,4833;
031227;1100;20,4417;
031227;1200;22,3083;
031227;1300;23,6166;
031227;1400;24,8167;
031227;1500;26;
031227;1600;26,6083;
031227;1700;26,55;
031227;1800;25,9666;
031227;1900;24,0916;
031227;2000;21,7083;
031227;2100;19,725;
031227;2200;18,2666;
031227;2300;16,8833;
031228;0000;15,7;
031228;0100;14,9667;
031228;0200;14,2417;
031228;0300;13,3667;
031228;0400;12,7666;
031228;0500;12,3;
031228;0600;14,25;
031228;0700;15,9833;
031228;0800;18,7917;
031228;0900;21,8167;
031228;1000;23,6917;
031228;1100;25,3583;
031228;1200;27,0583;
031228;1300;28,4666;
031228;1400;29,625;
031228;1500;30,1667;
031228;1600;30,425;
031228;1700;30,0166;
031228;1800;28,9583;
031228;1900;26,1083;
031228;2000;22,25;
031228;2100;20,6166;
031228;2200;19,775;
031228;2300;19,2416;
031229;0000;18,55;
031229;0100;17,0333;
031229;0200;15,8416;
031229;0300;15,4333;
031229;0400;15,075;
031229;0500;14,675;
031229;0600;15,6583;
