FECHA (YYMMDD);HORA (HHMM);;
090124;0100;;
090124;0200;;
090124;0300;;
090124;0400;;
090124;0500;;
090124;0600;;
090124;0700;;
090124;0800;;
090124;0900;;
090124;1000;;
090124;1100;;
090124;1200;-39,2;
090124;1300;-39,2;
090124;1400;-39,2;
090124;1500;-39,2;
090124;1600;;
090124;1700;;
090124;1800;;
090124;1900;-39,2083;
090124;2000;-39,2;
090124;2100;-39,2;
090124;2200;-39,2166;
090124;2300;-39,2;
090125;0000;-39,2;
090125;0100;-39,2;
090125;0200;-39,2;
090125;0300;-39,2;
090125;0400;;
090125;0500;;
090125;0600;;
090125;0700;;
090125;0800;;
090125;0900;-39,2;
090125;1000;-39,2083;
090125;1100;-39,2;
090125;1200;-39,2083;
090125;1300;-39,2416;
090125;1400;-39,2083;
090125;1500;-39,2;
090125;1600;-39,2;
090125;1700;-39,2;
090125;1800;-39,2083;
090125;1900;-39,2083;
090125;2000;-39,2;
090125;2100;-39,2;
090125;2200;-39,2083;
090125;2300;-39,2499;
090126;0000;-39,2666;
090126;0100;-39,2583;
090126;0200;-39,2083;
090126;0300;-39,2;
090126;0400;-39,2;
090126;0500;-39,2083;
090126;0600;-39,2083;
090126;0700;-39,2;
090126;0800;-39,2583;
090126;0900;-39,2166;
090126;1000;-39,2;
090126;1100;-39,2;
090126;1200;-39,2;
090126;1300;-39,2;
090126;1400;;
090126;1500;;
090126;1600;;
090126;1700;;
090126;1800;-39,2111;
090126;1900;-39,2;
090126;2000;-39,2;
090126;2100;-39,2;
090126;2200;-39,2;
090126;2300;-39,2083;
090127;0000;-39,2;
090127;0100;-39,2083;
090127;0200;-39,2;
090127;0300;-39,2083;
090127;0400;-39,2;
090127;0500;-39,2;
090127;0600;-39,2;
090127;0700;-39,2166;
090127;0800;-39,2249;
090127;0900;-39,2083;
090127;1000;-39,2083;
090127;1100;-39,2166;
090127;1200;-39,2166;
090127;1300;-39,2249;
090127;1400;-39,2;
090127;1500;-39,2;
090127;1600;-39,2833;
090127;1700;-39,3;
090127;1800;-39,3;
090127;1900;-39,3167;
090127;2000;-39,2249;
090127;2100;-39,2;
090127;2200;-39,2;
090127;2300;-39,2166;
090128;0000;-39,2;
090128;0100;-39,2249;
090128;0200;-39,2;
090128;0300;-39,2;
090128;0400;-39,2;
090128;0500;-39,2;
090128;0600;;
090128;0700;;
090128;0800;-39,2833;
090128;0900;-39,2833;
090128;1000;-39,2333;
090128;1100;-39,2249;
090128;1200;-39,2583;
090128;1300;-39,2166;
090128;1400;-39,2166;
090128;1500;-39,2333;
090128;1600;-39,2;
090128;1700;-39,2083;
090128;1800;-39,2;
090128;1900;-39,2;
090128;2000;-39,2083;
090128;2100;-39,2;
090128;2200;-39,2;
090128;2300;-39,2;
090129;0000;-39,2;
090129;0100;;
090129;0200;;
090129;0300;;
090129;0400;-39,2083;
090129;0500;-39,2;
090129;0600;-39,2416;
090129;0700;-39,2916;
090129;0800;-39,3;
090129;0900;-39,2583;
090129;1000;-39,2;
090129;1100;-39,2166;
090129;1200;-39,2666;
090129;1300;-39,2416;
090129;1400;-39,3;
090129;1500;-39,3;
090129;1600;-39,275;
090129;1700;-39,2;
090129;1800;-39,2;
090129;1900;-39,2;
090129;2000;-39,2;
090129;2100;-39,2;
090129;2200;;
090129;2300;;
090130;0000;;
090130;0100;-39,2083;
090130;0200;-39,2;
090130;0300;-39,2;
090130;0400;-39,2;
090130;0500;-39,2;
090130;0600;-39,2583;
090130;0700;-39,275;
090130;0800;-39,2666;
090130;0900;-39,3;
090130;1000;-39,2916;
090130;1100;-39,2416;
090130;1200;-39,2499;
090130;1300;-39,2083;
090130;1400;-39,2;
090130;1500;-39,2249;
090130;1600;-39,2;
090130;1700;-39,2166;
090130;1800;-39,2083;
090130;1900;-39,2;
090130;2000;-39,2;
090130;2100;-39,2;
090130;2200;-39,2;
090130;2300;-39,209;
090131;0000;-39,2249;
090131;0100;-39,2083;
090131;0200;-39,2083;
090131;0300;-39,2;
090131;0400;-39,2;
090131;0500;-39,2;
090131;0600;-39,2;
090131;0700;-39,2499;
090131;0800;-39,3;
090131;0900;-39,2916;
090131;1000;-39,2583;
090131;1100;-39,2333;
090131;1200;-39,2;
090131;1300;-39,2083;
090131;1400;-39,2083;
090131;1500;-39,2333;
090131;1600;-39,2083;
090131;1700;-39,2333;
090131;1800;-39,2166;
090131;1900;-39,2333;
090131;2000;-39,2;
090131;2100;-39,2083;
090131;2200;-39,2333;
090131;2300;-39,2083;
090201;0000;-39,2166;
090201;0100;-39,2083;
090201;0200;-39,2;
090201;0300;-39,2;
090201;0400;-39,2;
090201;0500;-39,2;
090201;0600;-39,2249;
090201;0700;-39,2333;
090201;0800;-39,2833;
090201;0900;-39,2083;
090201;1000;-39,2083;
090201;1100;-39,2083;
090201;1200;-39,2333;
090201;1300;-39,2416;
090201;1400;-39,2;
090201;1500;-39,2333;
090201;1600;-39,2;
090201;1700;-39,2083;
090201;1800;-39,2;
090201;1900;-39,2;
090201;2000;-39,2;
090201;2100;-39,2;
090201;2200;-39,2083;
090201;2300;-39,2083;
090202;0000;-39,2083;
090202;0100;-39,2249;
090202;0200;-39,2166;
090202;0300;-39,2;
090202;0400;-39,2249;
090202;0500;-39,2;
090202;0600;-39,2;
090202;0700;-39,2;
090202;0800;-39,2;
090202;0900;-39,2499;
090202;1000;-39,2166;
090202;1100;-39,2249;
090202;1200;-39,2416;
090202;1300;-39,2583;
090202;1400;-39,2249;
090202;1500;-39,2;
090202;1600;-39,2333;
090202;1700;-39,2;
090202;1800;-39,2;
090202;1900;-39,2;
090202;2000;-39,2;
090202;2100;-39,275;
090202;2200;-39,2249;
090202;2300;-39,2;
090203;0000;-39,2166;
090203;0100;-39,2;
090203;0200;-39,2083;
090203;0300;-39,2;
090203;0400;-39,2083;
090203;0500;-39,2;
090203;0600;-39,2166;
090203;0700;-39,2083;
090203;0800;-39,2416;
090203;0900;-39,2416;
090203;1000;-39,2083;
090203;1100;-39,2249;
