FECHA (YYMMDD);HORA (HHMM);;
031215;0100;;
031215;0200;;
031215;0300;;
031215;0400;;
031215;0500;;
031215;0600;;
031215;0700;;
031215;0800;;
031215;0900;;
031215;1000;1,17191;
031215;1100;1,3693;
031215;1200;1,99384;
031215;1300;2,64399;
031215;1400;2,1657;
031215;1500;2,44731;
031215;1600;2,06512;
031215;1700;2,275;
031215;1800;2,52359;
031215;1900;2,17163;
031215;2000;1,18736;
031215;2100;1,132;
031215;2200;0,351612;
031215;2300;0,326967;
031216;0000;0,488102;
031216;0100;0,271987;
031216;0200;0,308181;
031216;0300;0,256863;
031216;0400;0,16052;
031216;0500;0,296583;
031216;0600;0,484049;
031216;0700;0,520611;
031216;0800;0,471173;
031216;0900;0,933018;
031216;1000;1,08532;
031216;1100;1,0724;
031216;1200;1,63066;
031216;1300;2,24852;
031216;1400;1,97439;
031216;1500;2,18574;
031216;1600;2,4187;
031216;1700;2,12411;
031216;1800;2,03526;
031216;1900;1,56462;
031216;2000;1,28668;
031216;2100;1,25556;
031216;2200;0,855281;
031216;2300;0,298306;
031217;0000;0,356183;
031217;0100;0,455595;
031217;0200;0,283453;
031217;0300;0,379549;
031217;0400;0,202662;
031217;0500;0,583097;
031217;0600;0,135583;
031217;0700;0,290114;
031217;0800;0,619862;
031217;0900;0,792583;
031217;1000;1,42269;
031217;1100;1,57838;
031217;1200;2,09922;
031217;1300;2,48449;
031217;1400;3,01472;
031217;1500;3,20533;
031217;1600;2,81656;
031217;1700;2,63948;
031217;1800;2,3494;
031217;1900;1,89082;
031217;2000;1,94484;
031217;2100;1,36291;
031217;2200;1,29773;
031217;2300;1,15402;
031218;0000;0,943044;
031218;0100;0,375185;
031218;0200;0,412902;
031218;0300;0,447504;
031218;0400;0,529858;
031218;0500;0,410501;
031218;0600;0,862452;
031218;0700;0,706081;
031218;0800;0,570415;
031218;0900;1,12816;
031218;1000;1,32302;
031218;1100;1,60813;
031218;1200;2,19417;
031218;1300;2,47844;
031218;1400;2,79893;
031218;1500;3,13139;
031218;1600;3,08819;
031218;1700;2,75314;
031218;1800;2,8093;
031218;1900;2,03689;
031218;2000;1,81108;
031218;2100;1,23877;
031218;2200;0,983563;
031218;2300;1,24795;
031219;0000;0,719812;
031219;0100;0,848222;
031219;0200;0,200163;
031219;0300;0,349781;
031219;0400;0,49543;
031219;0500;0,244456;
031219;0600;0,501949;
031219;0700;0,551702;
031219;0800;0,909323;
031219;0900;1,18903;
031219;1000;1,22857;
031219;1100;2,01658;
031219;1200;2,5006;
031219;1300;2,42565;
031219;1400;2,71339;
031219;1500;2,60287;
031219;1600;2,66462;
031219;1700;2,83784;
031219;1800;2,44548;
031219;1900;2,05607;
031219;2000;1,9614;
031219;2100;1,49247;
031219;2200;1,24076;
031219;2300;0,0199811;
031220;0000;0,544755;
031220;0100;0,220222;
031220;0200;0,238242;
031220;0300;0,192645;
031220;0400;0,0504619;
031220;0500;0,427078;
031220;0600;0,538857;
031220;0700;0,17369;
031220;0800;0,897285;
031220;0900;1,15174;
031220;1000;1,15213;
031220;1100;1,38885;
031220;1200;1,75777;
031220;1300;2,25547;
031220;1400;2,55597;
031220;1500;2,93236;
031220;1600;3,18976;
031220;1700;3,06989;
031220;1800;2,6507;
031220;1900;3,07925;
031220;2000;2,38567;
031220;2100;2,2484;
031220;2200;1,46142;
031220;2300;1,12104;
031221;0000;1,42783;
031221;0100;1,43848;
031221;0200;1,11795;
031221;0300;0,718554;
031221;0400;0,995793;
031221;0500;0,868145;
031221;0600;0,652654;
031221;0700;1,3607;
031221;0800;0,503139;
031221;0900;1,54971;
031221;1000;1,60802;
031221;1100;2,44336;
031221;1200;2,48825;
031221;1300;2,41334;
031221;1400;2,14305;
031221;1500;2,62947;
031221;1600;2,16315;
031221;1700;2,25315;
031221;1800;2,28667;
031221;1900;2,1898;
031221;2000;1,72836;
031221;2100;1,70722;
031221;2200;1,46456;
031221;2300;0,932487;
031222;0000;0,756886;
031222;0100;0,790545;
031222;0200;0,74367;
031222;0300;0,78928;
031222;0400;0,191175;
031222;0500;0,270195;
031222;0600;0,344282;
031222;0700;0,656404;
031222;0800;0,932631;
031222;0900;0,503242;
031222;1000;1,21797;
031222;1100;1,48205;
031222;1200;1,64966;
031222;1300;1,98649;
031222;1400;2,13065;
031222;1500;2,18265;
031222;1600;2,40767;
031222;1700;2,80445;
031222;1800;2,69921;
031222;1900;1,95193;
031222;2000;1,35466;
031222;2100;1,38507;
031222;2200;0,875519;
031222;2300;0,473562;
031223;0000;0,385967;
031223;0100;0,206657;
031223;0200;0,196645;
031223;0300;0,2311;
031223;0400;0,288309;
031223;0500;0,377002;
031223;0600;0,553929;
031223;0700;0,269437;
031223;0800;0,847633;
031223;0900;0,82527;
031223;1000;1,15524;
031223;1100;1,87945;
031223;1200;2,43914;
031223;1300;2,6298;
031223;1400;3,00424;
031223;1500;2,86215;
031223;1600;2,95912;
031223;1700;2,67345;
031223;1800;2,36103;
031223;1900;2,31003;
031223;2000;1,72541;
031223;2100;1,44071;
031223;2200;1,33163;
031223;2300;1,04858;
031224;0000;0,870627;
031224;0100;0,489151;
031224;0200;0,474286;
031224;0300;0,368753;
031224;0400;0,502748;
031224;0500;0,581279;
031224;0600;0,252356;
031224;0700;0,567183;
031224;0800;0,422205;
031224;0900;1,14908;
031224;1000;2,00003;
031224;1100;2,15694;
031224;1200;2,50701;
031224;1300;2,83218;
031224;1400;2,98113;
031224;1500;2,999;
031224;1600;2,7994;
031224;1700;2,70044;
031224;1800;2,42054;
031224;1900;1,4788;
031224;2000;1,34143;
031224;2100;1,40544;
031224;2200;1,06769;
031224;2300;0,614676;
031225;0000;0,475965;
031225;0100;0,699344;
031225;0200;0,607145;
031225;0300;0,371974;
031225;0400;0,479856;
031225;0500;0,536119;
031225;0600;0,369434;
031225;0700;1,0545;
031225;0800;0,628211;
031225;0900;0,718506;
031225;1000;0,911142;
031225;1100;1,1129;
031225;1200;2,23009;
031225;1300;2,59893;
031225;1400;2,94365;
031225;1500;2,96741;
031225;1600;2,99372;
031225;1700;2,82879;
031225;1800;2,44347;
031225;1900;2,00157;
031225;2000;2,20402;
031225;2100;1,63963;
031225;2200;1,60069;
031225;2300;1,38065;
031226;0000;1,09851;
031226;0100;0,938347;
031226;0200;0,615743;
031226;0300;0,713983;
031226;0400;0,351537;
031226;0500;0,404216;
031226;0600;0,77596;
031226;0700;0,689941;
031226;0800;0,970815;
031226;0900;0,884248;
031226;1000;1,61256;
031226;1100;2,11406;
031226;1200;2,12529;
031226;1300;2,38143;
031226;1400;2,79198;
031226;1500;2,5158;
031226;1600;2,7517;
031226;1700;2,63494;
031226;1800;2,61884;
031226;1900;2,11104;
031226;2000;2,18163;
031226;2100;2,04929;
031226;2200;1,68222;
031226;2300;1,23446;
031227;0000;1,24961;
031227;0100;0,852819;
031227;0200;1,11245;
031227;0300;0,736032;
031227;0400;0,852324;
031227;0500;0,899693;
031227;0600;0,948515;
031227;0700;0,877831;
031227;0800;0,949563;
031227;0900;1,80859;
031227;1000;2,09208;
031227;1100;1,81228;
031227;1200;1,86763;
031227;1300;1,96612;
031227;1400;1,9537;
031227;1500;1,90185;
031227;1600;2,33307;
031227;1700;2,05299;
031227;1800;1,91044;
031227;1900;2,09243;
031227;2000;1,81049;
031227;2100;1,29202;
031227;2200;0,753716;
031227;2300;0,788877;
031228;0000;0,900084;
031228;0100;0,792081;
031228;0200;0,602712;
031228;0300;0,163441;
031228;0400;0,331908;
031228;0500;0,274474;
031228;0600;0,488581;
031228;0700;0,434166;
031228;0800;0,411617;
031228;0900;1,07251;
031228;1000;1,1261;
031228;1100;1,72652;
031228;1200;1,64868;
031228;1300;2,04607;
031228;1400;2,15801;
031228;1500;2,27928;
031228;1600;2,484;
031228;1700;2,44723;
031228;1800;2,23641;
031228;1900;1,95707;
