FECHA (YYMMDD);HORA (HHMM);;
031214;0100;;
031214;0200;;
031214;0300;;
031214;0400;;
031214;0500;;
031214;0600;;
031214;0700;;
031214;0800;;
031214;0900;;
031214;1000;;
031214;1100;1,50628;
031214;1200;1,4956;
031214;1300;1,75846;
031214;1400;1,55959;
031214;1500;1,80692;
031214;1600;2,24148;
031214;1700;2,52473;
031214;1800;2,54913;
031214;1900;1,82996;
031214;2000;1,18191;
031214;2100;0,85323;
031214;2200;0,231232;
031214;2300;0,293005;
031215;0000;0,693843;
031215;0100;0,186079;
031215;0200;0,762213;
031215;0300;0,753675;
031215;0400;0,802499;
031215;0500;0,508323;
031215;0600;0,188977;
031215;0700;1,01444;
031215;0800;1,75189;
031215;0900;1,25677;
031215;1000;1,51196;
031215;1100;1,98254;
031215;1200;2,32133;
031215;1300;2,23759;
031215;1400;2,42025;
031215;1500;2,5251;
031215;1600;1,73807;
031215;1700;1,96005;
031215;1800;2,11783;
031215;1900;1,62218;
031215;2000;0,340808;
031215;2100;1,03438;
031215;2200;1,37005;
031215;2300;1,52839;
031216;0000;1,24948;
031216;0100;1,57747;
031216;0200;0,889249;
031216;0300;2,3015;
031216;0400;2,32758;
031216;0500;1,18598;
031216;0600;2,10831;
031216;0700;0,356134;
031216;0800;0,93146;
031216;0900;1,3344;
031216;1000;2,11767;
031216;1100;1,83925;
031216;1200;1,93203;
031216;1300;2,3293;
031216;1400;2,44379;
031216;1500;2,1538;
031216;1600;2,16308;
031216;1700;1,87078;
031216;1800;1,56023;
031216;1900;0,985109;
031216;2000;0,448108;
031216;2100;0,936251;
031216;2200;1,38086;
031216;2300;1,60808;
031217;0000;1,89587;
031217;0100;1,80262;
031217;0200;1,74183;
031217;0300;2,01712;
031217;0400;1,91582;
031217;0500;2,67097;
031217;0600;2,13845;
031217;0700;1,26926;
031217;0800;1,42498;
031217;0900;1,57243;
031217;1000;1,8114;
031217;1100;1,96478;
031217;1200;2,44576;
031217;1300;2,30012;
031217;1400;2,60409;
031217;1500;2,69683;
031217;1600;2,44449;
031217;1700;1,98928;
031217;1800;1,41519;
031217;1900;1,40404;
031217;2000;1,10457;
031217;2100;0,562572;
031217;2200;0,577199;
031217;2300;0,810742;
031218;0000;0,91344;
031218;0100;0,696818;
031218;0200;1,4249;
031218;0300;0,832685;
031218;0400;2,57839;
031218;0500;2,50895;
031218;0600;1,04371;
031218;0700;1,1195;
031218;0800;1,52044;
031218;0900;1,84892;
031218;1000;1,6334;
031218;1100;2,0632;
031218;1200;2,30748;
031218;1300;2,80737;
031218;1400;2,70363;
031218;1500;2,78837;
031218;1600;2,40817;
031218;1700;1,96672;
031218;1800;1,74152;
031218;1900;1,39586;
031218;2000;1,312;
031218;2100;0,734118;
031218;2200;0,66039;
031218;2300;0,682098;
031219;0000;0,545154;
031219;0100;1,16968;
031219;0200;0,37498;
031219;0300;1,51327;
031219;0400;0,922091;
031219;0500;0,671219;
031219;0600;1,23897;
031219;0700;0,277897;
031219;0800;1,46206;
031219;0900;1,98591;
031219;1000;1,83054;
031219;1100;2,19931;
031219;1200;2,33961;
031219;1300;2,50253;
031219;1400;2,2285;
031219;1500;2,36937;
031219;1600;2,50336;
031219;1700;2,20782;
031219;1800;1,85983;
031219;1900;1,39416;
031219;2000;1,11146;
031219;2100;0,230749;
031219;2200;0,564828;
031219;2300;1,26648;
031220;0000;0,99439;
031220;0100;0,786917;
031220;0200;0,429876;
031220;0300;1,62984;
031220;0400;1,9068;
031220;0500;1,38642;
031220;0600;0,846616;
031220;0700;0,549431;
031220;0800;1,22786;
031220;0900;1,67435;
031220;1000;1,76864;
031220;1100;2,05529;
031220;1200;2,32133;
031220;1300;2,38472;
031220;1400;2,62149;
031220;1500;2,23824;
031220;1600;2,78498;
031220;1700;2,31292;
031220;1800;2,04263;
031220;1900;1,31565;
031220;2000;0,672914;
031220;2100;0,568542;
031220;2200;0,433671;
031220;2300;0,913132;
031221;0000;0,910987;
031221;0100;0,482242;
031221;0200;0,709288;
031221;0300;0,7391;
031221;0400;0,628836;
031221;0500;0,412745;
031221;0600;1,44573;
031221;0700;0,406889;
031221;0800;1,19683;
031221;0900;0,793944;
031221;1000;2,39919;
031221;1100;2,41626;
031221;1200;2,40442;
031221;1300;2,27532;
031221;1400;2,30986;
031221;1500;2,41102;
031221;1600;2,17218;
031221;1700;2,06187;
031221;1800;1,75407;
031221;1900;1,32454;
031221;2000;1,11215;
031221;2100;0,572555;
031221;2200;0,512112;
031221;2300;0,600842;
031222;0000;1,10978;
031222;0100;0,774466;
031222;0200;0,909678;
031222;0300;1,66489;
031222;0400;1,08686;
031222;0500;0,673899;
031222;0600;1,96823;
031222;0700;0,3711;
031222;0800;1,66302;
031222;0900;1,31024;
031222;1000;1,7362;
031222;1100;2,17971;
031222;1200;2,02634;
031222;1300;1,98848;
031222;1400;2,3928;
031222;1500;2,09768;
031222;1600;2,11675;
031222;1700;2,32348;
031222;1800;1,99124;
031222;1900;1,11201;
031222;2000;0,789322;
031222;2100;0,696187;
031222;2200;0,55419;
031222;2300;1,12374;
031223;0000;0,986669;
031223;0100;0,927279;
031223;0200;1,00156;
031223;0300;1,42618;
031223;0400;1,39315;
031223;0500;1,9812;
031223;0600;2,38792;
031223;0700;0,283532;
031223;0800;1,3257;
031223;0900;1,69655;
031223;1000;2,00877;
031223;1100;1,66207;
031223;1200;2,34782;
031223;1300;2,70759;
031223;1400;2,74006;
031223;1500;2,86818;
031223;1600;2,89414;
031223;1700;2,28252;
031223;1800;1,67909;
031223;1900;1,31273;
031223;2000;0,928908;
031223;2100;0,514931;
031223;2200;0,850711;
031223;2300;0,663892;
031224;0000;1,02135;
031224;0100;1,59782;
031224;0200;1,66295;
031224;0300;0,623729;
031224;0400;1,17845;
031224;0500;2,31928;
031224;0600;2,15886;
031224;0700;0,436351;
031224;0800;1,18891;
031224;0900;1,73581;
031224;1000;2,32687;
031224;1100;2,23632;
031224;1200;2,60825;
031224;1300;2,55266;
031224;1400;2,96743;
031224;1500;2,63631;
031224;1600;2,32976;
031224;1700;2,02435;
031224;1800;1,75366;
031224;1900;1,28609;
031224;2000;0,6038;
031224;2100;0,167898;
031224;2200;0,469508;
031224;2300;0,190633;
031225;0000;0,445206;
031225;0100;1,39102;
031225;0200;0,208988;
031225;0300;0,194775;
031225;0400;1,27309;
031225;0500;1,08089;
031225;0600;0,263657;
031225;0700;0,260862;
031225;0800;1,37709;
031225;0900;1,42998;
031225;1000;1,90989;
031225;1100;2,04334;
031225;1200;2,33938;
031225;1300;2,64851;
031225;1400;2,72599;
031225;1500;2,73608;
031225;1600;2,74632;
031225;1700;2,53003;
031225;1800;1,99083;
031225;1900;1,42966;
031225;2000;1,13319;
031225;2100;0,87073;
031225;2200;0,760426;
031225;2300;0,829947;
031226;0000;0,634082;
031226;0100;0,729918;
031226;0200;1,05132;
031226;0300;1,31392;
031226;0400;0,791037;
031226;0500;1,26423;
031226;0600;2,16644;
031226;0700;1,31479;
031226;0800;1,51962;
031226;0900;2,11585;
031226;1000;2,11226;
031226;1100;2,44245;
031226;1200;2,36479;
031226;1300;2,54693;
031226;1400;2,49686;
031226;1500;2,54753;
031226;1600;2,48682;
031226;1700;2,39759;
031226;1800;2,11631;
031226;1900;1,70394;
031226;2000;1,39675;
031226;2100;1,37567;
031226;2200;1,12554;
031226;2300;0,310146;
031227;0000;0,26942;
031227;0100;0,74943;
031227;0200;0,573415;
031227;0300;0,0226765;
031227;0400;0,226725;
031227;0500;0,36774;
031227;0600;0,32385;
031227;0700;1,20885;
031227;0800;1,99123;
031227;0900;1,94188;
031227;1000;2,31387;
031227;1100;2,11296;
031227;1200;1,76208;
031227;1300;2,20037;
031227;1400;2,20521;
031227;1500;2,17577;
031227;1600;2,09429;
031227;1700;2,10305;
031227;1800;1,85719;
031227;1900;1,62401;
031227;2000;0,901466;
031227;2100;0,502658;
031227;2200;0,999327;
031227;2300;1,38609;
031228;0000;1,0368;
031228;0100;0,765121;
031228;0200;0,286451;
031228;0300;0,186027;
031228;0400;1,6453;
031228;0500;2,05152;
031228;0600;1,85352;
031228;0700;0,979671;
031228;0800;1,40922;
031228;0900;1,66021;
031228;1000;2,08796;
031228;1100;2,23757;
031228;1200;2,31582;
031228;1300;2,21712;
031228;1400;2,48375;
031228;1500;2,35754;
031228;1600;2,35036;
031228;1700;2,37332;
031228;1800;1,94305;
031228;1900;1,39487;
031228;2000;1,03976;
031228;2100;0,618917;
031228;2200;1,35623;
031228;2300;0,444673;
031229;0000;0,69945;
031229;0100;1,47169;
031229;0200;2,08457;
031229;0300;0,976315;
031229;0400;1,37947;
031229;0500;1,86761;
031229;0600;2,05115;
031229;0700;0,199618;
031229;0800;1,62922;
031229;0900;1,90278;
031229;1000;1,71727;
031229;1100;2,17089;
031229;1200;2,58914;
031229;1300;2,46584;
031229;1400;2,46182;
031229;1500;2,3481;
031229;1600;2,54893;
031229;1700;2,28409;
031229;1800;1,89897;
031229;1900;1,33863;
031229;2000;0,370067;
031229;2100;1,60803;
031229;2200;0,62007;
031229;2300;1,35411;
031230;0000;0,671168;
031230;0100;1,37803;
031230;0200;1,64238;
031230;0300;1,02307;
031230;0400;1,87197;
031230;0500;0,781835;
031230;0600;0,847524;
031230;0700;1,02937;
031230;0800;0,759563;
031230;0900;1,77623;
031230;1000;1,87212;
031230;1100;2,08273;
031230;1200;2,11456;
031230;1300;2,03275;
031230;1400;2,40086;
031230;1500;2,3571;
031230;1600;2,45441;
031230;1700;2,40615;
031230;1800;1,81079;
031230;1900;1,4918;
031230;2000;0,895672;
031230;2100;0,509399;
031230;2200;0,247046;
031230;2300;0,385859;
031231;0000;0,826713;
031231;0100;1,18675;
031231;0200;2,06709;
031231;0300;2,22099;
031231;0400;2,09643;
031231;0500;1,59874;
031231;0600;1,97431;
031231;0700;1,01791;
031231;0800;1,34807;
031231;0900;1,89412;
031231;1000;2,15617;
031231;1100;2,17221;
031231;1200;2,46404;
031231;1300;2,68111;
031231;1400;2,68724;
031231;1500;2,45455;
031231;1600;2,24115;
031231;1700;2,10637;
031231;1800;1,81791;
031231;1900;1,44257;
031231;2000;0,909402;
031231;2100;0,287147;
031231;2200;0,229789;
031231;2300;0,415201;
040101;0000;0,812522;
040101;0100;0,597425;
040101;0200;0,621946;
040101;0300;1,6792;
040101;0400;1,16245;
040101;0500;1,69038;
040101;0600;0,628757;
040101;0700;0,604891;
040101;0800;1,37272;
040101;0900;1,6422;
040101;1000;1,89452;
040101;1100;1,99623;
040101;1200;2,24264;
040101;1300;2,42719;
040101;1400;2,54774;
040101;1500;2,4707;
040101;1600;2,61127;
040101;1700;2,34349;
040101;1800;1,98295;
040101;1900;1,35186;
040101;2000;1,08877;
040101;2100;0,405305;
040101;2200;0,346684;
040101;2300;0,330894;
040102;0000;0,172156;
040102;0100;0,701911;
040102;0200;1,23374;
040102;0300;1,72771;
040102;0400;1,99443;
040102;0500;1,86698;
040102;0600;1,87457;
040102;0700;0,152056;
040102;0800;1,48537;
040102;0900;1,95402;
040102;1000;1,66409;
040102;1100;1,91362;
040102;1200;2,34246;
040102;1300;2,48383;
040102;1400;2,58563;
040102;1500;2,89174;
040102;1600;2,42815;
040102;1700;2,3912;
040102;1800;1,97412;
040102;1900;1,21011;
040102;2000;0,683826;
040102;2100;0,532593;
040102;2200;0,584263;
040102;2300;0,541611;
040103;0000;1,34029;
040103;0100;1,1873;
040103;0200;0,341351;
040103;0300;1,34691;
040103;0400;2,0323;
040103;0500;1,7638;
040103;0600;1,06556;
040103;0700;0,16228;
040103;0800;0,860229;
040103;0900;1,78422;
040103;1000;1,8206;
040103;1100;2,28336;
040103;1200;2,45431;
040103;1300;2,57766;
040103;1400;2,61873;
040103;1500;2,65121;
040103;1600;2,67949;
040103;1700;2,51249;
040103;1800;1,78782;
040103;1900;1,26942;
040103;2000;0,945909;
040103;2100;0,459204;
040103;2200;0,39689;
040103;2300;1,05738;
040104;0000;0,694608;
040104;0100;0,526175;
040104;0200;1,28028;
040104;0300;0,770798;
040104;0400;1,24351;
040104;0500;1,22113;
040104;0600;0,459614;
040104;0700;0,4434;
040104;0800;1,24983;
040104;0900;2,05857;
040104;1000;1,67624;
040104;1100;1,90825;
040104;1200;2,17334;
040104;1300;2,44968;
040104;1400;2,49928;
040104;1500;2,75328;
040104;1600;2,40074;
040104;1700;2,08019;
040104;1800;2,0607;
040104;1900;1,57591;
040104;2000;1,41881;
040104;2100;0,252662;
040104;2200;0,882751;
040104;2300;0,62289;
040105;0000;0,274934;
040105;0100;0,94282;
040105;0200;1,22022;
040105;0300;0,108462;
040105;0400;0,984278;
040105;0500;0,512671;
040105;0600;1,0863;
040105;0700;0,228189;
040105;0800;1,4648;
040105;0900;1,74062;
040105;1000;1,27046;
040105;1100;0,950763;
040105;1200;2,0741;
040105;1300;2,29918;
040105;1400;2,34076;
040105;1500;2,60852;
040105;1600;2,27868;
