FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970407;0000;1,50417;;;
970408;0000;2,1125;;;
970409;0000;2,05416;;;
970410;0000;2,06667;;;
970411;0000;1,68333;;;
970412;0000;1,65833;;;
970413;0000;1,85416;;;
970414;0000;1,4875;;;
970415;0000;1,64166;;;
970416;0000;2,06666;;;
970417;0000;1,5375;;;
970418;0000;1,35833;;;
970419;0000;1,5375;;;
970420;0000;1,35833;;;
970421;0000;1,2375;;;
970422;0000;1,84583;;;
970423;0000;1,50417;;;
970424;0000;1,28333;;;
970425;0000;2,0375;;;
970426;0000;1,64583;;;
970427;0000;2,00833;;;
970428;0000;2,02083;;;
970429;0000;2,3125;;;
970430;0000;2,525;;;
970501;0000;2,3;;;
970502;0000;2,50833;;;
970503;0000;2,8;;;
970504;0000;2,3125;;;
970505;0000;2,55416;;;
970506;0000;2,90416;;;
970507;0000;1,95833;;;
970508;0000;1,89583;;;
970509;0000;2,375;;;
970510;0000;2,9625;;;
970511;0000;3,0125;;;
970512;0000;2,40416;;;
970513;0000;2,8625;;;
970514;0000;2,90416;;;
970515;0000;1,83333;;;
970516;0000;0,991665;;;
970517;0000;1,57916;;;
970518;0000;0,849999;;;
970519;0000;1,3125;;;
970520;0000;1,42916;;;
970521;0000;1,60833;;;
970522;0000;3,17083;;;
970523;0000;3,09565;;;
970524;0000;2,66666;;;
970525;0000;3,0625;;;
970526;0000;2,6625;;;
970527;0000;3,01666;;;
970528;0000;;;;
970529;0000;0,962499;;;
970530;0000;1,56666;;;
970531;0000;3,45833;;;
970601;0000;3,67916;;;
970602;0000;2,5625;;;
970603;0000;;;;
970604;0000;;;;
970605;0000;1,975;;;
970606;0000;3,26666;;;
970607;0000;3,87083;;;
970608;0000;4,45415;;;
970609;0000;2,56666;;;
970610;0000;2,39166;;;
970611;0000;1,24166;;;
970612;0000;0,574999;;;
970613;0000;1,58333;;;
970614;0000;1,7;;;
970615;0000;4,58749;;;
970616;0000;;;;
970617;0000;;;;
970618;0000;;;;
970619;0000;;;;
970620;0000;;;;
970621;0000;;;;
970622;0000;;;;
970623;0000;;;;
970624;0000;;;;
970625;0000;2,45;;;
970626;0000;2,41249;;;
970627;0000;2,52083;;;
970628;0000;3,925;;;
970629;0000;3,94166;;;
970630;0000;3,72083;;;
970701;0000;2,2625;;;
970702;0000;2,94782;;;
970703;0000;3,04583;;;
970704;0000;4,00832;;;
970705;0000;2,65;;;
970706;0000;2,96087;;;
970707;0000;1,975;;;
970708;0000;2,93043;;;
970709;0000;2,44583;;;
970710;0000;3,59583;;;
970711;0000;2,1;;;
970712;0000;1,425;;;
970713;0000;2,425;;;
970714;0000;3,19524;;;
970715;0000;3,22916;;;
970716;0000;3,12916;;;
970717;0000;4,81666;;;
970718;0000;4,20869;;;
970719;0000;3,9125;;;
970720;0000;3,19583;;;
970721;0000;3,96249;;;
970722;0000;3,99166;;;
970723;0000;3,1875;;;
970724;0000;3,56666;;;
970725;0000;3,43333;;;
970726;0000;3,96666;;;
970727;0000;1,675;;;
970728;0000;0,537498;;;
970729;0000;0,986955;;;
970730;0000;0,520832;;;
970731;0000;1,0375;;;
970801;0000;2,075;;;
970802;0000;3,02083;;;
970803;0000;3,025;;;
970804;0000;3,60416;;;
970805;0000;3,62083;;;
970806;0000;2,88333;;;
970807;0000;3,06666;;;
970808;0000;2,45416;;;
970809;0000;2,53333;;;
970810;0000;2,66666;;;
970811;0000;2,60434;;;
970812;0000;2,55652;;;
970813;0000;0,908332;;;
970814;0000;1,73333;;;
970815;0000;2,21666;;;
970816;0000;0,924999;;;
970817;0000;0,579165;;;
970818;0000;0,758332;;;
970819;0000;1,48333;;;
970820;0000;1,87083;;;
970821;0000;2,08333;;;
970822;0000;2,275;;;
970823;0000;2,77916;;;
970824;0000;2,8;;;
970825;0000;2,47499;;;
970826;0000;2,27916;;;
970827;0000;2,30833;;;
970828;0000;1,86956;;;
970829;0000;1,27083;;;
970830;0000;0,966665;;;
970831;0000;1,3875;;;
970901;0000;2,0125;;;
970902;0000;1,19583;;;
970903;0000;1,1625;;;
970904;0000;1,51666;;;
970905;0000;2,90416;;;
970906;0000;1,97916;;;
970907;0000;0,1625;;;
970908;0000;0,349999;;;
970909;0000;0,483333;;;
970910;0000;1,47272;;;
970911;0000;;;;
970912;0000;0,619999;;;
970913;0000;1,21667;;;
970914;0000;1,69583;;;
970915;0000;2,02916;;;
970916;0000;1,84583;;;
970917;0000;1,91666;;;
970918;0000;0,654165;;;
970919;0000;0,708332;;;
970920;0000;0,924999;;;
970921;0000;0,862498;;;
970922;0000;0,416666;;;
970923;0000;0,545832;;;
970924;0000;0,336842;;;
970925;0000;;;;
970926;0000;;;;
970927;0000;0,408333;;;
970928;0000;1,3875;;;
970929;0000;0,854166;;;
970930;0000;0,954165;;;
971001;0000;0,987499;;;
971002;0000;0,645832;;;
971003;0000;0,774999;;;
971004;0000;0,587499;;;
971005;0000;0,679166;;;
971006;0000;0,795832;;;
971007;0000;1,54583;;;
971008;0000;1,03333;;;
971009;0000;0,620832;;;
971010;0000;0,558332;;;
971011;0000;0,899999;;;
971012;0000;0,770832;;;
971013;0000;0,40909;;;
971014;0000;0,445833;;;
971015;0000;0,666666;;;
971016;0000;0,712499;;;
971017;0000;0,795833;;;
971018;0000;0,341666;;;
971019;0000;0,283333;;;
971020;0000;0,466666;;;
971021;0000;0,691666;;;
971022;0000;0,583332;;;
971023;0000;0,929166;;;
971024;0000;0,845832;;;
971025;0000;0,3375;;;
971026;0000;0,408332;;;
971027;0000;0,366666;;;
971028;0000;0,141666;;;
971029;0000;0,324999;;;
971030;0000;0,275;;;
971031;0000;1,0375;;;
971101;0000;0,812499;;;
971102;0000;0,375;;;
971103;0000;0,283333;;;
971104;0000;0,612499;;;
971105;0000;0,808332;;;
971106;0000;1,15417;;;
971107;0000;0,858332;;;
971108;0000;0,837499;;;
971109;0000;0,770832;;;
971110;0000;0,1875;;;
971111;0000;0,212499;;;
971112;0000;0,420833;;;
971113;0000;0,649999;;;
971114;0000;0,754166;;;
