FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970410;0000;2,43333;;;
970411;0000;2,94583;;;
970412;0000;0,716665;;;
970413;0000;0,749999;;;
970414;0000;0,791666;;;
970415;0000;0,570832;;;
970416;0000;0,470833;;;
970417;0000;1,2375;;;
970418;0000;1,47083;;;
970419;0000;0,641665;;;
970420;0000;0,995832;;;
970421;0000;0,245833;;;
970422;0000;0,699999;;;
970423;0000;1,05416;;;
970424;0000;0,2375;;;
970425;0000;0,954165;;;
970426;0000;2,72499;;;
970427;0000;2,225;;;
970428;0000;3,50454;;;
970429;0000;2,32083;;;
970430;0000;1,24583;;;
970501;0000;0,974998;;;
970502;0000;1,26956;;;
970503;0000;3,64583;;;
970504;0000;1,17083;;;
970505;0000;1,08333;;;
970506;0000;3,47916;;;
970507;0000;3,23333;;;
970508;0000;0,916665;;;
970509;0000;1,87916;;;
970510;0000;2,3875;;;
970511;0000;2,025;;;
970512;0000;1,00417;;;
970513;0000;1,2;;;
970514;0000;0,887499;;;
970515;0000;1,24583;;;
970516;0000;0,513042;;;
970517;0000;1,0375;;;
970518;0000;0,895832;;;
970519;0000;1,9875;;;
970520;0000;0,891665;;;
970521;0000;0,895832;;;
970522;0000;4,47499;;;
970523;0000;6,22916;;;
970524;0000;7,8;;;
970525;0000;3,6913;;;
970526;0000;1,96666;;;
970527;0000;1,48947;;;
970528;0000;;;;
970529;0000;;;;
970530;0000;;;;
970531;0000;2,84999;;;
970601;0000;5,09583;;;
970602;0000;3,6125;;;
970603;0000;1,61666;;;
970604;0000;0,545832;;;
970605;0000;0,795832;;;
970606;0000;4,87083;;;
970607;0000;5,09999;;;
970608;0000;3,09583;;;
970609;0000;1,6375;;;
970610;0000;1,85416;;;
970611;0000;0,991666;;;
970612;0000;0,399999;;;
970613;0000;1,02917;;;
970614;0000;1,69583;;;
970615;0000;2,66666;;;
970616;0000;1,70416;;;
970617;0000;1,32916;;;
970618;0000;1,325;;;
970619;0000;1,85;;;
970620;0000;0,229166;;;
970621;0000;0,604166;;;
970622;0000;0,629166;;;
970623;0000;1,15417;;;
970624;0000;2,4375;;;
970625;0000;3,12916;;;
970626;0000;1,89166;;;
970627;0000;2,45833;;;
970628;0000;2,5625;;;
970629;0000;4,74583;;;
970630;0000;7,49583;;;
970701;0000;7,64583;;;
970702;0000;2,44583;;;
970703;0000;2,56666;;;
970704;0000;6,29999;;;
970705;0000;5,55833;;;
970706;0000;2,52083;;;
970707;0000;1,25833;;;
970708;0000;3,7;;;
970709;0000;4,40416;;;
970710;0000;1,99583;;;
970711;0000;2,06666;;;
970712;0000;0,783332;;;
970713;0000;3,87916;;;
970714;0000;4,47916;;;
970715;0000;2,26666;;;
970716;0000;3,8625;;;
970717;0000;5,89999;;;
970718;0000;7,73332;;;
970719;0000;7,46666;;;
970720;0000;6,42082;;;
970721;0000;2,37916;;;
970722;0000;3,73333;;;
970723;0000;4,6375;;;
970724;0000;4,8;;;
970725;0000;2,41666;;;
970726;0000;4,55;;;
970727;0000;4,80908;;;
970728;0000;0,47826;;;
970729;0000;0,658333;;;
970730;0000;0,470833;;;
970731;0000;0,662498;;;
970801;0000;0,612499;;;
970802;0000;1,19583;;;
970803;0000;1,74583;;;
970804;0000;2,2913;;;
970805;0000;1,59583;;;
970806;0000;2,69583;;;
970807;0000;5,14999;;;
970808;0000;4,33749;;;
970809;0000;2,84166;;;
970810;0000;3,14999;;;
970811;0000;2,51666;;;
970812;0000;2,28333;;;
970813;0000;0,4625;;;
970814;0000;1,25833;;;
970815;0000;;;;
970816;0000;;;;
970817;0000;0,379166;;;
970818;0000;0,445832;;;
970819;0000;0,804166;;;
970820;0000;1,6375;;;
970821;0000;2,39583;;;
970822;0000;2,45833;;;
970823;0000;1,10833;;;
970824;0000;1,625;;;
970825;0000;1,54166;;;
970826;0000;2,02083;;;
970827;0000;2,36666;;;
970828;0000;1,95;;;
970829;0000;1,27917;;;
970830;0000;0,516665;;;
970831;0000;0,966665;;;
970901;0000;0,991666;;;
970902;0000;0,770832;;;
970903;0000;0,637499;;;
970904;0000;1,09167;;;
970905;0000;1,12917;;;
970906;0000;0,945832;;;
970907;0000;0,387499;;;
970908;0000;0,329166;;;
970909;0000;0,354166;;;
970910;0000;0,624999;;;
970911;0000;0,295454;;;
970912;0000;;;;
970913;0000;;;;
970914;0000;0,949999;;;
970915;0000;1,9;;;
970916;0000;2,59999;;;
970917;0000;2,32916;;;
970918;0000;1,1375;;;
970919;0000;0,841665;;;
970920;0000;0,849998;;;
970921;0000;0,558331;;;
970922;0000;0,216666;;;
970923;0000;0,258333;;;
970924;0000;0,299999;;;
970925;0000;0,820832;;;
970926;0000;0,879165;;;
970927;0000;0,345833;;;
970928;0000;0,729166;;;
970929;0000;0,891665;;;
970930;0000;0,316666;;;
971001;0000;0,516665;;;
971002;0000;0,258333;;;
971003;0000;0,562499;;;
971004;0000;0,591665;;;
971005;0000;0,479166;;;
971006;0000;0,424999;;;
971007;0000;0,470833;;;
971008;0000;0,245833;;;
971009;0000;0,229166;;;
971010;0000;0,329166;;;
971011;0000;0,495832;;;
971012;0000;0,358333;;;
971013;0000;0,356521;;;
971014;0000;0,554166;;;
971015;0000;0,541665;;;
971016;0000;0,362499;;;
971017;0000;0,3125;;;
971018;0000;0,158333;;;
971019;0000;0,154166;;;
971020;0000;0,1875;;;
971021;0000;0,354166;;;
971022;0000;0,183333;;;
971023;0000;0,345832;;;
971024;0000;0,254166;;;
971025;0000;0,1375;;;
971026;0000;0,170833;;;
971027;0000;0,245833;;;
971028;0000;0,1125;;;
971029;0000;0,179166;;;
971030;0000;0,174999;;;
971031;0000;0,370833;;;
971101;0000;0,329166;;;
971102;0000;0,145833;;;
971103;0000;0,154166;;;
971104;0000;0,308332;;;
971105;0000;0,624999;;;
971106;0000;0,779165;;;
971107;0000;0,504166;;;
971108;0000;0,383333;;;
971109;0000;0,708332;;;
971110;0000;0,0999998;;;
971111;0000;0,15;;;
971112;0000;;;;
971113;0000;0,3375;;;
971114;0000;0,287499;;;
971115;0000;0,270833;;;
971116;0000;0,208333;;;
971117;0000;0,1625;;;
971118;0000;0,166667;;;
971119;0000;0,1125;;;
971120;0000;0,1375;;;
971121;0000;0,245833;;;
971122;0000;0,279166;;;
971123;0000;0,154166;;;
971124;0000;0,170833;;;
971125;0000;0,104166;;;
971126;0000;0,120833;;;
971127;0000;0,166666;;;
971128;0000;0,15;;;
971129;0000;0,129166;;;
971130;0000;0,183333;;;
971201;0000;0,154166;;;
971202;0000;0,125;;;
971203;0000;0,295833;;;
971204;0000;0,508332;;;
971205;0000;0,391666;;;
971206;0000;0,416666;;;
971207;0000;0,366666;;;
971208;0000;0,370832;;;
971209;0000;0,225;;;
971210;0000;0,283333;;;
971211;0000;0,229166;;;
971212;0000;0,466666;;;
971213;0000;0,799999;;;
971214;0000;1,15833;;;
971215;0000;0,387499;;;
971216;0000;0,191666;;;
971217;0000;0,1875;;;
971218;0000;0,179166;;;
971219;0000;0,216666;;;
971220;0000;0,262499;;;
971221;0000;0,362499;;;
971222;0000;0,408332;;;
971223;0000;0,445832;;;
971224;0000;0,485713;;;
971225;0000;0,669999;;;
971226;0000;0,104166;;;
971227;0000;0,225;;;
971228;0000;0,233333;;;
971229;0000;0,208333;;;
971230;0000;0,183333;;;
971231;0000;0,279166;;;
980101;0000;0,645832;;;
980102;0000;0,25;;;
980103;0000;0,283333;;;
980104;0000;0,254166;;;
980105;0000;0,195833;;;
980106;0000;0,170833;;;
980107;0000;0,266666;;;
980108;0000;0,233333;;;
980109;0000;0,183333;;;
980110;0000;0,229166;;;
980111;0000;0,349999;;;
980112;0000;0,341666;;;
980113;0000;0,324999;;;
980114;0000;0,272727;;;
980115;0000;0,1875;;;
980116;0000;0,445832;;;
980117;0000;0,329166;;;
980118;0000;0,291666;;;
980119;0000;0,145833;;;
980120;0000;0,108333;;;
980121;0000;0,121052;;;
980122;0000;0,233333;;;
980123;0000;0,308333;;;
980124;0000;0,4;;;
980125;0000;0,229166;;;
980126;0000;0,125;;;
980127;0000;0,15;;;
980128;0000;0,229166;;;
980129;0000;0,287499;;;
980130;0000;0,4;;;
980131;0000;0,412499;;;
980201;0000;0,270833;;;
980202;0000;0,179166;;;
980203;0000;0,275;;;
980204;0000;0,195833;;;
980205;0000;0,208333;;;
980206;0000;0,245833;;;
980207;0000;0,358333;;;
980208;0000;0,270833;;;
980209;0000;0,277272;;;
980210;0000;0,358333;;;
980211;0000;0,370833;;;
980212;0000;0,220833;;;
980213;0000;0,208333;;;
980214;0000;0,387499;;;
980215;0000;0,275;;;
980216;0000;0,245833;;;
980217;0000;0,216666;;;
980218;0000;0,216666;;;
980219;0000;0,141666;;;
980220;0000;;;;
