FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090125;0100;2,8;;;
090125;0200;2,7;;;
090125;0300;2,9;;;
090125;0400;2,6;;;
090125;0500;2,5;;;
090125;0600;2,7;;;
090125;0700;2,5;;;
090125;0800;2,4;;;
090125;0900;2,4;;;
090125;1000;2,3;;;
090125;1100;2,3;;;
090125;1200;2,2;;;
090125;1300;2,2;;;
090125;1400;2,1;;;
090125;1500;2,1;;;
090125;1600;2,1;;;
090125;1700;2,1;;;
090125;1800;2,1;;;
090125;1900;2,1;;;
090125;2000;2,2;;;
090125;2100;2,2;;;
090125;2200;2,2;;;
090125;2300;2,2;;;
090126;0000;2,3;;;
090126;0100;2,3;;;
090126;0200;2,4;;;
090126;0300;2,4;;;
090126;0400;2,3;;;
090126;0500;2,5;;;
090126;0600;3;;;
090126;0700;2,8;;;
090126;0800;2,4;;;
090126;0900;2,4;;;
090126;1000;2,2;;;
090126;1100;2,2;;;
090126;1200;2,2;;;
090126;1300;2,2;;;
090126;1400;2,2;;;
090126;1500;2,2;;;
090126;1600;2,1;;;
090126;1700;2,1;;;
090126;1800;2,2;;;
090126;1900;2,2;;;
090126;2000;2,3;;;
090126;2100;2,4;;;
090126;2200;2,6;;;
090126;2300;2,8;;;
090127;0000;2,4;;;
090127;0100;2,3;;;
090127;0200;2,3;;;
090127;0300;2,2;;;
090127;0400;2,3;;;
090127;0500;2,4;;;
090127;0600;2,8;;;
090127;0700;2,6;;;
090127;0800;2,4;;;
090127;0900;2,3;;;
090127;1000;2,4;;;
090127;1100;2,4;;;
090127;1200;2,3;;;
090127;1300;2,2;;;
090127;1400;2,2;;;
090127;1500;2,2;;;
090127;1600;2,2;;;
090127;1700;2,2;;;
090127;1800;2,2;;;
090127;1900;2,3;;;
090127;2000;2,4;;;
090127;2100;2,5;;;
090127;2200;2,6;;;
090127;2300;2,3;;;
090128;0000;2,6;;;
090128;0100;2,6;;;
090128;0200;2,4;;;
090128;0300;2,4;;;
090128;0400;2,4;;;
090128;0500;2,5;;;
090128;0600;2,9;;;
090128;0700;2,9;;;
090128;0800;2,5;;;
090128;0900;2,5;;;
090128;1000;2,6;;;
090128;1100;2,5;;;
090128;1200;2,5;;;
090128;1300;2,4;;;
090128;1400;2,4;;;
090128;1500;2,4;;;
090128;1600;2,3;;;
090128;1700;2,3;;;
090128;1800;2,4;;;
090128;1900;2,4;;;
090128;2000;2,4;;;
090128;2100;2,4;;;
090128;2200;2,4;;;
090128;2300;2,4;;;
090129;0000;2,5;;;
090129;0100;2,5;;;
090129;0200;2,5;;;
090129;0300;2,5;;;
090129;0400;2,5;;;
090129;0500;2,6;;;
090129;0600;2,8;;;
090129;0700;2,9;;;
090129;0800;2,7;;;
090129;0900;2,7;;;
090129;1000;2,6;;;
090129;1100;2,6;;;
090129;1200;2,5;;;
090129;1300;2,5;;;
090129;1400;2,5;;;
090129;1500;2,5;;;
090129;1600;2,4;;;
090129;1700;2,4;;;
090129;1800;2,5;;;
090129;1900;2,8;;;
090129;2000;2,6;;;
090129;2100;2,6;;;
090129;2200;2,6;;;
090129;2300;2,5;;;
090130;0000;2,5;;;
090130;0100;2,5;;;
090130;0200;2,5;;;
090130;0300;2,6;;;
090130;0400;2,6;;;
090130;0500;2,7;;;
090130;0600;3,1;;;
090130;0700;2,7;;;
090130;0800;2,7;;;
090130;0900;2,7;;;
090130;1000;2,6;;;
090130;1100;2,6;;;
090130;1200;2,6;;;
090130;1300;2,5;;;
090130;1400;2,5;;;
090130;1500;2,5;;;
090130;1600;2,5;;;
090130;1700;2,5;;;
090130;1800;2,5;;;
090130;1900;2,5;;;
090130;2000;2,6;;;
090130;2100;2,7;;;
090130;2200;2,9;;;
090130;2300;3,1;;;
090131;0000;3,3;;;
090131;0100;3,3;;;
090131;0200;2,9;;;
090131;0300;2,7;;;
090131;0400;2,8;;;
090131;0500;2,8;;;
090131;0600;2,8;;;
090131;0700;2,8;;;
090131;0800;2,6;;;
090131;0900;2,7;;;
090131;1000;2,6;;;
090131;1100;2,6;;;
090131;1200;2,6;;;
090131;1300;2,5;;;
090131;1400;2,5;;;
090131;1500;2,5;;;
090131;1600;2,5;;;
090131;1700;2,5;;;
090131;1800;2,5;;;
090131;1900;2,6;;;
090131;2000;2,6;;;
090131;2100;2,6;;;
090131;2200;2,6;;;
090131;2300;2,6;;;
090201;0000;;;3,95833;
090201;0100;;;4,14165;
090201;0200;;;4,20833;
090201;0300;;;4,27776;
090201;0400;;;4,24444;
090201;0500;;;4,30833;
090201;0600;;;4,31666;
090201;0700;;;4,2;
090201;0800;;;4,20833;
090201;0900;;;4,09166;
090201;1000;;;4,10833;
090201;1100;;;4,05833;
090201;1200;;;3,94166;
090201;1300;;;3,9;
090201;1400;;;3,9;
090201;1500;;;3,84166;
090201;1600;;;3,8;
090201;1700;;;3,7;
090201;1800;;;3,76666;
090201;1900;;;3,8;
090201;2000;;;3,84166;
090201;2100;;;3,88333;
090201;2200;;;3,825;
090201;2300;;;3,875;
090202;0000;;;3,99166;
090202;0100;;;3,96666;
090202;0200;;;3,85833;
090202;0300;;;3,93333;
090202;0400;;;3,97778;
090202;0500;;;4,05;
090202;0600;;;4,10833;
090202;0700;;;4,21666;
090202;0800;;;4,06667;
090202;0900;;;4,02499;
090202;1000;;;3,98333;
090202;1100;;;3,90833;
090202;1200;;;3,9;
090202;1300;;;3,9;
090202;1400;;;3,9;
090202;1500;;;3,84166;
090202;1600;;;3,81667;
090202;1700;;;3,8;
090202;1800;;;3,8;
090202;1900;;;3,86666;
090202;2000;;;3,9;
090202;2100;;;3,9;
090202;2200;;;4;
090202;2300;;;3,925;
090203;0000;;;4,21666;
090203;0100;;;4,00832;
090203;0200;;;4;
090203;0300;;;3,98889;
090203;0400;;;4;
090203;0500;;;4,10833;
090203;0600;;;4,60833;
090203;0700;;;4,50832;
090203;0800;;;4,25832;
090203;0900;;;4,075;
090203;1000;;;4,06667;
090203;1100;;;4,04166;
090203;1200;;;3,98333;
090203;1300;;;3,95;
090203;1400;;;3,9;
090203;1500;;;3,9;
090203;1600;;;3,9;
090203;1700;;;3,9;
090203;1800;;;3,91111;
090203;1900;;;4;
090203;2000;;;4,02499;
090203;2100;;;4,05;
090203;2200;;;4,10833;
090203;2300;;;4,01665;
090204;0000;;;4,11665;
090204;0100;;;4,1;
090204;0200;;;4,15833;
090204;0300;;;4,13332;
090204;0400;;;4,07777;
090204;0500;;;4,23333;
090204;0600;;;4,45833;
090204;0700;;;4,29166;
090204;0800;;;4,18333;
090204;0900;;;4,19166;
090204;1000;;;4,2;
090204;1100;;;4,12498;
090204;1200;;;4,00832;
090204;1300;;;4;
090204;1400;;;4;
090204;1500;;;3,975;
090204;1600;;;3,90833;
090204;1700;;;3,9;
090204;1800;;;3,9;
090204;1900;;;3,9;
090204;2000;;;3,96666;
090204;2100;;;3,99166;
090204;2200;;;4,03333;
090204;2300;;;4,18333;
090205;0000;;;4,05;
090205;0100;;;4,1;
090205;0200;;;4,10833;
090205;0300;;;4,05555;
090205;0400;;;4,1;
090205;0500;;;4,23333;
090205;0600;;;4,44999;
090205;0700;;;4,62498;
