FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090125;0100;;;4,80833;
090125;0200;;;4,82499;
090125;0300;;;4,83333;
090125;0400;;;4,84444;
090125;0500;;;4,87498;
090125;0600;;;4,88332;
090125;0700;;;4,93333;
090125;0800;;;4,675;
090125;0900;;;4,70833;
090125;1000;;;4,675;
090125;1100;;;4,71666;
090125;1200;;;4,65833;
090125;1300;;;4,77499;
090125;1400;;;4,91666;
090125;1500;;;4,83333;
090125;1600;;;4,8;
090125;1700;;;4,77499;
090125;1800;;;4,81666;
090125;1900;;;4,81666;
090125;2000;;;4,77499;
090125;2100;;;4,75832;
090125;2200;;;4,84166;
090125;2300;;;4,90833;
090126;0000;;;4,95833;
090126;0100;;;4,91666;
090126;0200;;;4,93333;
090126;0300;;;4,95554;
090126;0400;;;4,95554;
090126;0500;;;4,95833;
090126;0600;;;4,98333;
090126;0700;;;4,99165;
090126;0800;;;4,98333;
090126;0900;;;4,74998;
090126;1000;;;4,79166;
090126;1100;;;4,74165;
090126;1200;;;4,74165;
090126;1300;;;4,75832;
090126;1400;;;4,89999;
090126;1500;;;4,89999;
090126;1600;;;4,89165;
090126;1700;;;4,89165;
090126;1800;;;4,84998;
090126;1900;;;4,77499;
090126;2000;;;4,8;
090126;2100;;;4,81666;
090126;2200;;;4,91666;
090126;2300;;;4,93333;
090127;0000;;;4,93333;
090127;0100;;;4,93333;
090127;0200;;;4,94166;
090127;0300;;;4,92222;
090127;0400;;;4,96666;
090127;0500;;;4,96666;
090127;0600;;;5,05833;
090127;0700;;;4,99998;
090127;0800;;;4,99998;
090127;0900;;;4,83333;
090127;1000;;;4,925;
090127;1100;;;4,87498;
090127;1200;;;4,84998;
090127;1300;;;4,82499;
090127;1400;;;4,89165;
090127;1500;;;5,05833;
090127;1600;;;4,96666;
090127;1700;;;5,04166;
090127;1800;;;5,04166;
090127;1900;;;5,05;
090127;2000;;;5,13332;
090127;2100;;;5,01665;
090127;2200;;;4,96666;
090127;2300;;;5,10833;
090128;0000;;;5,06666;
090128;0100;;;5,04166;
090128;0200;;;5,09166;
090128;0300;;;5,13332;
090128;0400;;;4,95554;
090128;0500;;;5,06666;
090128;0600;;;5,16666;
090128;0700;;;5,20833;
090128;0800;;;5,14999;
090128;0900;;;5,05833;
090128;1000;;;5,09166;
090128;1100;;;5,02499;
090128;1200;;;5,04166;
090128;1300;;;5,11665;
090128;1400;;;5,12498;
090128;1500;;;5,075;
090128;1600;;;5,08333;
090128;1700;;;5,05833;
090128;1800;;;4,99165;
090128;1900;;;5,00832;
090128;2000;;;5,075;
090128;2100;;;5,09998;
090128;2200;;;5,04166;
090128;2300;;;5,075;
