FECHA (YYMMDD);HORA (HHMM);;
101215;0100;81,5;
101215;0200;86,75;
101215;0300;88,25;
101215;0400;91,5;
101215;0500;93,9165;
101215;0600;91,0833;
101215;0700;84,9165;
101215;0800;78,1665;
101215;0900;66,75;
101215;1000;58;
101215;1100;51,0833;
101215;1200;47,3333;
101215;1300;41,8333;
101215;1400;37;
101215;1500;36,75;
101215;1600;38,25;
101215;1700;41,4166;
101215;1800;45,75;
101215;1900;52,3333;
101215;2000;59,3333;
101215;2100;65,4165;
101215;2200;69,9165;
101215;2300;73,6665;
101216;0000;76;
101216;0100;77,7272;
101216;0200;80,8333;
101216;0300;83,1665;
101216;0400;84,8333;
101216;0500;90,4165;
101216;0600;81,5833;
101216;0700;75,75;
101216;0800;69,3333;
101216;0900;65,1665;
101216;1000;59,0833;
101216;1100;50,5;
101216;1200;42,75;
101216;1300;37,25;
101216;1400;38,8333;
101216;1500;40;
101216;1600;39,9166;
101216;1700;44,25;
101216;1800;49,8333;
101216;1900;59,25;
101216;2000;66,0833;
101216;2100;71,1665;
101216;2200;74,8333;
101216;2300;78,5;
101217;0000;81,3333;
101217;0100;83;
101217;0200;83,5833;
101217;0300;86,5;
101217;0400;88,25;
101217;0500;95,75;
101217;0600;92,5;
101217;0700;84,5;
101217;0800;78,4165;
101217;0900;69,5833;
101217;1000;58,5833;
101217;1100;50,75;
101217;1200;42,75;
101217;1300;35,6666;
101217;1400;31,9167;
101217;1500;26,5;
101217;1600;28,75;
101217;1700;33,5833;
101217;1800;40;
101217;1900;48,9166;
101217;2000;55,5;
101217;2100;56,9166;
101217;2200;59,9166;
101217;2300;64,75;
101218;0000;68,75;
101218;0100;72,25;
101218;0200;76,1665;
101218;0300;74,75;
101218;0400;79,0833;
101218;0500;81,5;
101218;0600;73,5;
101218;0700;60,9166;
101218;0800;54,0833;
101218;0900;49,8333;
101218;1000;44,5833;
101218;1100;42,0833;
101218;1200;36,0833;
101218;1300;32;
101218;1400;32,6666;
101218;1500;33,25;
101218;1600;34,4166;
101218;1700;36;
101218;1800;36,1666;
101218;1900;39,0833;
101218;2000;42,75;
101218;2100;43,6;
101218;2200;51,75;
101218;2300;50,0833;
101219;0000;48,5;
101219;0100;53,1666;
101219;0200;59,5;
101219;0300;64,75;
101219;0400;68,6665;
101219;0500;71,9165;
101219;0600;62,6666;
101219;0700;58,3333;
101219;0800;50,25;
101219;0900;42,3333;
101219;1000;37,8333;
101219;1100;37,5833;
101219;1200;33,6666;
101219;1300;30,5833;
101219;1400;27,8333;
101219;1500;25,8333;
101219;1600;26,5;
101219;1700;27,0833;
101219;1800;27,2222;
101219;1900;30,9167;
101219;2000;37,3333;
101219;2100;42,4166;
101219;2200;44;
101219;2300;45,9166;
101220;0000;47,6666;
101220;0100;51,0833;
101220;0200;53,6666;
101220;0300;55,25;
101220;0400;57,9166;
101220;0500;61,25;
101220;0600;50,5;
101220;0700;40,5833;
101220;0800;36,4166;
101220;0900;30,3333;
101220;1000;26,6667;
101220;1100;23,5833;
101220;1200;19,6667;
101220;1300;17,4167;
101220;1400;16,8333;
101220;1500;14,6667;
101220;1600;13;
101220;1700;11,6667;
101220;1800;15,0833;
101220;1900;22,4167;
101220;2000;29,0833;
101220;2100;33,25;
101220;2200;35,5833;
101220;2300;36,75;
101221;0000;39,9166;
101221;0100;49,5;
101221;0200;56,9166;
101221;0300;58,5833;
101221;0400;60,8333;
101221;0500;62,0833;
101221;0600;55,5833;
101221;0700;40,3333;
101221;0800;33,3333;
101221;0900;27,3333;
101221;1000;27,1667;
101221;1100;25,3333;
101221;1200;23,8333;
101221;1300;19,6667;
101221;1400;15,5;
101221;1500;13,4167;
101221;1600;15,6667;
101221;1700;19,3333;
101221;1800;26,8333;
101221;1900;31;
101221;2000;35,9166;
101221;2100;38,25;
101221;2200;40,75;
101221;2300;45,0833;
101222;0000;49,9166;
101222;0100;55,4166;
101222;0200;60,6666;
101222;0300;65,3333;
101222;0400;71,1665;
101222;0500;74,75;
101222;0600;75,5833;
101222;0700;71,8333;
101222;0800;66,5;
101222;0900;64,3333;
101222;1000;59,5;
101222;1100;57,25;
101222;1200;54,6666;
101222;1300;54;
101222;1400;52,25;
101222;1500;52;
101222;1600;51,9166;
101222;1700;53,8333;
101222;1800;57,1666;
101222;1900;62,3333;
101222;2000;67,6665;
101222;2100;72,0833;
101222;2200;75,9165;
101222;2300;79,4165;
101223;0000;82,9165;
101223;0100;85,3333;
101223;0200;86,75;
101223;0300;11,05;
101223;0400;93,1665;
101223;0500;92,25;
101223;0600;91,5833;
101223;0700;83,9165;
101223;0800;82,1665;
101223;0900;78,9165;
101223;1000;72,0833;
101223;1100;62,9166;
101223;1200;56,1666;
101223;1300;49,75;
101223;1400;44,3333;
101223;1500;40;
101223;1600;39;
101223;1700;42,5833;
101223;1800;47,6666;
101223;1900;53;
101223;2000;59,8333;
101223;2100;65,0833;
101223;2200;70,0833;
101223;2300;73,25;
101224;0000;76,4165;
101224;0100;78,4165;
101224;0200;81,4165;
101224;0300;83,4165;
101224;0400;85,0833;
101224;0500;83,0833;
101224;0600;77,3333;
101224;0700;70,3333;
101224;0800;61,9166;
101224;0900;52,3333;
101224;1000;46,9166;
101224;1100;46,25;
101224;1200;41,8333;
101224;1300;34,5;
101224;1400;27,75;
101224;1500;22,9167;
101224;1600;20;
101224;1700;27;
101224;1800;28,9167;
101224;1900;36,5;
101224;2000;45,4166;
101224;2100;53,9166;
101224;2200;55;
101224;2300;52,6666;
101225;0000;57;
101225;0100;60,4166;
101225;0200;61,8333;
101225;0300;64,3333;
101225;0400;65,9165;
101225;0500;67,75;
101225;0600;60,75;
101225;0700;53,1666;
101225;0800;44,25;
101225;0900;38,5;
101225;1000;33,6666;
101225;1100;30,4167;
101225;1200;25,25;
101225;1300;23,1667;
101225;1400;23,5;
101225;1500;28,1667;
101225;1600;28,4167;
101225;1700;27,75;
101225;1800;28,8333;
101225;1900;36,6666;
101225;2000;41,1666;
101225;2100;37,9166;
101225;2200;33,25;
101225;2300;39,75;
101226;0000;51,5;
101226;0100;55,25;
101226;0200;58,0833;
101226;0300;65,1665;
101226;0400;66,6665;
101226;0500;66,4165;
101226;0600;59,5;
101226;0700;50,8333;
101226;0800;40,1666;
101226;0900;31,3333;
101226;1000;29,8333;
101226;1100;32,6666;
101226;1200;32,0833;
101226;1300;33,0833;
101226;1400;32,75;
101226;1500;31,6667;
101226;1600;30,75;
101226;1700;33,4166;
101226;1800;38,6666;
101226;1900;49,5;
101226;2000;60,1666;
101226;2100;66,5;
101226;2200;70,9165;
101226;2300;70,0833;
101227;0000;77,1665;
101227;0100;80,8333;
101227;0200;82,9165;
101227;0300;84,1665;
101227;0400;78,3333;
101227;0500;84,9165;
101227;0600;76,3333;
101227;0700;64,4165;
101227;0800;56,9166;
101227;0900;48,75;
101227;1000;46,0833;
101227;1100;44,9166;
101227;1200;43,1666;
101227;1300;40,5;
101227;1400;38,4166;
101227;1500;38,25;
101227;1600;39;
101227;1700;41,5;
101227;1800;46,9166;
101227;1900;54,25;
101227;2000;61,75;
101227;2100;66,3333;
101227;2200;70,75;
101227;2300;73,3333;
101228;0000;78,9165;
101228;0100;77,8333;
101228;0200;82,1665;
101228;0300;83,8333;
101228;0400;81,75;
101228;0500;84,9165;
101228;0600;77,8333;
101228;0700;67,75;
101228;0800;58;
101228;0900;52,25;
101228;1000;49,0833;
101228;1100;44,9166;
101228;1200;41,3333;
101228;1300;39,6666;
101228;1400;41,1666;
101228;1500;42,0833;
101228;1600;43,8333;
101228;1700;46,9166;
101228;1800;51,0833;
101228;1900;58,6666;
101228;2000;63,9166;
101228;2100;65,8333;
101228;2200;68,1665;
101228;2300;73,1665;
101229;0000;77,0833;
101229;0100;82,0833;
101229;0200;85,75;
101229;0300;88,0833;
101229;0400;90,0833;
101229;0500;94,75;
101229;0600;93,1111;
101229;0700;88,6665;
101229;0800;81,1665;
101229;0900;64,6665;
101229;1000;52,8333;
101229;1100;47,5833;
101229;1200;45,1666;
101229;1300;48,4166;
101229;1400;48,4166;
101229;1500;50,25;
101229;1600;52,5833;
101229;1700;53,4166;
101229;1800;58,6666;
101229;1900;64,3333;
101229;2000;71,9165;
101229;2100;77,1665;
101229;2200;80,25;
101229;2300;83;
101230;0000;85,4165;
101230;0100;87,9165;
101230;0200;91;
101230;0300;94,25;
101230;0400;86,1665;
101230;0500;13,4333;
101230;0600;11,1083;
101230;0700;15,5916;
101230;0800;89,75;
101230;0900;79,3333;
101230;1000;69,5;
101230;1100;64,9165;
101230;1200;60,6666;
101230;1300;56,5;
101230;1400;54,5;
101230;1500;54,3333;
101230;1600;53,1666;
101230;1700;53,5;
101230;1800;56;
101230;1900;60,5;
101230;2000;66,4165;
101230;2100;71,9165;
101230;2200;76,5;
101230;2300;81,25;
101231;0000;84,25;
101231;0100;86,5;
101231;0200;88,25;
101231;0300;90,5;
101231;0400;91,75;
101231;0500;92,3999;
101231;0600;98,4165;
101231;0700;89,6665;
101231;0800;85,1665;
101231;0900;76,6665;
101231;1000;68,9165;
101231;1100;62,6666;
101231;1200;56,25;
101231;1300;52,75;
101231;1400;47,3333;
101231;1500;43,75;
101231;1600;41,3333;
101231;1700;41,8333;
101231;1800;44,4166;
101231;1900;50,75;
101231;2000;59;
101231;2100;63,75;
101231;2200;66,75;
101231;2300;69,0833;
110101;0000;71,3333;
110101;0100;74,8333;
110101;0200;78,25;
110101;0300;81,3333;
110101;0400;83,5;
110101;0500;86,1665;
110101;0600;83,1665;
110101;0700;74,5833;
110101;0800;69,0833;
110101;0900;60,9167;
110101;1000;53,9167;
110101;1100;47,1667;
110101;1200;41,6667;
110101;1300;34,5;
110101;1400;31,1667;
110101;1500;38,3333;
110101;1600;41,3333;
110101;1700;45,1667;
110101;1800;48,25;
110101;1900;54,8333;
110101;2000;62,5;
110101;2100;66,25;
110101;2200;69,6665;
110101;2300;70,1665;
110102;0000;72,0833;
110102;0100;74,5833;
110102;0200;77,1665;
110102;0300;77,75;
110102;0400;78,8333;
110102;0500;80,6665;
110102;0600;81,0833;
110102;0700;75,5833;
110102;0800;70,8333;
110102;0900;65,75;
110102;1000;56,25;
110102;1100;52,1667;
110102;1200;46,4167;
110102;1300;44,5;
110102;1400;42,1667;
110102;1500;42,75;
110102;1600;45,0833;
110102;1700;48,5833;
110102;1800;51,5833;
110102;1900;56,75;
110102;2000;61,5;
110102;2100;65;
110102;2200;68,4165;
110102;2300;71,6665;
110103;0000;73,75;
110103;0100;75,5;
110103;0200;76,8333;
110103;0300;;
110103;0400;78;
110103;0500;;
110103;0600;70,6665;
110103;0700;63,5;
110103;0800;56,3333;
110103;0900;53;
110103;1000;46,75;
110103;1100;43,5;
110103;1200;39,5833;
110103;1300;37,4167;
110103;1400;37,8333;
110103;1500;37,9167;
110103;1600;38,3333;
110103;1700;40,3333;
110103;1800;43,6667;
110103;1900;50,6667;
110103;2000;59;
110103;2100;63,1667;
110103;2200;65,6665;
110103;2300;69,0833;
110104;0000;73,4165;
110104;0100;73,6665;
110104;0200;72,0833;
110104;0300;68,5833;
110104;0400;69,3333;
110104;0500;66,0833;
110104;0600;65,0833;
110104;0700;62,25;
110104;0800;58,8333;
110104;0900;53,6667;
110104;1000;49,25;
110104;1100;40,0833;
110104;1200;38,0833;
110104;1300;35,75;
110104;1400;34,0833;
110104;1500;33,3333;
110104;1600;29,6667;
110104;1700;36,6667;
110104;1800;44,75;
110104;1900;50,1667;
110104;2000;55,1667;
110104;2100;60,5;
110104;2200;64,0833;
110104;2300;67,4165;
110105;0000;69,75;
110105;0100;70,9165;
110105;0200;73,6665;
110105;0300;75,5;
110105;0400;77,3333;
110105;0500;78;
110105;0600;71,6665;
110105;0700;61,4167;
110105;0800;55,9167;
110105;0900;47,3333;
110105;1000;39,6667;
110105;1100;33,75;
110105;1200;27,9167;
110105;1300;19,9167;
110105;1400;19,9167;
110105;1500;23,6667;
110105;1600;24,4167;
110105;1700;23,5;
110105;1800;23,4167;
110105;1900;29,75;
110105;2000;37,5;
110105;2100;43;
110105;2200;46,4167;
110105;2300;50,25;
110106;0000;55,3333;
110106;0100;59,5833;
110106;0200;65,25;
110106;0300;67,0833;
110106;0400;68,9165;
110106;0500;70,8333;
110106;0600;66,9165;
110106;0700;57,3333;
110106;0800;50,0833;
110106;0900;45,5833;
110106;1000;40,8333;
110106;1100;37,9167;
110106;1200;31,5;
110106;1300;29,25;
110106;1400;31,9167;
110106;1500;36,5;
110106;1600;41,0833;
110106;1700;45,75;
110106;1800;53,8333;
110106;1900;63,3333;
110106;2000;71;
110106;2100;77,25;
110106;2200;80,6665;
110106;2300;82,8333;
110107;0000;84,8333;
110107;0100;86,5833;
110107;0200;88;
110107;0300;89;
110107;0400;89,9165;
110107;0500;89,4165;
110107;0600;86,5;
110107;0700;81,75;
110107;0800;74,75;
110107;0900;71;
110107;1000;69,1665;
110107;1100;62,5833;
110107;1200;54,4167;
110107;1300;45,1667;
110107;1400;42,4167;
110107;1500;42,6667;
110107;1600;43,25;
110107;1700;43,6667;
110107;1800;47,1667;
110107;1900;52,8333;
110107;2000;57,3333;
110107;2100;61,4167;
110107;2200;65,3333;
110107;2300;68,3333;
110108;0000;72,0833;
110108;0100;76,4165;
110108;0200;79,25;
110108;0300;82,6665;
110108;0400;83,75;
110108;0500;84,6665;
110108;0600;78,1665;
110108;0700;67,5;
110108;0800;61,5;
110108;0900;55,25;
110108;1000;47,5;
110108;1100;43,25;
110108;1200;37,4167;
110108;1300;33,3333;
110108;1400;29,25;
110108;1500;26,3333;
110108;1600;26,8333;
110108;1700;28,5833;
110108;1800;29,4167;
110108;1900;37,5833;
110108;2000;47,9167;
110108;2100;52,75;
110108;2200;55,0833;
110108;2300;54,5;
110109;0000;54,9167;
110109;0100;59,9167;
110109;0200;66,6665;
110109;0300;67,6665;
110109;0400;68,25;
110109;0500;69,4165;
110109;0600;68,0833;
110109;0700;58,0833;
110109;0800;48,3333;
110109;0900;40,0833;
110109;1000;38,3333;
110109;1100;34,0833;
110109;1200;29,6667;
110109;1300;27,5833;
110109;1400;28;
110109;1500;31;
110109;1600;33,75;
110109;1700;37,4167;
110109;1800;43,5;
110109;1900;46,6667;
110109;2000;50,8333;
110109;2100;56,0833;
110109;2200;62,0833;
110109;2300;66,4165;
110110;0000;68,4165;
110110;0100;76,25;
110110;0200;81,25;
110110;0300;83,4165;
110110;0400;87,75;
110110;0500;94,4165;
110110;0600;96;
110110;0700;88,8333;
110110;0800;72,75;
110110;0900;61,5;
110110;1000;50,9167;
110110;1100;42,5833;
110110;1200;37,5;
110110;1300;36,8333;
110110;1400;33,3333;
110110;1500;31,25;
110110;1600;36,5833;
110110;1700;39,3333;
110110;1800;43,6667;
110110;1900;49;
110110;2000;56,75;
110110;2100;61,8333;
110110;2200;65,4165;
110110;2300;69;
