FECHA (YYMMDD);HORA (HHMM);;
031215;0100;;
031215;0200;;
031215;0300;;
031215;0400;;
031215;0500;;
031215;0600;;
031215;0700;;
031215;0800;;
031215;0900;;
031215;1000;40,5833;
031215;1100;37,75;
031215;1200;31,4167;
031215;1300;27,3333;
031215;1400;25,25;
031215;1500;22,5833;
031215;1600;24;
031215;1700;27,3333;
031215;1800;28,8333;
031215;1900;30,6667;
031215;2000;30,5833;
031215;2100;29,5454;
031215;2200;31;
031215;2300;35,6666;
031216;0000;40,1666;
031216;0100;46,9166;
031216;0200;50;
031216;0300;51,9166;
031216;0400;55,9166;
031216;0500;59,4166;
031216;0600;51,3333;
031216;0700;37,9166;
031216;0800;30;
031216;0900;25,1667;
031216;1000;20,8333;
031216;1100;16,25;
031216;1200;12,1667;
031216;1300;13,0833;
031216;1400;12,3333;
031216;1500;12,4167;
031216;1600;11,3333;
031216;1700;12,1667;
031216;1800;13,5833;
031216;1900;16,8333;
031216;2000;23,5;
031216;2100;27,6667;
031216;2200;33,8333;
031216;2300;40,9166;
031217;0000;41,0833;
031217;0100;40,9166;
031217;0200;41,5;
031217;0300;42,5;
031217;0400;44,3333;
031217;0500;43,0833;
031217;0600;37,1666;
031217;0700;32,1666;
031217;0800;28,5833;
031217;0900;23,9167;
031217;1000;20,6667;
031217;1100;19,3333;
031217;1200;19,5833;
031217;1300;19,9167;
031217;1400;20,0833;
031217;1500;23,25;
031217;1600;26,0833;
031217;1700;30,8333;
031217;1800;29,6667;
031217;1900;37,75;
031217;2000;44,1666;
031217;2100;48,5833;
031217;2200;52,5833;
031217;2300;57,1666;
031218;0000;61,9166;
031218;0100;67,4164;
031218;0200;69,4164;
031218;0300;72,1664;
031218;0400;74,4164;
031218;0500;75,25;
031218;0600;65,6664;
031218;0700;59;
031218;0800;52,75;
031218;0900;45,5;
031218;1000;40,5833;
031218;1100;38;
031218;1200;40;
031218;1300;39,5;
031218;1400;39,75;
031218;1500;41,5833;
031218;1600;43,0833;
031218;1700;45,1666;
031218;1800;48,25;
031218;1900;54;
031218;2000;58,3333;
031218;2100;62,5;
031218;2200;66,9164;
031218;2300;72,8333;
031219;0000;79,1664;
031219;0100;82,4164;
031219;0200;84,75;
031219;0300;;
031219;0400;85,75;
031219;0500;85,5833;
031219;0600;75,9164;
031219;0700;65,9164;
031219;0800;59,5;
031219;0900;50,75;
031219;1000;49,5;
031219;1100;48,5;
031219;1200;45,25;
031219;1300;42;
031219;1400;39,9166;
031219;1500;39,0833;
031219;1600;40,5;
031219;1700;45,25;
031219;1800;48,3333;
031219;1900;54,6666;
031219;2000;59,75;
031219;2100;61,9166;
031219;2200;64,25;
031219;2300;65,5833;
031220;0000;68,25;
031220;0100;72,3333;
031220;0200;74,5;
031220;0300;76;
031220;0400;79,4164;
031220;0500;80,8333;
031220;0600;70,9164;
031220;0700;60;
031220;0800;50,8333;
031220;0900;46;
031220;1000;40,1666;
031220;1100;35,75;
031220;1200;35,5833;
031220;1300;33,25;
031220;1400;33;
031220;1500;32,4166;
031220;1600;34,3333;
031220;1700;35,3333;
031220;1800;41,5;
031220;1900;44,75;
031220;2000;40,8333;
031220;2100;39;
031220;2200;39,5833;
031220;2300;42,5833;
031221;0000;55,9166;
031221;0100;70,0833;
031221;0200;74,9164;
031221;0300;78,8333;
031221;0400;83,8333;
031221;0500;90,3333;
031221;0600;86,75;
031221;0700;77,0833;
031221;0800;63,8333;
031221;0900;55;
031221;1000;49;
031221;1100;44;
031221;1200;42,5;
031221;1300;37,5833;
031221;1400;34,6666;
031221;1500;32,4166;
031221;1600;30,5833;
031221;1700;31,0833;
031221;1800;33,75;
031221;1900;38,0833;
031221;2000;45,75;
031221;2100;47,1666;
031221;2200;46,8333;
031221;2300;46,8333;
031222;0000;49,5833;
031222;0100;52,0833;
031222;0200;56,0833;
031222;0300;60,25;
031222;0400;63,9166;
031222;0500;67,75;
031222;0600;63;
031222;0700;52,3333;
031222;0800;44,25;
031222;0900;39;
031222;1000;34,75;
031222;1100;32,5;
031222;1200;28,25;
031222;1300;25,3333;
031222;1400;21,75;
031222;1500;20,3333;
031222;1600;21,6667;
031222;1700;24,5;
031222;1800;28,5833;
031222;1900;32,25;
031222;2000;36,6666;
031222;2100;;
031222;2200;43;
031222;2300;47,5;
031223;0000;53,5833;
031223;0100;59,1666;
031223;0200;61,9166;
031223;0300;65,0833;
031223;0400;65,9164;
031223;0500;68,6664;
031223;0600;58,5;
031223;0700;45,1666;
031223;0800;39,1666;
031223;0900;36,4166;
031223;1000;31,75;
031223;1100;31,9167;
031223;1200;28,5;
031223;1300;27,9167;
031223;1400;27,5;
031223;1500;27,9167;
031223;1600;24,1667;
031223;1700;29,5833;
031223;1800;34,5833;
031223;1900;37,25;
031223;2000;41,5833;
031223;2100;44,9166;
031223;2200;45,9166;
031223;2300;50,1666;
031224;0000;56,8333;
031224;0100;63,5;
031224;0200;67,5;
031224;0300;73,25;
031224;0400;74,8333;
031224;0500;78,3333;
031224;0600;68,6664;
031224;0700;56,1666;
031224;0800;49,9166;
031224;0900;48,9166;
031224;1000;43;
031224;1100;39,5;
031224;1200;37,9166;
031224;1300;38,0833;
031224;1400;36,8333;
031224;1500;37,0833;
031224;1600;39,75;
031224;1700;42,6666;
031224;1800;46,3333;
031224;1900;51,75;
031224;2000;58,5833;
031224;2100;61,5;
031224;2200;66,0833;
031224;2300;68,9164;
031225;0000;76,1664;
031225;0100;79,25;
031225;0200;82,0833;
031225;0300;85,8333;
031225;0400;86,25;
031225;0500;86,8333;
031225;0600;78,6664;
031225;0700;66,8333;
031225;0800;61,9166;
031225;0900;52,75;
031225;1000;44,9166;
031225;1100;42;
031225;1200;42,9166;
031225;1300;37,5833;
031225;1400;34,1666;
031225;1500;35,5;
031225;1600;36;
031225;1700;37,3333;
031225;1800;44,5;
031225;1900;51,6666;
031225;2000;52,9166;
031225;2100;50,8333;
031225;2200;57,0833;
031225;2300;62,5833;
031226;0000;68,4164;
031226;0100;73,8333;
031226;0200;77,0833;
031226;0300;80,5;
031226;0400;83,4164;
031226;0500;85,1664;
031226;0600;80;
031226;0700;68,25;
031226;0800;57,5833;
031226;0900;50,0833;
031226;1000;47,5;
031226;1100;41;
031226;1200;40,0833;
031226;1300;37,9166;
031226;1400;35,4166;
031226;1500;31;
031226;1600;29,0833;
031226;1700;37,4166;
031226;1800;44,5833;
031226;1900;49,9166;
031226;2000;57;
031226;2100;60,5;
031226;2200;62,6666;
031226;2300;64;
031227;0000;64,8333;
031227;0100;69,5;
031227;0200;71,0833;
031227;0300;68,8333;
031227;0400;70,8333;
031227;0500;72,5833;
031227;0600;70,1664;
031227;0700;63,5833;
031227;0800;60,6666;
031227;0900;58,0833;
031227;1000;54;
031227;1100;50,5;
031227;1200;45,75;
031227;1300;41,9166;
031227;1400;36,0833;
031227;1500;27,3333;
031227;1600;27,4167;
031227;1700;29,5;
031227;1800;31,5833;
031227;1900;34;
031227;2000;32,6666;
031227;2100;29,75;
031227;2200;31,9167;
031227;2300;36,6666;
031228;0000;41,8333;
031228;0100;45,5833;
031228;0200;48,6666;
031228;0300;53,4166;
031228;0400;57,1666;
031228;0500;61,9166;
031228;0600;60,3333;
031228;0700;45,6666;
031228;0800;34,75;
031228;0900;30;
031228;1000;27;
031228;1100;25,6667;
031228;1200;21;
031228;1300;21;
031228;1400;17,9167;
031228;1500;15,4167;
031228;1600;14,75;
031228;1700;16,6667;
031228;1800;23,3333;
031228;1900;30,8333;
031228;2000;39,75;
031228;2100;41,75;
031228;2200;43,25;
031228;2300;48,75;
031229;0000;51,0833;
031229;0100;55,6666;
031229;0200;58,5833;
031229;0300;65,25;
031229;0400;62,5833;
031229;0500;63,5;
031229;0600;57,75;
031229;0700;44,5;
031229;0800;44,8333;
031229;0900;39,8333;
031229;1000;37,75;
031229;1100;35,5833;
