FECHA (YYMMDD);HORA (HHMM);;
031215;0100;;
031215;0200;;
031215;0300;;
031215;0400;;
031215;0500;;
031215;0600;;
031215;0700;;
031215;0800;;
031215;0900;;
031215;1000;;
031215;1100;38,3333;
031215;1200;28,9167;
031215;1300;20,9167;
031215;1400;20,8333;
031215;1500;22,8333;
031215;1600;19,5;
031215;1700;16,3333;
031215;1800;14,5833;
031215;1900;17,3333;
031215;2000;30,25;
031215;2100;30,0833;
031215;2200;;
031215;2300;32,0833;
031216;0000;34,6666;
031216;0100;38,5;
031216;0200;42,25;
031216;0300;46,6666;
031216;0400;49,25;
031216;0500;51,8333;
031216;0600;45,25;
031216;0700;38,75;
031216;0800;32,8333;
031216;0900;25,8333;
031216;1000;21,3333;
031216;1100;18,9167;
031216;1200;16,0833;
031216;1300;12,5833;
031216;1400;12,75;
031216;1500;11,4167;
031216;1600;10,1667;
031216;1700;11,6667;
031216;1800;14,4167;
031216;1900;16,6667;
031216;2000;22,4167;
031216;2100;26,3333;
031216;2200;28,75;
031216;2300;36,3333;
031217;0000;41,4166;
031217;0100;45,5833;
031217;0200;49,4166;
031217;0300;48,6666;
031217;0400;51;
031217;0500;52,25;
031217;0600;48,5;
031217;0700;39,3333;
031217;0800;31,9167;
031217;0900;25,5;
031217;1000;23,0833;
031217;1100;19,1667;
031217;1200;19,4167;
031217;1300;18,1667;
031217;1400;20,1667;
031217;1500;22,9167;
031217;1600;26,3333;
031217;1700;28,8333;
031217;1800;32,1666;
031217;1900;40,9166;
031217;2000;49,6666;
031217;2100;54;
031217;2200;57,6666;
031217;2300;61,25;
031218;0000;64,5833;
031218;0100;66,5833;
031218;0200;68,5833;
031218;0300;70;
031218;0400;;
031218;0500;72;
031218;0600;64,5833;
031218;0700;59,0833;
031218;0800;53,9166;
031218;0900;48,9166;
031218;1000;44,5;
031218;1100;40,25;
031218;1200;38,9166;
031218;1300;37,3333;
031218;1400;35,75;
031218;1500;36,3333;
031218;1600;37,25;
031218;1700;36,6666;
031218;1800;40,1666;
031218;1900;50,75;
031218;2000;56,8333;
031218;2100;61,8333;
031218;2200;63,5;
031218;2300;70,6664;
031219;0000;74,6664;
031219;0100;80,1664;
031219;0200;81,3333;
031219;0300;84,25;
031219;0400;87,8333;
031219;0500;86,5833;
031219;0600;80,6664;
031219;0700;71,5;
031219;0800;61,5;
031219;0900;54,0833;
031219;1000;52,0833;
031219;1100;47,4166;
031219;1200;44,25;
031219;1300;40,8333;
031219;1400;36,5;
031219;1500;33;
031219;1600;32,3333;
031219;1700;36,25;
031219;1800;39,1666;
031219;1900;46,9166;
031219;2000;52,3333;
031219;2100;55,8333;
031219;2200;59,9166;
031219;2300;62,8333;
031220;0000;64,4164;
031220;0100;68,3333;
031220;0200;72,4164;
031220;0300;74,5;
031220;0400;75,9164;
031220;0500;77,6664;
031220;0600;72,0833;
031220;0700;64,9164;
031220;0800;52,6666;
031220;0900;44,5;
031220;1000;37,9166;
031220;1100;34,75;
031220;1200;33;
031220;1300;28,8333;
031220;1400;28,5;
031220;1500;29;
031220;1600;29,9167;
031220;1700;33;
031220;1800;36,1666;
031220;1900;42,1666;
031220;2000;44,25;
031220;2100;43,0833;
031220;2200;45,1666;
031220;2300;57,0833;
031221;0000;71,4164;
031221;0100;78,5833;
031221;0200;78,6664;
031221;0300;75,5;
031221;0400;79,3333;
031221;0500;83,5833;
031221;0600;78,8333;
031221;0700;71,5833;
031221;0800;59,0833;
031221;0900;48,4166;
031221;1000;45,5833;
031221;1100;40,8333;
031221;1200;40,0833;
031221;1300;33,4166;
031221;1400;26,1667;
031221;1500;21,3333;
031221;1600;21,6667;
031221;1700;21,9167;
031221;1800;25,0833;
031221;1900;34,1666;
031221;2000;41,8333;
031221;2100;47,4166;
031221;2200;46;
031221;2300;42,5833;
031222;0000;45,9166;
031222;0100;51,5833;
031222;0200;55,25;
031222;0300;56,75;
031222;0400;60;
031222;0500;62,25;
031222;0600;55,4166;
031222;0700;49,75;
031222;0800;42,0833;
031222;0900;37,5833;
031222;1000;34,9166;
031222;1100;32,8333;
031222;1200;29,3333;
031222;1300;22,5833;
031222;1400;20,8333;
031222;1500;21,5;
031222;1600;21;
031222;1700;21,25;
031222;1800;23,4167;
031222;1900;27,25;
031222;2000;32,0833;
031222;2100;35,5;
031222;2200;38,75;
031222;2300;41,25;
031223;0000;43,4166;
031223;0100;47,0833;
031223;0200;50,5833;
031223;0300;54,5;
031223;0400;56;
031223;0500;57,8333;
031223;0600;52,5833;
031223;0700;46,0833;
031223;0800;40;
031223;0900;36,5;
031223;1000;34,25;
031223;1100;31,4167;
031223;1200;26,5;
031223;1300;25,1667;
031223;1400;28,75;
031223;1500;29;
031223;1600;26,4167;
031223;1700;25,75;
031223;1800;25,3333;
031223;1900;35,8333;
031223;2000;42,4166;
031223;2100;48,9166;
031223;2200;51,3333;
031223;2300;56,6666;
031224;0000;60,3333;
031224;0100;64,5;
031224;0200;71,6664;
031224;0300;72,1111;
031224;0400;75,0833;
031224;0500;80,5;
031224;0600;75;
031224;0700;68,6664;
031224;0800;56;
031224;0900;51,4166;
031224;1000;46,75;
031224;1100;43,0833;
031224;1200;39,5;
031224;1300;36,25;
031224;1400;36,4166;
031224;1500;37,1666;
031224;1600;37,6666;
031224;1700;41,1666;
031224;1800;44,6666;
031224;1900;51;
031224;2000;57,8333;
031224;2100;63;
031224;2200;68,25;
031224;2300;72,6664;
031225;0000;77,5833;
031225;0100;81,4164;
031225;0200;85,1664;
031225;0300;85,5833;
031225;0400;87,3333;
031225;0500;88,5;
031225;0600;85;
031225;0700;72,3333;
031225;0800;63,3333;
031225;0900;52,3333;
031225;1000;44,6666;
031225;1100;41,3333;
031225;1200;38,6666;
031225;1300;38,1666;
031225;1400;34,75;
031225;1500;34,4166;
031225;1600;34,8333;
031225;1700;38,1666;
031225;1800;39,9166;
031225;1900;45;
031225;2000;45,5;
031225;2100;48,0833;
031225;2200;55,3333;
031225;2300;62;
031226;0000;68,75;
031226;0100;73,8333;
031226;0200;73,8333;
031226;0300;80,5833;
031226;0400;83,9091;
031226;0500;82,8333;
031226;0600;79,6664;
031226;0700;70,0833;
031226;0800;55,6666;
031226;0900;50,4166;
031226;1000;47,6666;
031226;1100;40,4166;
031226;1200;34,9166;
031226;1300;31,5833;
031226;1400;31,8333;
031226;1500;27,25;
031226;1600;27,1667;
031226;1700;32,1666;
031226;1800;36,4166;
031226;1900;41,8333;
031226;2000;50,4166;
031226;2100;54,1666;
031226;2200;;
031226;2300;56,3636;
031227;0000;57,6666;
031227;0100;59,75;
031227;0200;61,5453;
031227;0300;63,5833;
031227;0400;64,5;
031227;0500;67,25;
031227;0600;64,75;
031227;0700;62,9166;
031227;0800;59,3333;
031227;0900;54,1666;
031227;1000;51,5;
031227;1100;48,3333;
031227;1200;43,6666;
031227;1300;39,9166;
031227;1400;33,8333;
031227;1500;26,0833;
031227;1600;23,9167;
031227;1700;23,5833;
031227;1800;27,1667;
031227;1900;29,3333;
031227;2000;33;
031227;2100;30,5833;
031227;2200;29,8333;
031227;2300;34,0833;
031228;0000;38,6666;
031228;0100;41,5;
031228;0200;43,5;
031228;0300;47,1666;
031228;0400;50,4166;
031228;0500;52,8333;
031228;0600;47,5833;
031228;0700;41,5833;
031228;0800;34,3333;
031228;0900;28,9167;
031228;1000;26,75;
031228;1100;26,1667;
031228;1200;24,1667;
031228;1300;22,6667;
031228;1400;18,0833;
031228;1500;14,75;
031228;1600;15,3333;
031228;1700;17,1667;
031228;1800;17,6667;
031228;1900;22,8333;
031228;2000;34,3333;
031228;2100;38,25;
031228;2200;40,5833;
031228;2300;41,5833;
031229;0000;43,75;
031229;0100;49,8333;
031229;0200;55,75;
031229;0300;57,3333;
031229;0400;59,75;
031229;0500;62,1666;
031229;0600;58,5;
031229;0700;51,3333;
031229;0800;44,1666;
