FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970528;0100;4;;;
970528;0200;3;;;
970528;0300;3;;;
970528;0400;3;;;
970528;0500;3;;;
970528;0600;5;;;
970528;0700;9;;;
970528;0800;12;;;
970528;0900;13;;;
970528;1000;14;;;
970528;1100;12;;;
970528;1200;14;;;
970528;1300;12;;;
970528;1400;8;;;
970528;1500;9;;;
970528;1600;10;;;
970528;1700;20;;;
970528;1800;18;;;
970528;1900;6;;;
970528;2000;5;;;
970528;2100;6;;;
970528;2200;6;;;
970528;2300;5;;;
970529;0000;3;;;
970529;0100;2;;;
970529;0200;1;;;
970529;0300;1;;;
970529;0400;2;;;
970529;0500;1;;;
970529;0600;1;;;
970529;0700;3;;;
970529;0800;2;;;
970529;0900;3;;;
970529;1000;3;;;
970529;1100;4;;;
970529;1200;3;;;
970529;1300;4;;;
970529;1400;4;;;
970529;1500;3;;;
970529;1600;4;;;
970529;1700;4;;;
970529;1800;4;;;
970529;1900;4;;;
970529;2000;4;;;
970529;2100;3;;;
970529;2200;3;;;
970529;2300;3;;;
970530;0000;3;;;
970530;0100;3;;;
970530;0200;3;;;
970530;0300;2;;;
970530;0400;3;;;
970530;0500;2;;;
970530;0600;3;;;
970530;0700;4;;;
970530;0800;4;;;
970530;0900;2;;;
970530;1000;4;;;
970530;1100;3;;;
970530;1200;2;;;
970530;1300;2;;;
970530;1400;2;;;
970530;1500;2;;;
970530;1600;3;;;
970530;1700;9;;;
970530;1800;10;;;
970530;1900;11;;;
970530;2000;9;;;
970530;2100;8;;;
970530;2200;9;;;
970530;2300;6;;;
970531;0000;5;;;
970531;0100;5;;;
970531;0200;4;;;
970531;0300;3;;;
970531;0400;3;;;
970531;0500;3;;;
970531;0600;3;;;
970531;0700;3;;;
970531;0800;5;;;
970531;0900;7;;;
970531;1000;7;;;
970531;1100;7;;;
970531;1200;6;;;
970531;1300;7;;;
970531;1400;9;;;
970531;1500;9;;;
970531;1600;9;;;
970531;1700;9;;;
970531;1800;10;;;
970531;1900;11;;;
970531;2000;12;;;
970531;2100;12;;;
970531;2200;11;;;
970531;2300;10;;;
970601;0000;11;;;
970601;0100;10;;;
970601;0200;7;;;
970601;0300;7;;;
970601;0400;8;;;
970601;0500;6;;;
970601;0600;5;;;
970601;0700;5;;;
970601;0800;5;;;
970601;0900;6;;;
970601;1000;9;;;
970601;1100;12;;;
970601;1200;11;;;
970601;1300;11;;;
970601;1400;8;;;
970601;1500;6;;;
970601;1600;6;;;
970601;1700;7;;;
970601;1800;6;;;
970601;1900;8;;;
970601;2000;9;;;
970601;2100;8;;;
970601;2200;7;;;
970601;2300;7;;;
970602;0000;6;;;
970602;0100;5;;;
970602;0200;3;;;
970602;0300;3;;;
970602;0400;3;;;
970602;0500;3;;;
970602;0600;4;;;
970602;0700;7;;;
970602;0800;11;;;
970602;0900;9;;;
970602;1000;8;;;
970602;1100;12;;;
970602;1200;20;;;
970602;1300;13;;;
970602;1400;10;;;
970602;1500;8;;;
970602;1600;6;;;
970602;1700;8;;;
970602;1800;10;;;
970602;1900;15;;;
970602;2000;14;;;
970602;2100;13;;;
970602;2200;14;;;
970602;2300;12;;;
970603;0000;9;;;
970603;0100;8;;;
970603;0200;8;;;
970603;0300;9;;;
970603;0400;10;;;
970603;0500;10;;;
970603;0600;10;;;
970603;0700;12;;;
970603;0800;13;;;
970603;0900;12;;;
970603;1000;11;;;
970603;1100;12;;;
970603;1200;16;;;
970603;1300;11;;;
970603;1400;7;;;
970603;1500;4;;;
970603;1600;5;;;
970603;1700;5;;;
970603;1800;5;;;
970603;1900;6;;;
970603;2000;4;;;
970603;2100;5;;;
970603;2200;5;;;
970603;2300;5;;;
970604;0000;4;;;
970604;0100;3;;;
970604;0200;3;;;
970604;0300;3;;;
970604;0400;4;;;
970604;0500;4;;;
970604;0600;4;;;
970604;0700;4;;;
970604;0800;4;;;
970604;0900;6;;;
970604;1000;6;;;
970604;1100;4;;;
970604;1200;3;;;
970604;1300;4;;;
970604;1400;5;;;
970604;1500;5;;;
970604;1600;6;;;
970604;1700;9;;;
970604;1800;11;;;
970604;1900;8;;;
970604;2000;5;;;
970604;2100;4;;;
970604;2200;4;;;
970604;2300;5;;;
970605;0000;6;;;
970605;0100;5;;;
970605;0200;4;;;
970605;0300;4;;;
970605;0400;4;;;
970605;0500;4;;;
970605;0600;5;;;
970605;0700;7;;;
970605;0800;10;;;
970605;0900;13;;;
970605;1000;15;;;
970605;1100;9;;;
970605;1200;7;;;
970605;1300;6;;;
970605;1400;4;;;
970605;1500;3;;;
970605;1600;3;;;
970605;1700;4;;;
970605;1800;4;;;
970605;1900;4;;;
970605;2000;6;;;
970605;2100;8;;;
970605;2200;9;;;
970605;2300;9;;;
970606;0000;6;;;
970606;0100;4;;;
970606;0200;4;;;
970606;0300;3;;;
970606;0400;3;;;
970606;0500;3;;;
970606;0600;4;;;
970606;0700;6;;;
970606;0800;11;;;
970606;0900;10;;;
970606;1000;8;;;
970606;1100;9;;;
970606;1200;10;;;
970606;1300;16;;;
970606;1400;17;;;
970606;1500;12;;;
970606;1600;22;;;
970606;1700;31;;;
970606;1800;25;;;
970606;1900;20;;;
970606;2000;13;;;
970606;2100;13;;;
970606;2200;11;;;
970606;2300;10;;;
970607;0000;8;;;
970607;0100;7;;;
970607;0200;5;;;
970607;0300;4;;;
970607;0400;4;;;
970607;0500;4;;;
970607;0600;4;;;
970607;0700;6;;;
970607;0800;8;;;
970607;0900;9;;;
970607;1000;10;;;
970607;1100;9;;;
970607;1200;12;;;
970607;1300;9;;;
970607;1400;6;;;
970607;1500;6;;;
970607;1600;6;;;
970607;1700;7;;;
970607;1800;11;;;
970607;1900;13;;;
970607;2000;13;;;
970607;2100;11;;;
970607;2200;12;;;
970607;2300;12;;;
970608;0000;10;;;
970608;0100;10;;;
970608;0200;8;;;
970608;0300;8;;;
970608;0400;6;;;
970608;0500;5;;;
970608;0600;5;;;
970608;0700;6;;;
970608;0800;8;;;
970608;0900;10;;;
970608;1000;15;;;
970608;1100;10;;;
970608;1200;13;;;
970608;1300;11;;;
970608;1400;10;;;
970608;1500;9;;;
970608;1600;13;;;
970608;1700;11;;;
970608;1800;11;;;
970608;1900;12;;;
970608;2000;12;;;
970608;2100;12;;;
970608;2200;13;;;
970608;2300;11;;;
970609;0000;9;;;
970609;0100;7;;;
970609;0200;7;;;
970609;0300;5;;;
970609;0400;5;;;
970609;0500;5;;;
970609;0600;6;;;
970609;0700;8;;;
970609;0800;9;;;
970609;0900;9;;;
970609;1000;9;;;
970609;1100;9;;;
970609;1200;8;;;
970609;1300;7;;;
970609;1400;8;;;
970609;1500;6;;;
970609;1600;5;;;
970609;1700;6;;;
970609;1800;10;;;
970609;1900;10;;;
970609;2000;12;;;
970609;2100;11;;;
970609;2200;12;;;
970609;2300;9;;;
970610;0000;9;;;
970610;0100;8;;;
970610;0200;6;;;
970610;0300;4;;;
970610;0400;3;;;
970610;0500;2;;;
970610;0600;3;;;
970610;0700;6;;;
970610;0800;8;;;
