FECHA (YYMMDD);HORA (HHMM);;
031215;0100;;
031215;0200;;
031215;0300;;
031215;0400;;
031215;0500;;
031215;0600;;
031215;0700;;
031215;0800;;
031215;0900;;
031215;1000;22,75;
031215;1100;23,825;
031215;1200;24,9583;
031215;1300;26,025;
031215;1400;26,35;
031215;1500;26,9833;
031215;1600;27,0667;
031215;1700;26,3916;
031215;1800;24,9583;
031215;1900;22,4417;
031215;2000;20,4583;
031215;2100;19,3;
031215;2200;18,15;
031215;2300;16,7166;
031216;0000;15,4666;
031216;0100;14,175;
031216;0200;13,475;
031216;0300;12,7917;
031216;0400;12,075;
031216;0500;11,5583;
031216;0600;14,1;
031216;0700;19,0083;
031216;0800;22,175;
031216;0900;24,5166;
031216;1000;27,175;
031216;1100;28,35;
031216;1200;30,1;
031216;1300;31,175;
031216;1400;31,75;
031216;1500;32,325;
031216;1600;32,1249;
031216;1700;31,85;
031216;1800;30,4833;
031216;1900;27,9417;
031216;2000;25,4583;
031216;2100;23,7916;
031216;2200;22,2;
031216;2300;20,4417;
031217;0000;18,8;
031217;0100;17,6833;
031217;0200;16,55;
031217;0300;15,9583;
031217;0400;15,4333;
031217;0500;15,35;
031217;0600;18,25;
031217;0700;23,7;
031217;0800;25,8167;
031217;0900;28,0166;
031217;1000;29,9666;
031217;1100;31,325;
031217;1200;31,675;
031217;1300;32,4083;
031217;1400;31,9833;
031217;1500;31,3083;
031217;1600;30,2;
031217;1700;28,375;
031217;1800;26,8333;
031217;1900;23,8;
031217;2000;21,5083;
031217;2100;20,25;
031217;2200;18,9;
031217;2300;17,7416;
031218;0000;16,9916;
031218;0100;16,0417;
031218;0200;15,675;
031218;0300;15,1833;
031218;0400;14,675;
031218;0500;14,575;
031218;0600;17,05;
031218;0700;19,2333;
031218;0800;21,0083;
031218;0900;23,575;
031218;1000;25,8;
031218;1100;27,625;
031218;1200;27,7083;
031218;1300;28,15;
031218;1400;28,425;
031218;1500;27,9333;
031218;1600;27,05;
031218;1700;26,1166;
031218;1800;24,0333;
031218;1900;21,6416;
031218;2000;20,0333;
031218;2100;18,9583;
031218;2200;18,4;
031218;2300;17,575;
031219;0000;16,1917;
031219;0100;15,3417;
031219;0200;14,7666;
031219;0300;14,5583;
031219;0400;14,45;
031219;0500;14,4167;
031219;0600;16,925;
031219;0700;19,8;
031219;0800;21,4583;
031219;0900;24,15;
031219;1000;25,4833;
031219;1100;26,3666;
031219;1200;27,0583;
031219;1300;28,0667;
031219;1400;29,2;
031219;1500;29,4333;
031219;1600;29,2;
031219;1700;27,5;
031219;1800;25,8167;
031219;1900;23,175;
031219;2000;21,65;
031219;2100;20,95;
031219;2200;20,2333;
031219;2300;19,8666;
031220;0000;19,15;
031220;0100;18,3333;
031220;0200;17,6833;
031220;0300;17,1333;
031220;0400;16,475;
031220;0500;16,2416;
031220;0600;18,4916;
031220;0700;21,3;
031220;0800;23,8666;
031220;0900;25,5083;
031220;1000;27,6333;
031220;1100;29,4916;
031220;1200;29,8416;
031220;1300;30,6833;
031220;1400;31,1166;
031220;1500;30,7917;
031220;1600;28,9083;
031220;1700;26,3916;
031220;1800;23,475;
031220;1900;21,3416;
031220;2000;20,0416;
031220;2100;19,3083;
031220;2200;18,4167;
031220;2300;17,7916;
031221;0000;16,1083;
031221;0100;14,6083;
031221;0200;13,7417;
031221;0300;12,8667;
031221;0400;12,3916;
031221;0500;11,45;
031221;0600;11,775;
031221;0700;13,4917;
031221;0800;16,9833;
031221;0900;18,9417;
031221;1000;20,9333;
031221;1100;22,3666;
031221;1200;23,15;
031221;1300;24,5333;
031221;1400;25,5083;
031221;1500;26,4666;
031221;1600;26,7333;
031221;1700;26,475;
031221;1800;25,8333;
031221;1900;23,9916;
031221;2000;21,7083;
031221;2100;20,2916;
031221;2200;19,15;
031221;2300;18,0667;
031222;0000;16,9833;
031222;0100;16,35;
031222;0200;15,2917;
031222;0300;14,2;
031222;0400;13,325;
031222;0500;12,55;
031222;0600;14,2833;
031222;0700;17,5583;
031222;0800;20,175;
031222;0900;22,1666;
031222;1000;24,3;
031222;1100;25,2916;
031222;1200;27,125;
031222;1300;28,6166;
031222;1400;29,7166;
031222;1500;30,5583;
031222;1600;30,55;
031222;1700;29,4;
031222;1800;27,1666;
031222;1900;24,5333;
031222;2000;21,75;
031222;2100;;
031222;2200;18,8916;
031222;2300;18,2333;
031223;0000;17,3583;
031223;0100;16,4333;
031223;0200;15,925;
031223;0300;15,0417;
031223;0400;14,675;
031223;0500;14,175;
031223;0600;17,15;
031223;0700;19,9916;
031223;0800;22,4083;
031223;0900;23,925;
031223;1000;26,1166;
031223;1100;27,5416;
031223;1200;28,2583;
031223;1300;28,5916;
031223;1400;28,95;
031223;1500;28,3333;
031223;1600;27,7583;
031223;1700;26,4083;
031223;1800;24,4166;
031223;1900;21,9666;
031223;2000;20,0583;
031223;2100;18,8333;
031223;2200;17,875;
031223;2300;16,925;
031224;0000;15,9583;
031224;0100;14,7667;
031224;0200;14,45;
031224;0300;13,7167;
031224;0400;13,275;
031224;0500;12,65;
031224;0600;15,3083;
031224;0700;18,1083;
031224;0800;19,975;
031224;0900;20,825;
031224;1000;22,9833;
031224;1100;25,0833;
031224;1200;26,2083;
031224;1300;26,65;
031224;1400;27,4833;
031224;1500;27,25;
031224;1600;26,3167;
031224;1700;25,25;
031224;1800;23,4666;
031224;1900;21,3833;
031224;2000;19,45;
031224;2100;18,5083;
031224;2200;17,2416;
031224;2300;16,825;
031225;0000;15,5667;
031225;0100;14,6917;
031225;0200;14,0333;
031225;0300;13,35;
031225;0400;12,9167;
031225;0500;12,775;
031225;0600;14,8416;
031225;0700;18,0916;
031225;0800;19,5417;
031225;0900;22,5333;
031225;1000;25,2083;
031225;1100;26,9417;
031225;1200;27,8583;
031225;1300;28,9916;
031225;1400;29,5083;
031225;1500;29,1;
031225;1600;28,55;
031225;1700;27,35;
031225;1800;25,0083;
031225;1900;21,75;
031225;2000;19,9666;
031225;2100;19,0667;
031225;2200;17,9;
031225;2300;16,9417;
031226;0000;16,0166;
031226;0100;15,175;
031226;0200;14,6;
031226;0300;14,025;
031226;0400;13,4333;
031226;0500;13,0583;
031226;0600;14,1833;
031226;0700;16,85;
031226;0800;19,225;
031226;0900;21,325;
031226;1000;23,05;
031226;1100;24,0833;
031226;1200;24,9083;
031226;1300;26,2083;
031226;1400;26,65;
031226;1500;27,2583;
031226;1600;26,5417;
031226;1700;25,55;
031226;1800;23,4333;
031226;1900;21,125;
031226;2000;18,5083;
031226;2100;16,9666;
031226;2200;15,8;
031226;2300;14,9083;
031227;0000;14,2;
031227;0100;14,5417;
031227;0200;13,9417;
031227;0300;13,125;
031227;0400;12,075;
031227;0500;11,5583;
031227;0600;12,2833;
031227;0700;14,2083;
031227;0800;15,3667;
031227;0900;16,3416;
031227;1000;18,2583;
031227;1100;19,925;
031227;1200;21,8;
031227;1300;23,125;
031227;1400;24,8167;
031227;1500;25,8333;
031227;1600;25,9833;
031227;1700;25,325;
031227;1800;24,0833;
031227;1900;21,6667;
031227;2000;19,5583;
031227;2100;18,3916;
031227;2200;17,0083;
031227;2300;15,7;
031228;0000;14,5083;
031228;0100;13,5417;
031228;0200;12,7583;
031228;0300;11,7833;
031228;0400;11,0583;
031228;0500;10,3916;
031228;0600;12,2917;
031228;0700;15,8583;
031228;0800;19,3167;
031228;0900;21,7166;
031228;1000;24,0166;
031228;1100;25,8583;
031228;1200;27;
031228;1300;28,75;
031228;1400;29,5166;
031228;1500;30,075;
031228;1600;30,0667;
031228;1700;29,6583;
031228;1800;27,9833;
031228;1900;24,6083;
031228;2000;21,3416;
031228;2100;20;
031228;2200;18,9083;
031228;2300;17,9666;
031229;0000;17,25;
031229;0100;15,9833;
031229;0200;15,175;
031229;0300;13,925;
031229;0400;14,3417;
031229;0500;14,0417;
031229;0600;16,0667;
