FECHA (YYMMDD);HORA (HHMM);;
031215;0100;;
031215;0200;;
031215;0300;;
031215;0400;;
031215;0500;;
031215;0600;;
031215;0700;;
031215;0800;;
031215;0900;;
031215;1000;22,9778;
031215;1100;24,6333;
031215;1200;26,0583;
031215;1300;26,7416;
031215;1400;27,775;
031215;1500;28,0916;
031215;1600;28,1416;
031215;1700;27,6333;
031215;1800;26,5083;
031215;1900;24,3333;
031215;2000;22,1917;
031215;2100;20,7666;
031215;2200;19,2666;
031215;2300;18,2333;
031216;0000;17,1917;
031216;0100;16,025;
031216;0200;15,1583;
031216;0300;14,8417;
031216;0400;14,125;
031216;0500;13,8333;
031216;0600;15,6416;
031216;0700;18,7;
031216;0800;21,8167;
031216;0900;24,1833;
031216;1000;26,6416;
031216;1100;28,75;
031216;1200;30,9167;
031216;1300;32,275;
031216;1400;33,1666;
031216;1500;33,4749;
031216;1600;32,9417;
031216;1700;32,4916;
031216;1800;31,65;
031216;1900;29,4417;
031216;2000;27,2083;
031216;2100;25,675;
031216;2200;23,8916;
031216;2300;22,2083;
031217;0000;20,5333;
031217;0100;19,4417;
031217;0200;18,5667;
031217;0300;18,45;
031217;0400;17,7833;
031217;0500;17,5916;
031217;0600;20,275;
031217;0700;23,1333;
031217;0800;25,8666;
031217;0900;28,2166;
031217;1000;30,2083;
031217;1100;32,0583;
031217;1200;33,075;
031217;1300;33,6416;
031217;1400;33,2083;
031217;1500;32,2833;
031217;1600;31,1833;
031217;1700;29,7083;
031217;1800;27,7166;
031217;1900;25,1917;
031217;2000;22,6917;
031217;2100;21,1083;
031217;2200;19,6;
031217;2300;18,4916;
031218;0000;17,45;
031218;0100;16,8833;
031218;0200;16,4417;
031218;0300;15,9833;
031218;0400;15,45;
031218;0500;14,9833;
031218;0600;16,1666;
031218;0700;18,7;
031218;0800;21,3666;
031218;0900;23,9;
031218;1000;26,2;
031218;1100;28,2083;
031218;1200;29,4083;
031218;1300;29,8666;
031218;1400;29,725;
031218;1500;28,7;
031218;1600;27,6666;
031218;1700;26,7;
031218;1800;24,975;
031218;1900;22,8833;
031218;2000;20,8666;
031218;2100;20,1583;
031218;2200;19,7333;
031218;2300;18,5583;
031219;0000;17,6333;
031219;0100;16,5083;
031219;0200;16;
031219;0300;15,875;
031219;0400;15,325;
031219;0500;15,125;
031219;0600;16,9333;
031219;0700;19,4333;
031219;0800;21,4083;
031219;0900;23,5416;
031219;1000;26,1583;
031219;1100;27,1166;
031219;1200;28,2166;
031219;1300;29,1917;
031219;1400;29,8333;
031219;1500;30,1166;
031219;1600;29,8583;
031219;1700;28,4166;
031219;1800;26,9167;
031219;1900;24,625;
031219;2000;22,8083;
031219;2100;21,8167;
031219;2200;21,2833;
031219;2300;20,8;
031220;0000;20,0833;
031220;0100;19,525;
031220;0200;18,7166;
031220;0300;17,9417;
031220;0400;17,7416;
031220;0500;17,75;
031220;0600;19,0916;
031220;0700;22,55;
031220;0800;23,8333;
031220;0900;25,4583;
031220;1000;27,625;
031220;1100;29,6;
031220;1200;31,025;
031220;1300;31,7333;
031220;1400;31,95;
031220;1500;31,2583;
031220;1600;29,7166;
031220;1700;27,5667;
031220;1800;24,475;
031220;1900;21,925;
031220;2000;21,2916;
031220;2100;20,7083;
031220;2200;20,3916;
031220;2300;19,625;
031221;0000;17,3583;
031221;0100;15,2;
031221;0200;14,475;
031221;0300;13,95;
031221;0400;13,4833;
031221;0500;12,45;
031221;0600;14,2417;
031221;0700;15,9333;
031221;0800;17,6;
031221;0900;19,7416;
031221;1000;21,7;
031221;1100;23,0166;
031221;1200;24,125;
031221;1300;24,9166;
031221;1400;26,4;
031221;1500;26,7;
031221;1600;27,425;
031221;1700;27,1166;
031221;1800;26,5416;
031221;1900;24,675;
031221;2000;22,6583;
031221;2100;21,2333;
031221;2200;19,9;
031221;2300;18,7166;
031222;0000;17,7833;
031222;0100;16,7333;
031222;0200;15,9583;
031222;0300;15,1;
031222;0400;14,1917;
031222;0500;14,0667;
031222;0600;15,7833;
031222;0700;18,5667;
031222;0800;20,275;
031222;0900;22,7;
031222;1000;25,1833;
031222;1100;27;
031222;1200;28,7;
031222;1300;29,8333;
031222;1400;30,7916;
031222;1500;31,3333;
031222;1600;31,3;
031222;1700;29,875;
031222;1800;27,9666;
031222;1900;25,425;
031222;2000;22,9;
031222;2100;21,05;
031222;2200;20,3;
031222;2300;19,35;
031223;0000;18,35;
031223;0100;17,7083;
031223;0200;17,1666;
031223;0300;16,3833;
031223;0400;15,925;
031223;0500;15,6833;
031223;0600;17,2;
031223;0700;19,875;
031223;0800;21,9583;
031223;0900;24,325;
031223;1000;26,9333;
031223;1100;28,1333;
031223;1200;29,0416;
031223;1300;30,1166;
031223;1400;30,0333;
031223;1500;29,2583;
031223;1600;28,5833;
031223;1700;27,7583;
031223;1800;26,1917;
031223;1900;23,2833;
031223;2000;21,6166;
031223;2100;20,325;
031223;2200;19,2;
031223;2300;17,8833;
031224;0000;17,1083;
031224;0100;16,3833;
031224;0200;15,6583;
031224;0300;14,95;
031224;0400;14,4917;
031224;0500;13,5166;
031224;0600;15,3916;
031224;0700;17,8;
031224;0800;20;
031224;0900;22,525;
031224;1000;23,675;
031224;1100;25,575;
031224;1200;27,1833;
031224;1300;27,625;
031224;1400;27,8583;
031224;1500;27,525;
031224;1600;26,875;
031224;1700;25,85;
031224;1800;24,4583;
031224;1900;22,475;
031224;2000;20,8666;
031224;2100;19,3083;
031224;2200;18,2666;
031224;2300;17,35;
031225;0000;16,675;
031225;0100;15,7;
031225;0200;14,6917;
031225;0300;14,0417;
031225;0400;13,6833;
031225;0500;13,4333;
031225;0600;15,2666;
031225;0700;17,1166;
031225;0800;20,0583;
031225;0900;22,5083;
031225;1000;25,5916;
031225;1100;27,7833;
031225;1200;28,875;
031225;1300;29,6833;
031225;1400;29,8666;
031225;1500;29,7166;
031225;1600;29,3833;
031225;1700;28,2666;
031225;1800;26,5417;
031225;1900;23,6583;
031225;2000;21,2;
031225;2100;20,475;
031225;2200;19,5166;
031225;2300;18,7833;
031226;0000;17,8333;
031226;0100;16,6667;
031226;0200;15,5917;
031226;0300;15,15;
031226;0400;14,6333;
031226;0500;14,4583;
031226;0600;15,5;
031226;0700;17,65;
031226;0800;19,1166;
031226;0900;21,4333;
031226;1000;23,525;
031226;1100;24,8;
031226;1200;26,2583;
031226;1300;26,7666;
031226;1400;27,2166;
031226;1500;27,65;
031226;1600;27,2166;
031226;1700;26,6166;
031226;1800;24,8583;
031226;1900;22,625;
031226;2000;20,0416;
031226;2100;18,2583;
031226;2200;17,075;
031226;2300;16,2583;
031227;0000;15,5166;
031227;0100;14,925;
031227;0200;14,1583;
031227;0300;13,225;
031227;0400;12,6;
031227;0500;11,9833;
031227;0600;12,6167;
031227;0700;14,6667;
031227;0800;16,2333;
031227;0900;18,0916;
031227;1000;19,2083;
031227;1100;21,2666;
031227;1200;23,1333;
031227;1300;24,625;
031227;1400;25,6833;
031227;1500;26,6416;
031227;1600;26,7416;
031227;1700;26,5416;
031227;1800;25,875;
031227;1900;23,7;
031227;2000;21,1917;
031227;2100;19,5083;
031227;2200;18,1083;
031227;2300;16,95;
031228;0000;15,9083;
031228;0100;15,0917;
031228;0200;14,2666;
031228;0300;13,4083;
031228;0400;12,85;
031228;0500;12,5417;
031228;0600;13,925;
031228;0700;17,4083;
031228;0800;19,5416;
031228;0900;21,8333;
031228;1000;24,5417;
031228;1100;26,4;
031228;1200;28,4333;
031228;1300;29,5333;
031228;1400;30,4083;
031228;1500;30,95;
031228;1600;30,9166;
031228;1700;30,175;
031228;1800;28,7666;
031228;1900;25,95;
031228;2000;22,9;
031228;2100;21,1083;
031228;2200;20,2166;
031228;2300;19,4417;
031229;0000;18,6333;
031229;0100;17,6917;
031229;0200;16,9;
031229;0300;15,875;
031229;0400;15,3;
031229;0500;15,175;
