FECHA (YYMMDD);HORA (HHMM);;
031214;0100;;
031214;0200;;
031214;0300;;
031214;0400;;
031214;0500;;
031214;0600;;
031214;0700;;
031214;0800;;
031214;0900;;
031214;1000;;
031214;1100;19,3083;
031214;1200;20,425;
031214;1300;21,1833;
031214;1400;22,8167;
031214;1500;23,7833;
031214;1600;23,8;
031214;1700;23,375;
031214;1800;21,6416;
031214;1900;19,3;
031214;2000;17,45;
031214;2100;16,2416;
031214;2200;14,9083;
031214;2300;13,4917;
031215;0000;13,0917;
031215;0100;12,625;
031215;0200;11,7666;
031215;0300;11,1167;
031215;0400;10,625;
031215;0500;10,7167;
031215;0600;11,7;
031215;0700;14,8833;
031215;0800;15,9333;
031215;0900;18,075;
031215;1000;20,3167;
031215;1100;22,1083;
031215;1200;23,775;
031215;1300;25,4166;
031215;1400;25,8;
031215;1500;26,0916;
031215;1600;26,0916;
031215;1700;25,95;
031215;1800;24,8083;
031215;1900;22,3416;
031215;2000;19,475;
031215;2100;17,0083;
031215;2200;16,3167;
031215;2300;15,75;
031216;0000;14,8333;
031216;0100;14,0333;
031216;0200;12,8417;
031216;0300;12,5083;
031216;0400;12,2583;
031216;0500;11,4333;
031216;0600;12,2333;
031216;0700;18,1;
031216;0800;21,0166;
031216;0900;24,1833;
031216;1000;24,85;
031216;1100;27,0333;
031216;1200;28,85;
031216;1300;30,3083;
031216;1400;30,7916;
031216;1500;31,25;
031216;1600;31;
031216;1700;30,7;
031216;1800;30,1583;
031216;1900;27,15;
031216;2000;23,3083;
031216;2100;20,6583;
031216;2200;19,5583;
031216;2300;18,5333;
031217;0000;17,6917;
031217;0100;17,4166;
031217;0200;15,7583;
031217;0300;15,4417;
031217;0400;14,3667;
031217;0500;14,325;
031217;0600;15,5417;
031217;0700;20,975;
031217;0800;24,6416;
031217;0900;26,4833;
031217;1000;28,5166;
031217;1100;30,3833;
031217;1200;31,2166;
031217;1300;32,1583;
031217;1400;32,3167;
031217;1500;31,5916;
031217;1600;30,3666;
031217;1700;29,2833;
031217;1800;28,0667;
031217;1900;25,4083;
031217;2000;21,875;
031217;2100;19,3666;
031217;2200;17,8083;
031217;2300;16,5833;
031218;0000;16,25;
031218;0100;15,15;
031218;0200;14,3833;
031218;0300;13,8167;
031218;0400;14,0833;
031218;0500;13,7917;
031218;0600;15,2666;
031218;0700;18,5667;
031218;0800;20,8916;
031218;0900;22,775;
031218;1000;25,275;
031218;1100;27,175;
031218;1200;28,5417;
031218;1300;29,0166;
031218;1400;28,925;
031218;1500;28,1833;
031218;1600;27,4083;
031218;1700;26,6083;
031218;1800;24,9833;
031218;1900;22,55;
031218;2000;20,4;
031218;2100;18,75;
031218;2200;17,2583;
031218;2300;16,4417;
031219;0000;16,1583;
031219;0100;16,075;
031219;0200;14,9417;
031219;0300;14,6333;
031219;0400;13,7833;
031219;0500;13,1833;
031219;0600;14,3083;
031219;0700;19,3666;
031219;0800;20,65;
031219;0900;22,0667;
031219;1000;24,2833;
031219;1100;25,85;
031219;1200;26,825;
031219;1300;27,6667;
031219;1400;28,2416;
031219;1500;28,55;
031219;1600;28,2916;
031219;1700;27,5583;
031219;1800;26;
031219;1900;23,5583;
031219;2000;21,3666;
031219;2100;19,4417;
031219;2200;18,725;
031219;2300;18,5083;
031220;0000;17,9166;
031220;0100;17,0583;
031220;0200;16;
031220;0300;15,8583;
031220;0400;15,8833;
031220;0500;15,55;
031220;0600;16,075;
031220;0700;20,5667;
031220;0800;22,25;
031220;0900;23,8083;
031220;1000;25,6833;
031220;1100;27,25;
031220;1200;28,6666;
031220;1300;29,875;
031220;1400;30,4166;
031220;1500;30,425;
031220;1600;28,8416;
031220;1700;26,6166;
031220;1800;23,9666;
031220;1900;21,5416;
031220;2000;19,7666;
031220;2100;18,325;
031220;2200;16,5166;
031220;2300;15,4083;
031221;0000;14,775;
031221;0100;13,8083;
031221;0200;12,525;
031221;0300;12,025;
031221;0400;11,9083;
031221;0500;11,5583;
031221;0600;12,1083;
031221;0700;15,6416;
031221;0800;16,7666;
031221;0900;20,5416;
031221;1000;20,7416;
031221;1100;21,55;
031221;1200;22,5667;
031221;1300;23,5166;
031221;1400;24,3083;
031221;1500;24,7916;
031221;1600;25,1;
031221;1700;25,125;
031221;1800;24,7583;
031221;1900;23,025;
031221;2000;21;
031221;2100;19,2666;
031221;2200;17,175;
031221;2300;15,4333;
031222;0000;14,7333;
031222;0100;14,525;
031222;0200;13;
031222;0300;12,7167;
031222;0400;12,2417;
031222;0500;11,0917;
031222;0600;12,575;
031222;0700;17,325;
031222;0800;18,2666;
031222;0900;21;
031222;1000;23,1636;
031222;1100;25,1833;
031222;1200;27,05;
031222;1300;28,4417;
031222;1400;28,825;
031222;1500;29,7;
031222;1600;29,8666;
031222;1700;29,1;
031222;1800;27,3916;
031222;1900;24,625;
031222;2000;21,725;
031222;2100;18,975;
031222;2200;17,3416;
031222;2300;16,1917;
031223;0000;15,6333;
031223;0100;14,65;
031223;0200;13,9583;
031223;0300;13,45;
031223;0400;12,8417;
031223;0500;12,6917;
031223;0600;14,1416;
031223;0700;19,0417;
031223;0800;21,275;
031223;0900;22,8333;
031223;1000;24,3916;
031223;1100;26,7333;
031223;1200;27,9583;
031223;1300;28,6667;
031223;1400;28,525;
031223;1500;28,1416;
031223;1600;27,0833;
031223;1700;26,3416;
031223;1800;25,2666;
031223;1900;22,4666;
031223;2000;19,7916;
031223;2100;17,4833;
031223;2200;16,025;
031223;2300;14,9417;
031224;0000;13,975;
031224;0100;13,6333;
031224;0200;13,7917;
031224;0300;12,3667;
031224;0400;12,0833;
031224;0500;12,0083;
031224;0600;13,0917;
031224;0700;17,4333;
031224;0800;19,8416;
031224;0900;22,1833;
031224;1000;23,5;
031224;1100;25,1833;
031224;1200;26,175;
031224;1300;27,2083;
031224;1400;27,0833;
031224;1500;27,1083;
031224;1600;26,6416;
031224;1700;25,9333;
031224;1800;24,7666;
031224;1900;22,15;
031224;2000;19,5667;
031224;2100;18,1083;
031224;2200;17,5083;
031224;2300;15,6583;
031225;0000;14,8167;
031225;0100;14,95;
031225;0200;13,7917;
031225;0300;12,875;
031225;0400;12,6583;
031225;0500;12,45;
031225;0600;13,1917;
031225;0700;18,0083;
031225;0800;19,3083;
031225;0900;21,875;
031225;1000;23,6416;
031225;1100;25,975;
031225;1200;27,4417;
031225;1300;28,4;
031225;1400;28,6583;
031225;1500;28,8583;
031225;1600;27,975;
031225;1700;27,1583;
031225;1800;25,5166;
031225;1900;22,9916;
031225;2000;20,3583;
031225;2100;18,7166;
031225;2200;17,5667;
031225;2300;16,65;
031226;0000;15,3083;
031226;0100;14,2417;
031226;0200;13,3667;
031226;0300;13,8167;
031226;0400;13,3417;
031226;0500;12,675;
031226;0600;13,65;
031226;0700;16,475;
031226;0800;18,3333;
031226;0900;19,45;
031226;1000;21,65;
031226;1100;23,075;
031226;1200;24,225;
031226;1300;24,8416;
031226;1400;25,4666;
031226;1500;25,725;
031226;1600;25,675;
031226;1700;25,075;
031226;1800;23,875;
031226;1900;21,1833;
031226;2000;18,7166;
031226;2100;17,0416;
031226;2200;15,5083;
031226;2300;14,4917;
031227;0000;13,9667;
031227;0100;13,3583;
031227;0200;12,45;
031227;0300;11,825;
031227;0400;11,25;
031227;0500;10,4833;
031227;0600;11,0417;
031227;0700;13,5667;
031227;0800;14,2583;
031227;0900;16,075;
031227;1000;17,425;
031227;1100;19,1666;
031227;1200;21,125;
031227;1300;22,3833;
031227;1400;23,5833;
031227;1500;24,4;
031227;1600;25,2666;
031227;1700;25,025;
031227;1800;24,2583;
031227;1900;21,9166;
031227;2000;19,65;
031227;2100;17,1;
031227;2200;15,1416;
031227;2300;14,975;
031228;0000;14,4667;
031228;0100;13,125;
031228;0200;11,875;
031228;0300;10,4833;
031228;0400;10,5583;
031228;0500;10,7417;
031228;0600;11,3583;
031228;0700;16,475;
031228;0800;18,375;
031228;0900;20,8167;
031228;1000;22,4916;
031228;1100;24,7;
031228;1200;26,475;
031228;1300;27,8916;
031228;1400;28,4666;
031228;1500;29,1416;
031228;1600;29,0583;
031228;1700;28,5833;
031228;1800;27,8167;
031228;1900;25;
031228;2000;21,775;
031228;2100;18,65;
031228;2200;17,9;
031228;2300;17,1416;
031229;0000;15,3333;
031229;0100;14,8833;
031229;0200;13,725;
031229;0300;12,8583;
031229;0400;12,35;
031229;0500;11,9917;
031229;0600;12,9917;
031229;0700;17,1667;
031229;0800;18,8333;
031229;0900;20,8666;
031229;1000;23,225;
031229;1100;24,6917;
031229;1200;25,5667;
031229;1300;26,675;
031229;1400;27,0916;
031229;1500;27,6166;
031229;1600;26,9;
031229;1700;25,3916;
031229;1800;23,175;
031229;1900;20,85;
031229;2000;18,7666;
031229;2100;18,0333;
031229;2200;17,6333;
031229;2300;16,225;
031230;0000;15,1667;
031230;0100;14,4833;
031230;0200;14,275;
031230;0300;13,075;
031230;0400;13,2917;
031230;0500;13,1;
031230;0600;13,3333;
031230;0700;17,5667;
031230;0800;21,1166;
031230;0900;22,2166;
031230;1000;23,9666;
031230;1100;25,4333;
031230;1200;27,1083;
031230;1300;28,3416;
031230;1400;28,85;
031230;1500;28,8083;
031230;1600;28,1666;
031230;1700;27,0667;
031230;1800;25,3583;
031230;1900;22,9;
031230;2000;20,65;
031230;2100;18,55;
031230;2200;16,7083;
031230;2300;16,0833;
031231;0000;15,1333;
031231;0100;14,7333;
031231;0200;14,85;
031231;0300;14,875;
031231;0400;14,15;
031231;0500;13,5833;
031231;0600;14,6083;
031231;0700;19,375;
031231;0800;21,9666;
031231;0900;22,8167;
031231;1000;24,3666;
031231;1100;25,975;
031231;1200;27,2666;
031231;1300;27,4333;
031231;1400;27,675;
031231;1500;27,775;
031231;1600;27,3666;
031231;1700;26,5667;
031231;1800;25,55;
031231;1900;23,0833;
031231;2000;20,9083;
031231;2100;18,5667;
031231;2200;17,1917;
031231;2300;16,1416;
040101;0000;15,525;
040101;0100;15,0166;
040101;0200;14,5667;
040101;0300;14,5917;
040101;0400;13,8833;
040101;0500;13,7666;
040101;0600;14,6083;
040101;0700;19,1666;
040101;0800;21,65;
040101;0900;22,7083;
040101;1000;24,7166;
040101;1100;26,7083;
040101;1200;28,0333;
040101;1300;29,1416;
040101;1400;29,1666;
040101;1500;29,425;
040101;1600;28,925;
040101;1700;28,0833;
040101;1800;26,5833;
040101;1900;24,0916;
040101;2000;21,75;
040101;2100;19,8583;
040101;2200;18,3333;
040101;2300;17,3167;
040102;0000;16,6666;
040102;0100;15,9833;
040102;0200;15,525;
040102;0300;15,5583;
040102;0400;15,2917;
040102;0500;14,9833;
040102;0600;15,3333;
040102;0700;20,325;
040102;0800;22,0417;
040102;0900;23,9083;
040102;1000;25,9333;
040102;1100;27,8916;
040102;1200;29,075;
040102;1300;30,275;
040102;1400;31,0833;
040102;1500;30,6333;
040102;1600;30,4417;
040102;1700;29,325;
040102;1800;27,4916;
040102;1900;25,0667;
040102;2000;22,4583;
040102;2100;19,8333;
040102;2200;19,0083;
040102;2300;17,425;
040103;0000;16,9166;
040103;0100;16,6666;
040103;0200;15,225;
040103;0300;14,7;
040103;0400;14,9417;
040103;0500;15,125;
040103;0600;15,4666;
040103;0700;20,1083;
040103;0800;22,3083;
040103;0900;24,0916;
040103;1000;25,4833;
040103;1100;27,5;
040103;1200;29,1416;
040103;1300;29,7166;
040103;1400;30,1667;
040103;1500;30,3333;
040103;1600;29,7916;
040103;1700;28,875;
040103;1800;27,4;
040103;1900;24,7916;
040103;2000;22,0667;
040103;2100;19,8416;
040103;2200;18,2;
040103;2300;17,35;
040104;0000;16,6166;
040104;0100;15,4083;
040104;0200;15,1083;
040104;0300;14,4083;
040104;0400;14,0667;
040104;0500;13,9583;
040104;0600;15,025;
040104;0700;19,6166;
040104;0800;21,6583;
040104;0900;22,4916;
040104;1000;24,8083;
040104;1100;26,6333;
040104;1200;28,05;
040104;1300;29,1416;
040104;1400;29,6;
040104;1500;28,6583;
040104;1600;28,2083;
040104;1700;27,3;
040104;1800;25,2916;
040104;1900;22,775;
040104;2000;20,2416;
040104;2100;18,8583;
040104;2200;17,7583;
040104;2300;16,4833;
040105;0000;15,0583;
040105;0100;14,75;
040105;0200;14,9417;
040105;0300;14,4083;
040105;0400;13,375;
040105;0500;13,6167;
040105;0600;14,1416;
040105;0700;18,025;
040105;0800;19,2666;
040105;0900;21,2666;
040105;1000;23,425;
040105;1100;25,8833;
040105;1200;27,1583;
040105;1300;28,5833;
040105;1400;29,0667;
040105;1500;29,1083;
040105;1600;29,3083;
040105;1700;28,475;
040105;1800;27,2416;
040105;1900;25,0333;
040105;2000;22,4916;
040105;2100;19,925;
040105;2200;18,1333;
040105;2300;17,7916;
040106;0000;16,575;
040106;0100;15,9417;
040106;0200;15,85;
040106;0300;15,4417;
040106;0400;14,5166;
040106;0500;14,3417;
040106;0600;14,725;
040106;0700;19,675;
040106;0800;21,9083;
