FECHA (YYMMDD);HORA (HHMM);;
101225;0100;1,09167;
101225;0200;0,574999;
101225;0300;0,733333;
101225;0400;0,349999;
101225;0500;0,549998;
101225;0600;0,674998;
101225;0700;0,933331;
101225;0800;0,983333;
101225;0900;1,34167;
101225;1000;1,50833;
101225;1100;2,10833;
101225;1200;2,875;
101225;1300;3,675;
101225;1400;4,55;
101225;1500;4,81666;
101225;1600;5,09998;
101225;1700;4,58333;
101225;1800;4,24165;
101225;1900;4,21666;
101225;2000;2,55;
101225;2100;2,825;
101225;2200;1,875;
101225;2300;1,08333;
101226;0000;0,799998;
101226;0100;0,941666;
101226;0200;0,941666;
101226;0300;1,025;
101226;0400;0,783333;
101226;0500;0,791665;
101226;0600;1,48333;
101226;0700;1,85;
101226;0800;1,01666;
101226;0900;1,2;
101226;1000;2,26666;
101226;1100;3,01666;
101226;1200;3,675;
101226;1300;4,55;
101226;1400;4,85833;
101226;1500;5,11665;
101226;1600;4,61665;
101226;1700;4,37498;
101226;1800;3,925;
101226;1900;3,8;
101226;2000;2,85833;
101226;2100;2,375;
101226;2200;1,825;
101226;2300;1,65833;
101227;0000;1,86666;
101227;0100;1,10833;
101227;0200;0,158333;
101227;0300;0,808331;
101227;0400;0,866666;
101227;0500;0,574999;
101227;0600;0,533333;
101227;0700;0,799998;
101227;0800;1,25833;
101227;0900;1,25833;
101227;1000;2,48333;
101227;1100;3,81666;
101227;1200;4,66666;
101227;1300;4,55833;
101227;1400;4,87498;
101227;1500;4,85833;
101227;1600;4,24998;
101227;1700;4,54166;
101227;1800;4,49165;
101227;1900;3,09166;
101227;2000;2,72499;
101227;2100;2,97499;
101227;2200;2,24166;
101227;2300;1,71667;
101228;0000;1,425;
101228;0100;1,49166;
101228;0200;0,949999;
101228;0300;0,708333;
101228;0400;0,474999;
101228;0500;0,158333;
101228;0600;0,216666;
101228;0700;0,708333;
101228;0800;1,16666;
101228;0900;1,425;
101228;1000;2,35833;
101228;1100;3,25833;
101228;1200;4,175;
101228;1300;4,85833;
101228;1400;5,22498;
101228;1500;5,13332;
101228;1600;4,87498;
101228;1700;4,85833;
101228;1800;4,73333;
101228;1900;4,64999;
101228;2000;2,9;
101228;2100;2,31666;
101228;2200;1,63333;
101228;2300;1,90833;
101229;0000;1,50833;
101229;0100;1,59167;
101229;0200;1,3;
101229;0300;1,06667;
101229;0400;1,5;
101229;0500;1,375;
101229;0600;1,19167;
101229;0700;1,05;
101229;0800;1,24166;
101229;0900;1,3;
101229;1000;1,64166;
101229;1100;2,48333;
101229;1200;3,04166;
101229;1300;3,55833;
101229;1400;3,20833;
101229;1500;3,84166;
101229;1600;3,71666;
101229;1700;3,975;
101229;1800;4,11665;
101229;1900;3,175;
101229;2000;3,1;
101229;2100;2,24166;
101229;2200;2,425;
101229;2300;1,6;
101230;0000;1,30833;
101230;0100;1,31667;
101230;0200;1,35;
101230;0300;1,21667;
101230;0400;1,11666;
101230;0500;0,999998;
101230;0600;1,19167;
101230;0700;1,51666;
101230;0800;1,775;
101230;0900;2,4;
101230;1000;3,425;
101230;1100;4,27499;
101230;1200;4,64165;
101230;1300;4,84998;
101230;1400;5,27499;
101230;1500;5,01665;
101230;1600;4,47498;
101230;1700;4,02499;
101230;1800;3,10833;
101230;1900;2,68333;
101230;2000;2,50833;
101230;2100;2,375;
101230;2200;2,225;
101230;2300;1,85;
101231;0000;2,225;
101231;0100;1,4;
101231;0200;1,48333;
101231;0300;1,73333;
101231;0400;1,475;
101231;0500;1,08333;
101231;0600;1,425;
101231;0700;1,575;
101231;0800;1,54167;
101231;0900;1,93333;
101231;1000;2,76666;
101231;1100;3,35;
101231;1200;3,47499;
101231;1300;4,06666;
101231;1400;4,24998;
101231;1500;4,25832;
101231;1600;4,39999;
101231;1700;4,11665;
101231;1800;3,95;
101231;1900;3,525;
101231;2000;2,33333;
101231;2100;1,35833;
101231;2200;0,891665;
101231;2300;0,65;
110101;0000;0,952521;
110101;0100;0,759692;
110101;0200;1,28252;
110101;0300;1,20202;
110101;0400;1,38557;
110101;0500;1,12107;
110101;0600;1,12989;
110101;0700;1,18566;
110101;0800;1,62695;
110101;0900;1,86182;
110101;1000;1,99131;
110101;1100;2,74003;
110101;1200;4,04427;
110101;1300;4,95994;
110101;1400;4,72741;
110101;1500;4,74222;
110101;1600;4,74651;
110101;1700;4,39407;
110101;1800;4,25632;
110101;1900;4,21674;
110101;2000;3,69167;
110101;2100;2,63963;
110101;2200;2,18533;
110101;2300;1,3361;
110102;0000;1,31242;
110102;0100;0,842364;
110102;0200;1,2656;
110102;0300;1,18521;
110102;0400;1,13025;
110102;0500;1,38633;
110102;0600;1,09017;
110102;0700;1,88707;
110102;0800;3,07792;
110102;0900;3,30988;
110102;1000;2,61053;
110102;1100;3,10019;
110102;1200;3,04749;
110102;1300;3,7755;
110102;1400;4,40331;
110102;1500;4,89438;
110102;1600;4,88805;
110102;1700;4,79375;
110102;1800;4,06035;
110102;1900;3,52266;
110102;2000;3,03073;
110102;2100;2,66323;
110102;2200;2,45743;
110102;2300;2,31203;
110103;0000;2,02115;
110103;0100;2,03915;
110103;0200;1,54481;
110103;0300;1,19543;
110103;0400;0,90408;
110103;0500;0,491955;
110103;0600;0,353347;
110103;0700;0,930607;
110103;0800;0,603827;
110103;0900;1,16779;
110103;1000;0,752655;
110103;1100;1,74844;
110103;1200;2,23504;
110103;1300;3,18811;
110103;1400;4,74973;
110103;1500;5,15867;
110103;1600;5,32049;
110103;1700;4,89425;
110103;1800;4,47456;
110103;1900;4,47628;
110103;2000;4,19442;
110103;2100;2,65827;
110103;2200;2,26608;
110103;2300;2,37502;
110104;0000;1,88515;
110104;0100;1,771;
110104;0200;1,8988;
110104;0300;1,69843;
110104;0400;1,84048;
110104;0500;1,54537;
110104;0600;1,49204;
110104;0700;0,29795;
110104;0800;0,751201;
110104;0900;0,473799;
110104;1000;0,934147;
110104;1100;1,54086;
110104;1200;2,52349;
110104;1300;2,99757;
110104;1400;3,08269;
110104;1500;2,73937;
110104;1600;2,91989;
110104;1700;4,41948;
110104;1800;4,59441;
110104;1900;3,7512;
110104;2000;1,73436;
110104;2100;1,57579;
110104;2200;0,718631;
110104;2300;0,39001;
110105;0000;0,180228;
110105;0100;0,615224;
110105;0200;0,49928;
110105;0300;0,275243;
110105;0400;0,175068;
110105;0500;0,171609;
110105;0600;0,432217;
110105;0700;0,763563;
110105;0800;1,15802;
110105;0900;0,787594;
110105;1000;0,917068;
110105;1100;1,13089;
110105;1200;1,60276;
110105;1300;2,48653;
110105;1400;3,16325;
110105;1500;3,34209;
110105;1600;4,11961;
110105;1700;3,76617;
110105;1800;4,24017;
110105;1900;2,73551;
110105;2000;1,7425;
110105;2100;1,28835;
110105;2200;1,11303;
110105;2300;0,990135;
110106;0000;0,063153;
110106;0100;0,877697;
110106;0200;0,947249;
110106;0300;0,825185;
110106;0400;0,383436;
110106;0500;0,0524924;
110106;0600;0,73762;
110106;0700;0,870276;
110106;0800;1,68579;
110106;0900;2,10066;
110106;1000;2,48204;
110106;1100;3,67839;
110106;1200;4,50346;
110106;1300;4,82313;
110106;1400;5,30076;
110106;1500;5,58772;
110106;1600;5,36868;
110106;1700;4,66016;
110106;1800;4,50909;
110106;1900;4,13805;
110106;2000;3,35327;
110106;2100;2,88405;
110106;2200;2,31469;
110106;2300;1,58772;
110107;0000;2,07241;
110107;0100;1,57814;
110107;0200;1,556;
110107;0300;1,33745;
110107;0400;0,986667;
110107;0500;0,737158;
110107;0600;0,615054;
110107;0700;1,27804;
110107;0800;1,16425;
110107;0900;2,84463;
110107;1000;3,79311;
110107;1100;4,0514;
110107;1200;4,30083;
110107;1300;4,53951;
110107;1400;4,91399;
110107;1500;4,8155;
110107;1600;4,84453;
110107;1700;4,58958;
110107;1800;4,15635;
110107;1900;3,09922;
110107;2000;1,95503;
110107;2100;2,09061;
110107;2200;1,59576;
110107;2300;1,14322;
110108;0000;0,796556;
110108;0100;1,17066;
110108;0200;1,15489;
110108;0300;1,17211;
110108;0400;0,669903;
110108;0500;0,392155;
110108;0600;0,240822;
110108;0700;0,64337;
110108;0800;0,988276;
110108;0900;1,41237;
110108;1000;1,767;
110108;1100;2,18284;
110108;1200;3,24773;
110108;1300;3,58977;
110108;1400;4,18578;
110108;1500;4,28291;
110108;1600;4,6978;
110108;1700;4,42747;
110108;1800;3,87371;
110108;1900;2,67708;
110108;2000;2,19649;
110108;2100;2,23681;
110108;2200;1,18643;
110108;2300;0,703447;
110109;0000;0,47592;
110109;0100;0,534499;
110109;0200;1,00066;
110109;0300;0,104464;
110109;0400;0,270936;
110109;0500;0,156207;
110109;0600;0,263768;
110109;0700;0,14274;
110109;0800;0,379381;
110109;0900;0,781116;
110109;1000;1,89381;
110109;1100;3,03609;
110109;1200;3,82197;
110109;1300;4,93835;
110109;1400;5,01175;
110109;1500;5,3671;
110109;1600;5,05996;
110109;1700;5,05999;
110109;1800;4,20726;
110109;1900;3,81927;
110109;2000;2,91231;
110109;2100;2,50817;
110109;2200;1,98135;
110109;2300;1,63723;
110110;0000;1,24964;
110110;0100;1,37523;
110110;0200;0,772216;
110110;0300;0,749112;
110110;0400;1,18705;
110110;0500;0,997807;
110110;0600;1,33974;
110110;0700;1,29644;
110110;0800;1,31672;
110110;0900;1,81568;
110110;1000;2,30121;
110110;1100;2,55808;
110110;1200;3,3364;
110110;1300;4,07664;
110110;1400;4,97295;
110110;1500;5,5294;
110110;1600;5,13589;
110110;1700;4,76875;
110110;1800;4,1544;
110110;1900;3,3056;
110110;2000;3,12753;
110110;2100;2,96695;
110110;2200;2,15552;
110110;2300;1,96411;
110111;0000;1,80271;
110111;0100;1,25266;
110111;0200;0,946455;
110111;0300;1,17792;
110111;0400;0,874058;
110111;0500;0,660105;
110111;0600;0,756082;
110111;0700;0,880356;
110111;0800;0,689384;
110111;0900;0,854311;
110111;1000;1,29103;
110111;1100;2,74384;
110111;1200;3,5236;
110111;1300;3,66357;
110111;1400;3,67218;
110111;1500;4,35992;
110111;1600;4,7859;
110111;1700;4,4099;
110111;1800;3,7637;
110111;1900;2,63578;
110111;2000;2,19324;
110111;2100;1,94078;
110111;2200;1,4076;
110111;2300;0,619926;
110112;0000;1,12969;
110112;0100;1,4471;
110112;0200;0,794497;
110112;0300;0,451994;
110112;0400;0,546231;
110112;0500;0,112064;
110112;0600;0,453593;
110112;0700;0,675243;
110112;0800;0,955134;
110112;0900;0,80113;
110112;1000;1,86475;
110112;1100;2,56241;
110112;1200;3,01745;
110112;1300;3,5882;
110112;1400;4,11514;
110112;1500;4,88792;
110112;1600;5,14606;
110112;1700;4,53539;
110112;1800;3,96043;
110112;1900;3,72976;
110112;2000;2,70275;
110112;2100;3,29299;
110112;2200;2,7842;
110112;2300;1,13879;
110113;0000;0,825643;
110113;0100;0,716733;
110113;0200;1,18922;
110113;0300;0,779239;
110113;0400;0,214719;
110113;0500;0,573832;
110113;0600;0,384548;
110113;0700;1,09638;
110113;0800;1,23699;
110113;0900;1,39314;
110113;1000;2,0844;
110113;1100;3,2117;
110113;1200;4,50908;
110113;1300;5,27261;
110113;1400;5,17239;
110113;1500;4,85763;
110113;1600;5,17113;
110113;1700;4,8186;
110113;1800;3,98435;
110113;1900;3,23552;
110113;2000;2,16899;
110113;2100;2,50694;
110113;2200;2,53679;
110113;2300;1,38998;
110114;0000;1,11422;
110114;0100;0,780934;
110114;0200;0,828599;
110114;0300;0,640857;
110114;0400;0,364249;
110114;0500;0,239815;
110114;0600;0,69754;
110114;0700;0,603351;
110114;0800;0,519546;
110114;0900;0,714473;
110114;1000;1,80849;
110114;1100;2,34548;
110114;1200;3,42371;
110114;1300;4,3847;
110114;1400;4,05147;
