FECHA (YYMMDD);HORA (HHMM);;
031215;0100;;
031215;0200;;
031215;0300;;
031215;0400;;
031215;0500;;
031215;0600;;
031215;0700;;
031215;0800;;
031215;0900;;
031215;1000;0,950428;
031215;1100;1,87438;
031215;1200;2,81675;
031215;1300;3,24691;
031215;1400;3,90854;
031215;1500;3,74367;
031215;1600;3,42895;
031215;1700;3,93793;
031215;1800;4,32359;
031215;1900;3,16985;
031215;2000;2,12144;
031215;2100;2,68723;
031215;2200;2,32746;
031215;2300;2,20022;
031216;0000;1,69682;
031216;0100;1,19473;
031216;0200;1,46589;
031216;0300;1,66332;
031216;0400;1,69659;
031216;0500;1,15988;
031216;0600;0,845304;
031216;0700;0,444969;
031216;0800;0,301669;
031216;0900;0,94436;
031216;1000;1,06294;
031216;1100;2,24902;
031216;1200;2,61501;
031216;1300;3,19157;
031216;1400;3,5815;
031216;1500;3,44074;
031216;1600;3,9103;
031216;1700;3,51922;
031216;1800;3,83184;
031216;1900;2,60048;
031216;2000;2,62026;
031216;2100;2,98642;
031216;2200;2,16835;
031216;2300;1,76395;
031217;0000;1,28068;
031217;0100;1,16764;
031217;0200;0,809694;
031217;0300;0,936111;
031217;0400;1,04977;
031217;0500;1,07986;
031217;0600;0,798851;
031217;0700;0,408359;
031217;0800;0,734615;
031217;0900;1,35745;
031217;1000;1,28948;
031217;1100;2,18591;
031217;1200;3,15481;
031217;1300;3,43155;
031217;1400;4,62777;
031217;1500;4,67856;
031217;1600;4,22128;
031217;1700;3,7495;
031217;1800;2,86791;
031217;1900;2,59908;
031217;2000;1,28953;
031217;2100;1,43385;
031217;2200;1,57297;
031217;2300;0,140615;
031218;0000;0,767715;
031218;0100;1,19632;
031218;0200;1,04684;
031218;0300;0,951676;
031218;0400;0,591305;
031218;0500;0,382923;
031218;0600;0,248926;
031218;0700;0,895877;
031218;0800;1,02097;
031218;0900;1,21134;
031218;1000;1,66105;
031218;1100;2,16167;
031218;1200;3,43177;
031218;1300;3,76995;
031218;1400;4,01302;
031218;1500;4,21526;
031218;1600;4,30212;
031218;1700;3,92043;
031218;1800;3,41156;
031218;1900;2,46795;
031218;2000;1,79294;
031218;2100;0,843064;
031218;2200;0,630668;
031218;2300;1,15717;
031219;0000;1,01705;
031219;0100;1,03092;
031219;0200;0,797472;
031219;0300;0,292476;
031219;0400;0,273366;
031219;0500;0,919147;
031219;0600;0,230757;
031219;0700;0,722651;
031219;0800;0,936687;
031219;0900;0,99263;
031219;1000;1,94437;
031219;1100;2,57207;
031219;1200;3,43608;
031219;1300;3,40132;
031219;1400;3,16993;
031219;1500;3,76296;
031219;1600;3,74821;
031219;1700;4,36279;
031219;1800;3,22795;
031219;1900;2,5463;
031219;2000;1,5718;
031219;2100;1,29573;
031219;2200;0,427555;
031219;2300;0,361478;
031220;0000;0,20973;
031220;0100;0,27924;
031220;0200;0,397718;
031220;0300;0,048004;
031220;0400;0,802338;
031220;0500;0,843225;
031220;0600;0,875112;
031220;0700;1,19276;
031220;0800;0,758452;
031220;0900;1,22901;
031220;1000;1,27402;
031220;1100;1,63837;
031220;1200;2,67939;
031220;1300;2,99603;
031220;1400;3,80161;
031220;1500;4,20312;
031220;1600;5,06814;
031220;1700;4,95583;
031220;1800;3,73582;
031220;1900;1,87763;
031220;2000;1,39552;
031220;2100;0,755383;
031220;2200;0,288743;
031220;2300;0,713984;
031221;0000;1,0452;
031221;0100;1,84809;
031221;0200;1,07218;
031221;0300;0,686086;
031221;0400;1,27967;
031221;0500;1,98266;
031221;0600;1,51377;
031221;0700;2,09593;
031221;0800;0,46296;
031221;0900;2,1119;
031221;1000;2,15312;
031221;1100;3,04103;
031221;1200;3,71019;
031221;1300;2,82819;
031221;1400;3,00344;
031221;1500;2,8956;
031221;1600;2,94269;
031221;1700;3,38865;
031221;1800;3,43009;
031221;1900;3,3361;
031221;2000;2,59179;
031221;2100;2,90512;
031221;2200;3,17896;
031221;2300;3,38573;
031222;0000;3,08998;
031222;0100;2,77233;
031222;0200;2,3161;
031222;0300;1,52718;
031222;0400;1,43809;
031222;0500;1,48027;
031222;0600;1,15936;
031222;0700;0,410326;
031222;0800;0,738712;
031222;0900;1,2222;
031222;1000;1,65696;
031222;1100;2,4174;
031222;1200;2,55188;
031222;1300;3,09482;
031222;1400;2,92874;
031222;1500;2,93528;
031222;1600;3,11444;
031222;1700;3,66178;
031222;1800;3,83447;
031222;1900;3,05538;
031222;2000;1,4328;
031222;2100;;
031222;2200;0,431878;
031222;2300;0,260024;
031223;0000;0,422929;
031223;0100;0,456185;
031223;0200;0,776917;
031223;0300;0,769646;
031223;0400;0,870582;
031223;0500;0,344471;
031223;0600;0,300601;
031223;0700;0,642425;
031223;0800;0,672791;
031223;0900;1,3207;
031223;1000;1,63888;
031223;1100;2,33764;
031223;1200;3,00605;
031223;1300;3,87333;
031223;1400;4,50638;
031223;1500;4,58553;
031223;1600;4,29147;
031223;1700;4,09444;
031223;1800;3,40433;
031223;1900;2,68552;
031223;2000;1,24842;
031223;2100;1,03018;
031223;2200;1,04736;
031223;2300;1,39985;
031224;0000;0,803227;
031224;0100;0,270888;
031224;0200;0,692722;
031224;0300;0,367001;
031224;0400;0,443126;
031224;0500;0,513453;
031224;0600;0,481102;
031224;0700;0,805347;
031224;0800;1,14652;
031224;0900;2,04169;
031224;1000;2,22334;
031224;1100;2,56145;
031224;1200;3,38705;
031224;1300;3,37854;
031224;1400;3,43821;
031224;1500;3,85909;
031224;1600;4,33482;
031224;1700;4,09949;
031224;1800;3,27941;
031224;1900;1,95179;
031224;2000;1,46379;
031224;2100;1,15295;
031224;2200;0,89397;
031224;2300;1,15441;
031225;0000;1,19841;
031225;0100;0,721579;
031225;0200;1,06934;
031225;0300;0,427888;
031225;0400;0,26686;
031225;0500;0,224191;
031225;0600;0,185611;
031225;0700;0,527998;
031225;0800;0,764484;
031225;0900;0,994074;
031225;1000;1,311;
031225;1100;1,51219;
031225;1200;2,65845;
031225;1300;3,17309;
031225;1400;3,57307;
031225;1500;4,49796;
031225;1600;4,56573;
031225;1700;4,57905;
031225;1800;3,82724;
031225;1900;2,94245;
031225;2000;2,29507;
031225;2100;1,73462;
031225;2200;1,58244;
031225;2300;1,02052;
031226;0000;1,49072;
031226;0100;1,02796;
031226;0200;1,02547;
031226;0300;0,95154;
031226;0400;0,672421;
031226;0500;0,342233;
031226;0600;0,884418;
031226;0700;0,773911;
031226;0800;1,06636;
031226;0900;1,32355;
031226;1000;1,83903;
031226;1100;2,80928;
031226;1200;3,13481;
031226;1300;3,3436;
031226;1400;3,62178;
031226;1500;3,6269;
031226;1600;4,16882;
031226;1700;4,0863;
031226;1800;4,11976;
031226;1900;3,18319;
031226;2000;2,70654;
031226;2100;2,22411;
031226;2200;1,76662;
031226;2300;1,37588;
031227;0000;0,887154;
031227;0100;1,89651;
031227;0200;2,92273;
031227;0300;2,85766;
031227;0400;2,75107;
031227;0500;2,1845;
031227;0600;1,482;
031227;0700;1,6686;
031227;0800;2,66137;
031227;0900;4,07922;
031227;1000;3,87384;
031227;1100;3,41801;
031227;1200;3,18159;
031227;1300;2,99216;
031227;1400;2,93462;
031227;1500;2,75825;
031227;1600;3,1605;
031227;1700;3,78236;
031227;1800;4,02702;
031227;1900;3,91975;
031227;2000;3,57519;
031227;2100;3,43524;
031227;2200;3,53769;
031227;2300;3,17661;
031228;0000;2,61167;
031228;0100;1,80317;
031228;0200;1,94319;
031228;0300;1,2185;
031228;0400;1,31917;
031228;0500;0,994617;
031228;0600;0,915832;
031228;0700;0,343631;
031228;0800;0,33249;
031228;0900;1,16117;
031228;1000;1,46553;
031228;1100;2,02924;
031228;1200;2,90595;
031228;1300;2,33028;
031228;1400;2,98436;
031228;1500;3,01128;
031228;1600;3,09392;
031228;1700;3,18549;
031228;1800;3,45682;
031228;1900;2,96018;
