"DateYYMMDD","TimeHHMM","CO_CerroNavia","CO_ElBosque","CO_Independencia","CO_LasCondes","CO_OHiggins","CO_PuenteAlto","CO_Talagante","Hum_CerroNavia","Hum_ElBosque","Hum_Independencia","Hum_LasCondes","Hum_OHiggins","Hum_PuenteAlto","Hum_Talagante","SO2_ElBosque","SO2_PuenteAlto","SO2_Talagante","Temp_CerroNavia","Temp_ElBosque","Temp_Independencia","Temp_LasCondes","Temp_OHiggins","Temp_PuenteAlto","Temp_Talagante","WindSpeed_CerroNavia","WindSpeed_ElBosque","WindSpeed_Independencia","WindSpeed_LasCondes","WindSpeed_OHiggins","WindSpeed_PuenteAlto","WindSpeed_Talagante"
180201,0,0.21,0.38,0.1,0.3,0.28,0.14,0.1,43.75,52.005,40.1718,51.5833,48.0883,49.8384,71.177,1,3.32,1,18.6083,18.6942,22.1442,19.2417,18.8942,18.8442,12.8513,0.462993,0.544481,0.333802,1.93183,0.134353,0.89838,0.1817
180201,100,0.22,0.26,0.11,0.27,0.3,0.17,0.11,45.9167,52.0043,42.421,58.25,47.671,51.6711,74.5088,1,3.32,1,17.5417,18.1688,21.3438,17.8818,18.1021,18.2271,12.2094,0.44707,0.556726,0.445399,1.75598,0.407734,0.740899,0.205556
180201,1000,0.25,0.33,0.13,0.51,0.3,0.26,0.12,29.3333,32.1791,29.3395,30.75,28.5895,35.5958,49.5125,1,3.9,1,27.2083,27.6145,28.6895,26.4083,28.0645,26.6645,23.4562,1.62608,1.38032,1.1976,2.59854,0.966337,1.83073,1.57758
180201,1100,0.27,0.28,0.13,0.5,0.25,0.14,0.15,27.6667,30.6725,26.5,25.5833,27.5059,34.345,43.7617,1,4.07,1,28.9417,29.3476,30.6,28.3583,29.6642,27.5641,27.1476,2.23878,2.13518,1.39652,3.21983,1.67188,2.50515,1.49575
180201,1200,0.53,0.28,0.1,0.37,0.18,0.12,0.14,25.75,27.2555,24.0833,21.9167,26.0056,31.5888,40.1777,1,3.74,1,30.725,31.2722,32.2583,29.8583,31.1638,28.8805,29.4138,2.3956,2.27442,1.51457,3.37673,2.30483,3.24262,1.62041
180201,1300,0.51,0.26,0.1,0.34,0.19,0.13,0.12,24.5,27.5051,22.8333,19.3333,25.1718,31.2551,41.0936,1,4.24,1,31.5333,31.3325,32.6167,30.9333,31.8801,29.7301,30.0718,2.55126,3.40879,2.04978,3.74932,2.56186,3.5455,2.10793
180201,1400,0.55,0.23,0.1,0.3,0.15,0.13,0.12,23.6667,26.9214,22,19.4167,24.7548,30.5881,42.5928,1,4.32,1,31.85,31.3298,32.7637,31.2417,32.0762,29.7631,29.1465,3.38571,3.21189,2.41852,3.74932,2.85214,3.90599,2.97299
180201,1500,0.54,0.19,0.1,0.27,0.16,0.12,0.13,23.1667,30.0877,22.9167,18.6667,25.8377,32.0088,45.3421,1.47,4.24,1,32.1417,31.2044,32.4917,31.1583,31.7961,29.8544,28.0544,3.48814,3.18437,2.61042,4.15199,3.26219,4.0238,3.17271
180201,1600,0.54,0.24,0.1,0.27,0.11,0.13,0.13,23.5,31.3373,24.6667,20.0833,26.254,34.6747,46.1747,1,3.9,1,31.8417,30.3957,32.0167,30.6833,31.3207,29.0373,27.729,3.48814,3.40879,2.57625,3.81245,3.11554,4.75663,2.66304
180201,1700,0.57,0.25,0.1,0.31,0.11,0.13,0.13,26.6667,32.0073,27.4167,23,29.087,35.924,49.7573,1,3.32,1,30.4083,29.4286,30.9417,29.55,29.7704,27.962,25.7204,3.26051,3.40879,2.35862,3.69855,3.22547,4.79238,2.90525
